category_name,year,month,mean_kg,median_kg,n_days,month_index_within_category
辣椒类,2021,2,147.099731,116.441,26,1.742609
辣椒类,2021,3,83.050355,78.794,31,0.983852
辣椒类,2021,4,65.239233,56.779,30,0.772853
辣椒类,2021,5,74.053968,72.08,31,0.877277
辣椒类,2021,6,64.472333,61.945,30,0.763768
辣椒类,2021,7,51.724452,51.785,31,0.612751
辣椒类,2021,8,65.84471,65.069,31,0.780026
辣椒类,2021,9,49.784167,44.7025,30,0.589766
辣椒类,2021,10,51.761355,44.341,31,0.613188
辣椒类,2021,11,26.7773,25.1655,30,0.317216
辣椒类,2021,12,38.272355,35.101,31,0.453391
辣椒类,2022,1,103.2443,80.697,30,1.223078
辣椒类,2022,2,80.359,79.7765,28,0.951969
辣椒类,2022,3,76.720032,72.957,31,0.90886
辣椒类,2022,4,73.100933,70.591,30,0.865986
辣椒类,2022,5,49.593161,42.635,31,0.587503
辣椒类,2022,6,43.037533,40.2295,30,0.509842
辣椒类,2022,7,75.332968,60.497,31,0.892428
辣椒类,2022,8,162.032387,159.507,31,1.919508
辣椒类,2022,9,108.928867,97.3455,30,1.29042
辣椒类,2022,10,142.580419,125.16,31,1.689072
辣椒类,2022,11,130.329889,104.647,27,1.543946
辣椒类,2022,12,120.268357,118.1105,28,1.424753
辣椒类,2023,1,172.7661,139.2335,30,2.046665
辣椒类,2023,2,128.892321,129.8255,28,1.526916
辣椒类,2023,3,127.519032,114.7,31,1.510648
辣椒类,2023,4,108.0039,103.559,30,1.279463
辣椒类,2023,5,89.805161,85.984,31,1.063872
辣椒类,2023,6,90.497767,82.2065,30,1.072077
食用菌,2020,7,52.188258,50.774,31,0.744207
食用菌,2020,8,52.791097,50.458,31,0.752803
食用菌,2020,9,54.7627,49.739,30,0.780918
食用菌,2020,10,96.791355,81.051,31,1.380249
食用菌,2020,11,109.3676,99.7875,30,1.559587
食用菌,2020,12,112.114387,94.652,31,1.598756
食用菌,2021,1,98.183806,94.904,31,1.400105
食用菌,2021,2,141.994731,111.4165,26,2.024851
食用菌,2021,3,72.478419,71.027,31,1.033545
食用菌,2021,4,45.998133,40.7685,30,0.655935
食用菌,2021,5,37.560871,33.543,31,0.53562
食用菌,2021,6,37.395067,32.769,30,0.533255
食用菌,2021,7,35.593129,35.038,31,0.50756
食用菌,2021,8,50.956129,50.028,31,0.726637
食用菌,2021,9,45.7679,39.639,30,0.652652
食用菌,2021,10,48.640484,43.27,31,0.693615
食用菌,2021,11,54.658567,47.676,30,0.779434
食用菌,2021,12,66.733806,55.263,31,0.951627
食用菌,2022,1,74.947833,67.532,30,1.068759
食用菌,2022,2,46.108536,44.594,28,0.65751
食用菌,2022,3,25.314645,23.441,31,0.360988
食用菌,2022,4,27.414467,27.7915,30,0.390931
食用菌,2022,5,24.587903,21.185,31,0.350625
食用菌,2022,6,35.6572,35.3085,30,0.508473
食用菌,2022,7,57.806613,55.108,31,0.824325
食用菌,2022,8,67.115742,70.643,31,0.957073
食用菌,2022,9,68.060233,59.769,30,0.970542
食用菌,2022,10,130.012484,108.094,31,1.853984
食用菌,2022,11,119.852778,92.695,27,1.709106
食用菌,2022,12,113.804357,114.9665,28,1.622855
食用菌,2023,1,151.077633,122.763,30,2.154374
食用菌,2023,2,93.133857,90.4955,28,1.328093
食用菌,2023,3,86.981839,81.886,31,1.240365
食用菌,2023,4,82.727833,82.4005,30,1.179702
食用菌,2023,5,68.648645,61.585,31,0.978933
食用菌,2023,6,57.2995,53.961,30,0.817093
