sales_date,all_category_net_sales_kg,month,weekday
2020-12-11,452.097,12,4
2020-12-12,647.37,12,5
2020-12-13,823.273,12,6
2020-12-14,440.745,12,0
2020-12-15,439.543,12,1
2020-12-16,343.741,12,2
2020-12-17,386.812,12,3
2020-12-18,388.043,12,4
2020-12-19,650.11,12,5
2020-12-20,664.706,12,6
2020-12-21,349.454,12,0
2020-12-22,343.809,12,1
2020-12-23,346.127,12,2
2020-12-24,442.004,12,3
2020-12-25,471.703,12,4
2020-12-26,656.601,12,5
2020-12-27,615.751,12,6
2020-12-28,477.614,12,0
2020-12-29,433.444,12,1
2020-12-30,370.686,12,2
2020-12-31,462.828,12,3
2021-01-01,594.459,1,4
2021-01-02,542.058,1,5
2021-01-03,542.528,1,6
2021-01-04,434.648,1,0
2021-01-05,428.547,1,1
2021-01-06,418.066,1,2
2021-01-07,417.523,1,3
2021-01-08,457.875,1,4
2021-01-09,597.401,1,5
2021-01-10,618.01,1,6
2021-01-11,403.256,1,0
2021-01-12,363.073,1,1
2021-01-13,351.767,1,2
2021-01-14,360.478,1,3
2021-01-15,408.858,1,4
2021-01-16,627.554,1,5
2021-01-17,582.322,1,6
2021-01-18,379.348,1,0
2021-01-19,426.7,1,1
2021-01-20,436.507,1,2
2021-01-21,439.72,1,3
2021-01-22,455.079,1,4
2021-01-23,554.818,1,5
2021-01-24,745.948,1,6
2021-01-25,513.433,1,0
2021-01-26,487.116,1,1
2021-01-27,534.877,1,2
2021-01-28,435.146,1,3
2021-01-29,407.347,1,4
2021-01-30,549.623,1,5
2021-01-31,547.864,1,6
2021-02-01,411.973,2,0
2021-02-02,486.768,2,1
2021-02-03,529.363,2,2
2021-02-04,564.194,2,3
2021-02-05,554.427,2,4
2021-02-06,697.375,2,5
2021-02-07,700.338,2,6
2021-02-08,1068.928,2,0
2021-02-09,1471.646,2,1
2021-02-10,2099.65,2,2
2021-02-13,524.215,2,5
2021-02-14,583.878,2,6
2021-02-15,828.319,2,0
2021-02-16,719.914,2,1
2021-02-17,576.07,2,2
2021-02-18,599.705,2,3
2021-02-19,526.576,2,4
2021-02-20,505.217,2,5
2021-02-21,412.286,2,6
2021-02-22,365.606,2,0
2021-02-23,393.03,2,1
2021-02-24,452.894,2,2
2021-02-25,515.818,2,3
2021-02-26,745.052,2,4
2021-02-27,600.11,2,5
2021-02-28,663.88,2,6
2021-03-01,503.04,3,0
2021-03-02,431.948,3,1
2021-03-03,404.205,3,2
2021-03-04,378.295,3,3
2021-03-05,495.347,3,4
2021-03-06,771.857,3,5
2021-03-07,654.028,3,6
2021-03-08,463.252,3,0
2021-03-09,478.832,3,1
2021-03-10,335.483,3,2
2021-03-11,370.111,3,3
2021-03-12,415.685,3,4
2021-03-13,491.546,3,5
2021-03-14,458.217,3,6
2021-03-15,281.749,3,0
2021-03-16,270.232,3,1
2021-03-17,303.569,3,2
2021-03-18,329.091,3,3
2021-03-19,375.972,3,4
2021-03-20,558.942,3,5
2021-03-21,517.793,3,6
2021-03-22,288.812,3,0
2021-03-23,311.106,3,1
2021-03-24,238.029,3,2
2021-03-25,239.942,3,3
2021-03-26,422.273,3,4
2021-03-27,469.286,3,5
2021-03-28,395.704,3,6
2021-03-29,312.862,3,0
2021-03-30,284.035,3,1
2021-03-31,317.53,3,2
2021-04-01,344.719,4,3
2021-04-02,449.97,4,4
2021-04-03,528.418,4,5
2021-04-04,470.356,4,6
2021-04-05,476.529,4,0
2021-04-06,122.247,4,1
2021-04-07,369.699,4,2
2021-04-08,277.181,4,3
2021-04-09,329.834,4,4
2021-04-10,447.521,4,5
2021-04-11,452.445,4,6
2021-04-12,276.863,4,0
2021-04-13,266.274,4,1
2021-04-14,308.561,4,2
2021-04-15,270.943,4,3
2021-04-16,314.788,4,4
2021-04-17,471.379,4,5
2021-04-18,468.645,4,6
2021-04-19,285.15,4,0
2021-04-20,311.167,4,1
2021-04-21,354.244,4,2
2021-04-22,300.233,4,3
2021-04-23,358.607,4,4
2021-04-24,608.187,4,5
2021-04-25,460.95,4,6
2021-04-26,316.973,4,0
2021-04-27,278.105,4,1
2021-04-28,270.449,4,2
2021-04-29,280.37,4,3
2021-04-30,305.488,4,4
2021-05-01,395.526,5,5
2021-05-02,403.088,5,6
2021-05-03,446.21,5,0
2021-05-04,352.143,5,1
2021-05-05,403.448,5,2
2021-05-06,304.911,5,3
2021-05-07,308.219,5,4
2021-05-08,325.85,5,5
2021-05-09,445.93,5,6
2021-05-10,308.855,5,0
2021-05-11,329.737,5,1
2021-05-12,300.735,5,2
2021-05-13,294.51,5,3
2021-05-14,356.905,5,4
2021-05-15,485.369,5,5
2021-05-16,494.877,5,6
2021-05-17,341.009,5,0
2021-05-18,354.775,5,1
2021-05-19,313.152,5,2
2021-05-20,293.606,5,3
2021-05-21,246.525,5,4
2021-05-22,404.495,5,5
2021-05-23,540.919,5,6
2021-05-24,295.477,5,0
2021-05-25,275.797,5,1
2021-05-26,330.217,5,2
2021-05-27,269.805,5,3
2021-05-28,283.872,5,4
2021-05-29,414.242,5,5
2021-05-30,389.396,5,6
2021-05-31,356.144,5,0
2021-06-01,337.155,6,1
2021-06-02,391.232,6,2
2021-06-03,324.925,6,3
2021-06-04,293.464,6,4
2021-06-05,455.905,6,5
2021-06-06,424.202,6,6
2021-06-07,308.82,6,0
2021-06-08,285.802,6,1
2021-06-09,263.992,6,2
2021-06-10,257.636,6,3
2021-06-11,274.793,6,4
2021-06-12,471.794,6,5
2021-06-13,488.522,6,6
2021-06-14,419.61,6,0
2021-06-15,295.274,6,1
2021-06-16,219.482,6,2
2021-06-17,268.31,6,3
2021-06-18,297.708,6,4
2021-06-19,415.798,6,5
2021-06-20,440.515,6,6
2021-06-21,315.523,6,0
2021-06-22,281.971,6,1
2021-06-23,303.421,6,2
2021-06-24,261.826,6,3
2021-06-25,278.899,6,4
2021-06-26,455.754,6,5
2021-06-27,450.108,6,6
2021-06-28,271.55,6,0
2021-06-29,240.54,6,1
2021-06-30,268.007,6,2
2021-07-01,304.324,7,3
2021-07-02,283.945,7,4
2021-07-03,463.765,7,5
2021-07-04,408.505,7,6
2021-07-05,401.534,7,0
2021-07-06,358.549,7,1
2021-07-07,294.501,7,2
2021-07-08,329.205,7,3
2021-07-09,231.867,7,4
2021-07-10,405.27,7,5
2021-07-11,420.632,7,6
2021-07-12,262.921,7,0
2021-07-13,275.497,7,1
2021-07-14,343.304,7,2
2021-07-15,270.348,7,3
2021-07-16,457.737,7,4
2021-07-17,466.36,7,5
2021-07-18,466.88,7,6
2021-07-19,326.277,7,0
2021-07-20,298.57,7,1
2021-07-21,340.156,7,2
2021-07-22,321.173,7,3
2021-07-23,295.759,7,4
2021-07-24,444.428,7,5
2021-07-25,471.518,7,6
2021-07-26,292.05,7,0
2021-07-27,381.235,7,1
2021-07-28,411.365,7,2
2021-07-29,361.275,7,3
2021-07-30,391.537,7,4
2021-07-31,453.231,7,5
2021-08-01,494.141,8,6
2021-08-02,502.574,8,0
2021-08-03,459.644,8,1
2021-08-04,522.379,8,2
2021-08-05,439.982,8,3
2021-08-06,363.856,8,4
2021-08-07,448.272,8,5
2021-08-08,484.564,8,6
2021-08-09,445.121,8,0
2021-08-10,357.516,8,1
2021-08-11,378.909,8,2
2021-08-12,490.461,8,3
2021-08-13,510.403,8,4
2021-08-14,530.714,8,5
2021-08-15,525.96,8,6
2021-08-16,365.021,8,0
2021-08-17,395.163,8,1
2021-08-18,366.866,8,2
2021-08-19,338.874,8,3
2021-08-20,384.865,8,4
2021-08-21,486.639,8,5
2021-08-22,511.145,8,6
2021-08-23,307.687,8,0
2021-08-24,328.786,8,1
2021-08-25,298.017,8,2
2021-08-26,469.796,8,3
2021-08-27,493.731,8,4
2021-08-28,501.412,8,5
2021-08-29,527.879,8,6
2021-08-30,422.351,8,0
2021-08-31,388.339,8,1
2021-09-01,367.01,9,2
2021-09-02,344.004,9,3
2021-09-03,338.387,9,4
2021-09-04,516.814,9,5
2021-09-05,517.592,9,6
2021-09-06,361.336,9,0
2021-09-07,329.479,9,1
2021-09-08,309.652,9,2
2021-09-09,268.465,9,3
2021-09-10,288.435,9,4
2021-09-11,485.322,9,5
2021-09-12,509.376,9,6
2021-09-13,297.845,9,0
2021-09-14,309.693,9,1
2021-09-15,285.692,9,2
2021-09-16,244.133,9,3
2021-09-17,259.505,9,4
2021-09-18,316.588,9,5
2021-09-19,596.91,9,6
2021-09-20,609.803,9,0
2021-09-21,602.042,9,1
2021-09-22,324.13,9,2
2021-09-23,255.085,9,3
2021-09-24,240.731,9,4
2021-09-25,425.811,9,5
2021-09-26,301.549,9,6
2021-09-27,200.902,9,0
2021-09-28,226.52,9,1
2021-09-29,256.443,9,2
2021-09-30,257.665,9,3
2021-10-01,492.213,10,4
2021-10-02,406.589,10,5
2021-10-03,374.924,10,6
2021-10-04,377.027,10,0
2021-10-05,428.005,10,1
2021-10-06,513.453,10,2
2021-10-07,387.36,10,3
2021-10-08,345.522,10,4
2021-10-09,307.673,10,5
2021-10-10,573.33,10,6
2021-10-11,244.48,10,0
2021-10-12,256.814,10,1
2021-10-13,236.419,10,2
2021-10-14,207.985,10,3
2021-10-15,386.581,10,4
2021-10-16,546.342,10,5
2021-10-17,390.167,10,6
2021-10-18,230.761,10,0
2021-10-19,219.398,10,1
2021-10-20,269.993,10,2
2021-10-21,218.066,10,3
2021-10-22,212.842,10,4
2021-10-23,327.395,10,5
2021-10-24,266.541,10,6
2021-10-25,172.471,10,0
2021-10-26,209.186,10,1
2021-10-27,221.09,10,2
2021-10-28,185.622,10,3
2021-10-29,227.602,10,4
2021-10-30,336.061,10,5
2021-10-31,295.908,10,6
2021-11-01,206.256,11,0
2021-11-02,222.566,11,1
2021-11-03,231.873,11,2
2021-11-04,227.886,11,3
2021-11-05,327.775,11,4
2021-11-06,373.344,11,5
2021-11-07,462.03,11,6
2021-11-08,247.478,11,0
2021-11-09,194.754,11,1
2021-11-10,206.352,11,2
2021-11-11,171.396,11,3
2021-11-12,211.708,11,4
2021-11-13,242.705,11,5
2021-11-14,308.135,11,6
2021-11-15,157.237,11,0
2021-11-16,152.009,11,1
2021-11-17,170.002,11,2
2021-11-18,124.302,11,3
2021-11-19,136.922,11,4
2021-11-20,280.353,11,5
2021-11-21,298.722,11,6
2021-11-22,140.38,11,0
2021-11-23,144.392,11,1
2021-11-24,139.021,11,2
2021-11-25,128.267,11,3
2021-11-26,155.14,11,4
2021-11-27,242.467,11,5
2021-11-28,241.513,11,6
2021-11-29,143.509,11,0
2021-11-30,169.157,11,1
2021-12-01,176.582,12,2
2021-12-02,149.288,12,3
2021-12-03,199.623,12,4
2021-12-04,317.289,12,5
2021-12-05,339.99,12,6
2021-12-06,183.333,12,0
2021-12-07,184.64,12,1
2021-12-08,191.671,12,2
2021-12-09,169.247,12,3
2021-12-10,206.07,12,4
2021-12-11,471.901,12,5
2021-12-12,327.375,12,6
2021-12-13,239.426,12,0
2021-12-14,251.707,12,1
2021-12-15,221.713,12,2
2021-12-16,254.656,12,3
2021-12-17,286.165,12,4
2021-12-18,407.493,12,5
2021-12-19,447.481,12,6
2021-12-20,263.951,12,0
2021-12-21,229.902,12,1
2021-12-22,198.944,12,2
2021-12-23,232.803,12,3
2021-12-24,310.471,12,4
2021-12-25,497.245,12,5
2021-12-26,498.979,12,6
2021-12-27,220.651,12,0
2021-12-28,232.347,12,1
2021-12-29,194.518,12,2
2021-12-30,217.41,12,3
2021-12-31,424.472,12,4
2022-01-01,426.249,1,5
2022-01-02,283.052,1,6
2022-01-03,340.698,1,0
2022-01-04,292.104,1,1
2022-01-05,256.394,1,2
2022-01-06,248.431,1,3
2022-01-07,312.911,1,4
2022-01-08,440.738,1,5
2022-01-09,499.77,1,6
2022-01-10,279.988,1,0
2022-01-11,296.372,1,1
2022-01-12,294.009,1,2
2022-01-13,242.384,1,3
2022-01-14,312.41,1,4
2022-01-15,373.689,1,5
2022-01-16,405.944,1,6
2022-01-17,231.668,1,0
2022-01-18,230.949,1,1
2022-01-19,328.553,1,2
2022-01-20,391.986,1,3
2022-01-21,418.636,1,4
2022-01-22,563.125,1,5
2022-01-23,568.15,1,6
2022-01-24,458.764,1,0
2022-01-25,468.18,1,1
2022-01-26,482.057,1,2
2022-01-27,566.36,1,3
2022-01-28,892.809,1,4
2022-01-29,1137.173,1,5
2022-01-30,1210.302,1,6
2022-02-01,233.535,2,1
2022-02-02,388.067,2,2
2022-02-03,373.094,2,3
2022-02-04,600.729,2,4
2022-02-05,473.26,2,5
2022-02-06,596.37,2,6
2022-02-07,465.864,2,0
2022-02-08,396.282,2,1
2022-02-09,347.821,2,2
2022-02-10,327.72,2,3
2022-02-11,336.978,2,4
2022-02-12,375.47,2,5
2022-02-13,376.491,2,6
2022-02-14,332.545,2,0
2022-02-15,368.974,2,1
2022-02-16,223.673,2,2
2022-02-17,280.815,2,3
2022-02-18,292.788,2,4
2022-02-19,362.534,2,5
2022-02-20,306.663,2,6
2022-02-21,217.609,2,0
2022-02-22,237.947,2,1
2022-02-23,185.092,2,2
2022-02-24,228.647,2,3
2022-02-25,280.943,2,4
2022-02-26,351.832,2,5
2022-02-27,299.469,2,6
2022-02-28,220.072,2,0
2022-03-01,195.05,3,1
2022-03-02,208.466,3,2
2022-03-03,195.251,3,3
2022-03-04,230.812,3,4
2022-03-05,349.913,3,5
2022-03-06,360.065,3,6
2022-03-07,178.763,3,0
2022-03-08,198.696,3,1
2022-03-09,190.69,3,2
2022-03-10,189.076,3,3
2022-03-11,217.741,3,4
2022-03-12,337.889,3,5
2022-03-13,283.307,3,6
2022-03-14,245.929,3,0
2022-03-15,235.595,3,1
2022-03-16,236.991,3,2
2022-03-17,275.132,3,3
2022-03-18,296.004,3,4
2022-03-19,476.544,3,5
2022-03-20,404.138,3,6
2022-03-21,358.075,3,0
2022-03-22,318.063,3,1
2022-03-23,239.817,3,2
2022-03-24,213.634,3,3
2022-03-25,325.143,3,4
2022-03-26,373.486,3,5
2022-03-27,333.883,3,6
2022-03-28,209.112,3,0
2022-03-29,198.998,3,1
2022-03-30,253.278,3,2
2022-03-31,239.945,3,3
2022-04-01,298.492,4,4
2022-04-02,313.178,4,5
2022-04-03,337.758,4,6
2022-04-04,374.573,4,0
2022-04-05,274.873,4,1
2022-04-06,203.611,4,2
2022-04-07,160.387,4,3
2022-04-08,172.875,4,4
2022-04-09,363.894,4,5
2022-04-10,380.039,4,6
2022-04-11,192.703,4,0
2022-04-12,233.301,4,1
2022-04-13,244.586,4,2
2022-04-14,243.084,4,3
2022-04-15,282.952,4,4
2022-04-16,297.114,4,5
2022-04-17,295.502,4,6
2022-04-18,242.687,4,0
2022-04-19,208.393,4,1
2022-04-20,222.209,4,2
2022-04-21,223.872,4,3
2022-04-22,256.799,4,4
2022-04-23,287.285,4,5
2022-04-24,229.651,4,6
2022-04-25,280.941,4,0
2022-04-26,195.218,4,1
2022-04-27,216.764,4,2
2022-04-28,243.599,4,3
2022-04-29,285.256,4,4
2022-04-30,329.168,4,5
2022-05-01,316.963,5,6
2022-05-02,284.487,5,0
2022-05-03,247.126,5,1
2022-05-04,261.109,5,2
2022-05-05,185.929,5,3
2022-05-06,227.807,5,4
2022-05-07,297.544,5,5
2022-05-08,318.656,5,6
2022-05-09,249.525,5,0
2022-05-10,205.174,5,1
2022-05-11,186.441,5,2
2022-05-12,190.634,5,3
2022-05-13,257.779,5,4
2022-05-14,376.292,5,5
2022-05-15,348.446,5,6
2022-05-16,190.67,5,0
2022-05-17,161.639,5,1
2022-05-18,196.996,5,2
2022-05-19,180.044,5,3
2022-05-20,183.377,5,4
2022-05-21,318.597,5,5
2022-05-22,286.625,5,6
2022-05-23,178.161,5,0
2022-05-24,228.802,5,1
2022-05-25,182.052,5,2
2022-05-26,208.086,5,3
2022-05-27,192.556,5,4
2022-05-28,389.691,5,5
2022-05-29,380.063,5,6
2022-05-30,196.816,5,0
2022-05-31,206.232,5,1
2022-06-01,218.232,6,2
2022-06-02,262.868,6,3
2022-06-03,420.321,6,4
2022-06-04,238.69,6,5
2022-06-05,259.282,6,6
2022-06-06,237.767,6,0
2022-06-07,223.314,6,1
2022-06-08,234.01,6,2
2022-06-09,412.71,6,3
2022-06-10,241.057,6,4
2022-06-11,385.454,6,5
2022-06-12,373.128,6,6
2022-06-13,241.876,6,0
2022-06-14,224.103,6,1
2022-06-15,229.63,6,2
2022-06-16,250.175,6,3
2022-06-17,272.526,6,4
2022-06-18,417.276,6,5
2022-06-19,404.442,6,6
2022-06-20,267.593,6,0
2022-06-21,228.473,6,1
2022-06-22,231.723,6,2
2022-06-23,179.453,6,3
2022-06-24,233.733,6,4
2022-06-25,334.097,6,5
2022-06-26,363.113,6,6
2022-06-27,216.029,6,0
2022-06-28,257.814,6,1
2022-06-29,301.278,6,2
2022-06-30,275.282,6,3
2022-07-01,287.146,7,4
2022-07-02,408.991,7,5
2022-07-03,443.707,7,6
2022-07-04,266.727,7,0
2022-07-05,327.977,7,1
2022-07-06,327.048,7,2
2022-07-07,311.737,7,3
2022-07-08,310.215,7,4
2022-07-09,417.957,7,5
2022-07-10,477.96,7,6
2022-07-11,343.537,7,0
2022-07-12,319.731,7,1
2022-07-13,362.663,7,2
2022-07-14,289.903,7,3
2022-07-15,329.843,7,4
2022-07-16,524.048,7,5
2022-07-17,534.28,7,6
2022-07-18,346.967,7,0
2022-07-19,372.44,7,1
2022-07-20,437.013,7,2
2022-07-21,446.773,7,3
2022-07-22,366.38,7,4
2022-07-23,526.852,7,5
2022-07-24,479.792,7,6
2022-07-25,449.552,7,0
2022-07-26,480.401,7,1
2022-07-27,452.385,7,2
2022-07-28,511.198,7,3
2022-07-29,651.377,7,4
2022-07-30,718.28,7,5
2022-07-31,762.796,7,6
2022-08-01,698.301,8,0
2022-08-02,573.337,8,1
2022-08-03,753.034,8,2
2022-08-04,735.048,8,3
2022-08-05,695.82,8,4
2022-08-06,848.805,8,5
2022-08-07,835.41,8,6
2022-08-08,709.586,8,0
2022-08-09,708.289,8,1
2022-08-10,673.915,8,2
2022-08-11,699.158,8,3
2022-08-12,723.671,8,4
2022-08-13,1045.424,8,5
2022-08-14,921.657,8,6
2022-08-15,748.379,8,0
2022-08-16,793.248,8,1
2022-08-17,783.795,8,2
2022-08-18,961.805,8,3
2022-08-19,1246.084,8,4
2022-08-20,946.44,8,5
2022-08-21,913.323,8,6
2022-08-22,581.076,8,0
2022-08-23,560.567,8,1
2022-08-24,484.429,8,2
2022-08-25,522.953,8,3
2022-08-26,562.092,8,4
2022-08-27,762.637,8,5
2022-08-28,793.029,8,6
2022-08-29,606.199,8,0
2022-08-30,552.867,8,1
2022-08-31,401.879,8,2
2022-09-01,586.112,9,3
2022-09-02,593.646,9,4
2022-09-03,832.281,9,5
2022-09-04,969.799,9,6
2022-09-05,575.11,9,0
2022-09-06,489.999,9,1
2022-09-07,485.322,9,2
2022-09-08,471.644,9,3
2022-09-09,778.125,9,4
2022-09-10,908.233,9,5
2022-09-11,693.762,9,6
2022-09-12,669.16,9,0
2022-09-13,462.605,9,1
2022-09-14,378.093,9,2
2022-09-15,381.738,9,3
2022-09-16,444.316,9,4
2022-09-17,736.379,9,5
2022-09-18,751.059,9,6
2022-09-19,336.595,9,0
2022-09-20,434.883,9,1
2022-09-21,397.221,9,2
2022-09-22,421.842,9,3
2022-09-23,511.115,9,4
2022-09-24,766.236,9,5
2022-09-25,640.878,9,6
2022-09-26,379.388,9,0
2022-09-27,324.334,9,1
2022-09-28,368.734,9,2
2022-09-29,379.998,9,3
2022-09-30,485.035,9,4
2022-10-01,789.399,10,5
2022-10-02,667.489,10,6
2022-10-03,603.016,10,0
2022-10-04,715.924,10,1
2022-10-05,783.068,10,2
2022-10-06,950.421,10,3
2022-10-07,990.703,10,4
2022-10-08,702.764,10,5
2022-10-09,694.125,10,6
2022-10-10,620.014,10,0
2022-10-11,534.884,10,1
2022-10-12,512.917,10,2
2022-10-13,399.3,10,3
2022-10-14,275.119,10,4
2022-10-15,976.045,10,5
2022-10-16,907.933,10,6
2022-10-17,543.139,10,0
2022-10-18,689.821,10,1
2022-10-19,512.377,10,2
2022-10-20,524.273,10,3
2022-10-21,1529.14,10,4
2022-10-22,755.199,10,5
2022-10-23,648.297,10,6
2022-10-24,428.549,10,0
2022-10-25,509.659,10,1
2022-10-26,527.001,10,2
2022-10-27,510.201,10,3
2022-10-28,646.052,10,4
2022-10-29,954.34,10,5
2022-10-30,776.954,10,6
2022-10-31,313.265,10,0
2022-11-01,367.801,11,1
2022-11-03,415.816,11,3
2022-11-05,683.195,11,5
2022-11-06,603.632,11,6
2022-11-07,370.126,11,0
2022-11-08,331.611,11,1
2022-11-09,331.407,11,2
2022-11-10,349.512,11,3
2022-11-11,560.198,11,4
2022-11-12,895.247,11,5
2022-11-13,819.689,11,6
2022-11-14,456.148,11,0
2022-11-15,440.677,11,1
2022-11-16,442.414,11,2
2022-11-17,514.98,11,3
2022-11-18,879.512,11,4
2022-11-19,2483.88,11,5
2022-11-20,663.474,11,6
2022-11-21,1969.171,11,0
2022-11-22,364.229,11,1
2022-11-23,504.898,11,2
2022-11-24,478.816,11,3
2022-11-25,490.434,11,4
2022-11-26,593.386,11,5
2022-11-27,76.601,11,6
2022-11-28,70.882,11,0
2022-11-29,64.243,11,1
2022-12-04,226.851,12,6
2022-12-05,474.843,12,0
2022-12-06,537.145,12,1
2022-12-07,581.253,12,2
2022-12-08,486.236,12,3
2022-12-09,387.602,12,4
2022-12-10,677.232,12,5
2022-12-11,650.059,12,6
2022-12-12,415.952,12,0
2022-12-13,474.495,12,1
2022-12-14,502.091,12,2
2022-12-15,652.259,12,3
2022-12-16,689.7,12,4
2022-12-17,720.016,12,5
2022-12-18,696.297,12,6
2022-12-19,511.43,12,0
2022-12-20,550.915,12,1
2022-12-21,707.939,12,2
2022-12-22,504.752,12,3
2022-12-23,487.871,12,4
2022-12-24,662.451,12,5
2022-12-25,852.947,12,6
2022-12-26,579.582,12,0
2022-12-27,595.94,12,1
2022-12-28,581.8,12,2
2022-12-29,586.537,12,3
2022-12-30,593.315,12,4
2022-12-31,854.196,12,5
2023-01-01,802.917,1,6
2023-01-02,683.537,1,0
2023-01-03,515.806,1,1
2023-01-04,464.532,1,2
2023-01-05,460.274,1,3
2023-01-06,518.134,1,4
2023-01-07,497.3,1,5
2023-01-08,566.63,1,6
2023-01-09,458.329,1,0
2023-01-10,490.868,1,1
2023-01-11,486.216,1,2
2023-01-12,484.318,1,3
2023-01-13,553.348,1,4
2023-01-14,1049.289,1,5
2023-01-15,787.396,1,6
2023-01-16,610.761,1,0
2023-01-17,612.673,1,1
2023-01-18,897.197,1,2
2023-01-19,1428.692,1,3
2023-01-20,2120.115,1,4
2023-01-22,493.354,1,6
2023-01-23,705.847,1,0
2023-01-24,641.22,1,1
2023-01-25,800.576,1,2
