n_days,mean_kg,median_kg,std_kg,cv,min_kg,q1_kg,q3_kg,iqr_kg,p95_kg,max_kg,skewness,excess_kurtosis,zero_days,positive_days,zero_rate,product_code,product_name,category_name,total_net_sales_kg,observed_sales_days,return_days,total_share,total_rank,category_total_net_sales_kg,category_share,category_rank
1085,4.807798,3.859,5.746274,1.195199,0.0,0.0,7.334,7.334,14.21,50.28,2.603707,11.668097,355,730,0.327189,102900005118817,菠菜,花叶类,5216.461,730,4,0.011076,27,198520.978,0.026277,14
1085,4.769585,0.0,7.885855,1.653363,0.0,0.0,8.0,8.0,21.0,56.0,2.057253,4.878756,644,441,0.593548,102900011032022,小皱皮(份),辣椒类,5175.0,441,2,0.010988,28,91588.629,0.056503,6
1085,4.755238,0.961,7.30182,1.535532,0.0,0.0,6.996,6.996,17.4802,55.159,2.544861,9.309615,518,567,0.477419,102900005119975,红薯尖,花叶类,5159.433,567,5,0.010955,29,198520.978,0.025989,15
1085,4.700517,2.685,5.656738,1.203429,0.0,0.0,8.066,8.066,15.5866,35.954,1.393643,2.38889,450,635,0.414747,102900005115762,苋菜,花叶类,5100.061,635,4,0.010829,30,198520.978,0.02569,16
1085,4.57369,0.0,10.32834,2.258207,0.0,0.0,4.801,4.801,22.394,89.525,3.79878,18.21894,701,384,0.646083,102900005122654,枝江红菜苔,花叶类,4962.454,384,1,0.010537,31,198520.978,0.024997,17
1085,4.329465,0.0,6.91165,1.596421,0.0,0.0,7.659,7.659,16.2224,71.463,3.076479,18.548672,637,448,0.587097,102900005116547,金针菇(1),食用菌,4697.47,448,5,0.009974,32,76086.725,0.061738,3
1085,4.318213,0.0,8.934257,2.068971,0.0,0.0,4.562,4.562,22.94,71.582,2.85163,10.254319,745,340,0.686636,102900011008522,甜白菜,花叶类,4685.261,340,5,0.009948,33,198520.978,0.023601,18
1085,4.14444,2.601,5.645905,1.362284,0.0,0.0,6.207,6.207,13.2036,52.276,3.014365,15.05442,374,711,0.3447,102900005115908,菜心,花叶类,4496.717,711,2,0.009548,34,198520.978,0.022651,19
1085,3.897696,0.0,7.36312,1.889096,0.0,0.0,7.0,7.0,20.8,57.0,2.062942,4.933963,792,293,0.729954,102900011034330,双孢菇(盒),食用菌,4229.0,293,3,0.008979,35,76086.725,0.055581,4
1085,3.788168,0.0,5.398064,1.42498,0.0,0.0,6.775,6.775,13.9604,43.262,1.926084,5.561411,571,514,0.526267,102900005115878,茼蒿,花叶类,4110.162,514,9,0.008727,36,198520.978,0.020704,20
1085,3.739171,0.0,10.109602,2.703702,0.0,0.0,0.0,0.0,30.0,70.0,2.918947,8.220882,906,179,0.835023,102900011034224,小青菜(份),花叶类,4057.0,179,1,0.008614,37,198520.978,0.020436,21
1085,3.536006,0.0,7.722786,2.184042,0.0,0.0,3.774,3.774,20.4734,65.999,3.014081,11.742383,800,285,0.737327,102900005115861,牛首油菜,花叶类,3836.566,285,6,0.008146,38,198520.978,0.019326,22
1085,3.241256,1.958,4.127567,1.273447,0.0,0.439,4.192,3.753,11.6192,34.252,2.434135,8.154954,240,845,0.221198,102900005116509,青茄子(1),茄类,3516.763,845,4,0.007467,39,22431.782,0.156776,2
1085,3.186982,1.98,8.216622,2.578183,0.0,0.0,3.577,3.577,7.568,113.844,9.537106,106.741344,330,755,0.304147,102900005116233,红椒(1),辣椒类,3457.875,755,6,0.007342,40,91588.629,0.037754,7
1085,3.011975,0.0,4.061668,1.348507,0.0,0.0,6.109,6.109,9.9004,24.301,1.291766,1.417182,593,492,0.546544,102900011023464,小青菜(1),花叶类,3267.993,492,5,0.006939,41,198520.978,0.016462,23
1085,2.926267,0.0,7.759657,2.651725,0.0,0.0,0.0,0.0,18.0,77.0,4.054481,23.153254,870,215,0.801843,106949711300167,金针菇(袋)(2),食用菌,3175.0,215,4,0.006741,42,76086.725,0.041729,5
1085,2.829493,0.0,7.056405,2.493876,0.0,0.0,2.0,2.0,17.0,118.0,5.90245,69.716208,798,287,0.735484,102900011030141,上海青(份),花叶类,3070.0,287,1,0.006518,43,198520.978,0.015464,24
1085,2.697696,2.0,3.711561,1.375826,0.0,0.0,4.0,4.0,9.0,48.0,3.846657,29.636975,387,698,0.356682,102900011013274,白玉菇(袋),食用菌,2927.0,698,0,0.006215,44,76086.725,0.038469,6
1085,2.683225,0.0,5.67495,2.114974,0.0,0.0,4.148,4.148,10.5408,68.96,5.882376,52.982249,638,447,0.588018,102900005116790,黄心菜(1),花叶类,2911.299,447,2,0.006181,45,198520.978,0.014665,25
1085,2.590522,0.0,7.247612,2.797742,0.0,0.0,2.273,2.273,12.9942,125.417,8.262201,110.16626,788,297,0.726267,102900005115250,西峡花菇(1),食用菌,2810.716,297,5,0.005968,46,76086.725,0.036941,7
1085,2.349309,0.0,6.559873,2.792257,0.0,0.0,0.0,0.0,13.8,88.0,5.205203,41.240248,827,258,0.762212,106949711300068,金针菇(袋)(3),食用菌,2549.0,258,0,0.005412,47,76086.725,0.033501,8
1085,2.343741,0.0,4.359241,1.85995,0.0,0.0,3.406,3.406,11.5724,45.035,2.553009,10.791131,723,362,0.666359,102900005116837,平菇,食用菌,2542.959,362,2,0.005399,48,76086.725,0.033422,9
1085,2.300841,0.0,3.982383,1.730838,0.0,0.0,3.74,3.74,9.6144,50.208,3.309992,22.874867,631,454,0.581567,102900011022764,长线茄,茄类,2496.413,454,3,0.005301,49,22431.782,0.111289,3
1085,2.216569,0.0,3.662997,1.652553,0.0,0.0,3.55,3.55,10.8976,42.436,2.76034,15.306181,633,452,0.58341,102900005125815,杏鲍菇(1),食用菌,2404.977,452,1,0.005106,50,76086.725,0.031608,10
1085,2.126267,0.0,4.817107,2.265523,0.0,0.0,1.0,1.0,12.0,37.0,2.964185,10.646294,805,280,0.741935,102900011032237,青线椒(份),辣椒类,2307.0,280,0,0.004898,51,91588.629,0.025189,8
1085,2.045881,1.669,2.398726,1.172466,0.0,0.0,3.222,3.222,5.5062,29.197,3.857458,33.822855,338,747,0.311521,102900051004294,青线椒,辣椒类,2219.781,747,4,0.004713,52,91588.629,0.024236,9
1085,1.980645,0.0,11.930943,6.023766,0.0,0.0,0.0,0.0,12.0,279.0,14.863336,296.006874,962,123,0.886636,102900011001813,金针菇(袋)(1),食用菌,2149.0,123,1,0.004563,53,76086.725,0.028244,11
1085,1.980645,0.0,4.32774,2.185015,0.0,0.0,2.0,2.0,11.0,45.0,3.365175,16.281868,771,314,0.710599,106958851400125,海鲜菇(袋)(4),食用菌,2149.0,314,1,0.004563,54,76086.725,0.028244,12
1085,1.930876,0.0,8.395429,4.347991,0.0,0.0,0.0,0.0,15.0,80.0,5.51786,34.43621,999,86,0.920737,102900011001561,莲蓬(个),水生根茎类,2095.0,86,0,0.004448,55,40581.353,0.051625,3
1085,1.892166,0.0,4.489469,2.372662,0.0,0.0,1.0,1.0,11.0,72.0,5.197924,57.64574,810,275,0.746544,102900011030134,菜心(份),花叶类,2053.0,275,0,0.004359,56,198520.978,0.010341,26
1085,1.73527,0.0,4.590282,2.645284,0.0,0.0,0.0,0.0,11.9776,46.499,3.817362,20.314024,862,223,0.79447,102900011033920,黄心菜(2),花叶类,1882.768,223,1,0.003998,57,198520.978,0.009484,27
1085,1.721659,0.0,3.199103,1.858152,0.0,0.0,2.0,2.0,9.0,25.0,2.381609,6.818872,719,366,0.662673,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1868.0,366,0,0.003966,58,91588.629,0.020396,10
1085,1.635945,0.0,3.988591,2.438096,0.0,0.0,0.0,0.0,11.0,30.0,3.221655,12.526031,845,240,0.778802,106971533455008,海鲜菇(袋)(3),食用菌,1775.0,240,1,0.003769,59,76086.725,0.023329,13
1085,1.573551,0.0,2.42233,1.539403,0.0,0.0,2.559,2.559,7.1178,11.493,1.525278,1.294187,607,478,0.559447,102900005115793,小白菜,花叶类,1707.303,478,4,0.003625,60,198520.978,0.0086,28
1085,1.540483,0.0,4.744432,3.079834,0.0,0.0,0.0,0.0,10.433,63.326,5.641299,47.177804,872,213,0.803687,102900011009277,荸荠,水生根茎类,1671.424,213,1,0.003549,61,40581.353,0.041187,4
1085,1.443908,0.0,2.300401,1.593177,0.0,0.0,2.636,2.636,5.9966,16.849,1.889267,4.266086,664,421,0.611982,102900005115946,木耳菜,花叶类,1566.64,421,2,0.003326,62,198520.978,0.007892,29
1085,1.42256,0.0,2.38228,1.674643,0.0,0.0,2.241,2.241,6.8146,15.1,2.049636,4.294411,650,435,0.599078,102900011006689,东门口小白菜,花叶类,1543.478,435,1,0.003277,63,198520.978,0.007775,30
1085,1.333966,0.495,2.080661,1.559756,0.0,0.0,2.212,2.212,3.978,30.453,5.147245,51.002586,500,585,0.460829,102900005125808,小米椒,辣椒类,1447.353,585,3,0.003073,64,91588.629,0.015803,11
1085,1.267394,0.0,4.388052,3.462264,0.0,0.0,0.0,0.0,10.9386,35.351,4.165379,19.225843,970,115,0.894009,102900011022849,本地黄心油菜,花叶类,1375.122,115,1,0.00292,65,198520.978,0.006927,31
1085,1.237788,0.0,4.587269,3.706021,0.0,0.0,1.0,1.0,6.0,111.0,15.868083,340.111518,758,327,0.698618,102900011012994,杏鲍菇(袋),食用菌,1343.0,327,0,0.002852,66,76086.725,0.017651,14
1085,1.202352,0.0,2.392742,1.990051,0.0,0.0,1.042,1.042,6.2908,17.368,2.293653,5.978977,792,293,0.729954,102900011033944,杏鲍菇(2),食用菌,1304.552,293,2,0.00277,67,76086.725,0.017146,15
1085,1.200922,0.0,3.959225,3.296822,0.0,0.0,0.0,0.0,11.0,25.0,3.654384,13.408554,966,119,0.890323,106971533450003,海鲜菇(包),食用菌,1303.0,119,0,0.002767,68,76086.725,0.017125,16
1085,1.199078,0.0,3.536186,2.949087,0.0,0.0,0.0,0.0,9.0,37.0,3.784288,18.432827,923,162,0.850691,102900011030912,海鲜菇(份),食用菌,1301.0,162,2,0.002762,69,76086.725,0.017099,17
1085,1.16682,0.0,3.94108,3.377624,0.0,0.0,0.0,0.0,9.0,57.0,5.947738,53.291044,913,172,0.841475,102900011011546,海鲜菇(袋)(1),食用菌,1266.0,172,0,0.002688,70,76086.725,0.016639,18
1085,1.158525,0.0,2.85904,2.467827,0.0,0.0,0.0,0.0,8.0,24.0,3.167135,12.1032,857,228,0.789862,102900011034439,青红杭椒组合装(份),辣椒类,1257.0,228,1,0.002669,71,91588.629,0.013724,12
1085,1.093577,0.487,1.436597,1.313668,0.0,0.0,1.844,1.844,3.9544,12.215,1.847619,5.614741,468,617,0.431336,102900005116226,青尖椒,辣椒类,1186.531,617,2,0.002519,72,91588.629,0.012955,13
1085,1.087237,0.165,1.580975,1.454122,0.0,0.0,1.795,1.795,4.2802,10.501,2.022605,5.109477,541,544,0.498618,102900005118824,高瓜(1),水生根茎类,1179.652,544,1,0.002505,73,40581.353,0.029069,5
1085,1.075777,0.0,3.117416,2.897828,0.0,0.0,0.0,0.0,7.9032,34.276,4.089737,22.141081,888,197,0.818433,102900011009444,大龙茄子,茄类,1167.218,197,0,0.002478,74,22431.782,0.052034,4
1085,1.02212,0.0,2.395312,2.343474,0.0,0.0,0.0,0.0,6.0,28.0,3.614182,21.611797,840,245,0.774194,102900011031926,虫草花(份),食用菌,1109.0,245,0,0.002355,75,76086.725,0.014575,19
1085,0.991705,0.0,5.184326,5.227689,-1.0,0.0,0.0,0.0,3.0,59.0,6.653891,49.570635,1007,77,0.928111,102900011032787,竹叶菜(份),花叶类,1076.0,77,1,0.002285,76,198520.978,0.00542,32
1085,0.987097,0.0,1.860896,1.885221,0.0,0.0,1.0,1.0,5.0,15.0,2.588322,8.682265,726,359,0.669124,102900011001806,姬菇(包),食用菌,1071.0,359,2,0.002274,77,76086.725,0.014076,20
1085,0.965612,0.0,1.827665,1.892753,0.0,0.0,1.37,1.37,4.1418,18.819,3.859979,21.718104,584,501,0.538249,102900051000463,圆茄子(2),茄类,1047.689,501,0,0.002225,78,22431.782,0.046706,5
1085,0.901382,0.0,2.914597,3.233475,0.0,0.0,0.0,0.0,7.0,41.0,5.225729,44.105632,944,141,0.870046,102900011018095,虫草花(袋),食用菌,978.0,141,0,0.002077,79,76086.725,0.012854,21
1085,0.878341,0.0,2.057732,2.342749,0.0,0.0,0.0,0.0,5.0,16.0,3.022784,10.590884,839,246,0.773272,102900011032244,红尖椒(份),辣椒类,953.0,246,0,0.002023,80,91588.629,0.010405,14
1085,0.865968,0.0,1.975218,2.280937,0.0,0.0,0.744,0.744,4.9846,18.8,3.42641,15.550399,782,303,0.720737,102900005115885,蔡甸藜蒿,花叶类,939.575,303,3,0.001995,81,198520.978,0.004733,33
1085,0.858986,0.0,2.282499,2.657201,0.0,0.0,0.0,0.0,6.0,22.0,3.486823,15.934824,892,193,0.82212,102900011031582,青尖椒(份),辣椒类,932.0,193,0,0.001979,82,91588.629,0.010176,15
1085,0.829343,0.0,2.994372,3.610536,0.0,0.0,0.0,0.0,7.2798,27.251,4.359225,21.671352,983,102,0.905991,102900005115168,牛首生菜,花叶类,899.837,102,0,0.001911,83,198520.978,0.004533,34
1085,0.708947,0.0,1.490453,2.102347,0.0,0.0,0.683,0.683,3.7962,12.32,2.78946,10.175723,797,288,0.734562,102900011035078,红椒(2),辣椒类,769.208,288,2,0.001633,84,91588.629,0.008399,16
1085,0.687147,0.0,1.63388,2.377775,0.0,0.0,0.0,0.0,4.6094,11.218,2.996415,9.917299,827,258,0.762212,102900051000944,洪湖藕带,水生根茎类,745.554,258,0,0.001583,85,40581.353,0.018372,6
1085,0.682949,0.0,1.850734,2.709914,0.0,0.0,0.0,0.0,5.0,19.0,3.578683,16.912061,903,182,0.832258,102900011030929,鲜木耳(份),食用菌,741.0,182,0,0.001573,86,76086.725,0.009739,22
1085,0.675221,0.0,1.50806,2.233431,0.0,0.0,0.0,0.0,4.208,11.003,2.741552,8.680434,816,269,0.752074,102900011006948,外地茼蒿,花叶类,732.615,269,0,0.001556,87,198520.978,0.00369,35
1085,0.670046,0.0,3.53343,5.273413,0.0,0.0,0.0,0.0,1.0,35.0,6.077149,39.668882,1027,58,0.946544,102900011033234,红薯尖(份),花叶类,727.0,58,0,0.001544,88,198520.978,0.003662,36
1085,0.662374,0.0,2.741281,4.138569,0.0,0.0,0.0,0.0,5.1828,23.17,5.062517,28.084359,993,92,0.915207,102900005115748,白菜苔,花叶类,718.676,92,0,0.001526,89,198520.978,0.00362,37
1085,0.652535,0.0,3.375624,5.173096,0.0,0.0,0.0,0.0,0.0,40.0,6.305606,45.977916,1034,51,0.952995,106930274620090,海鲜菇(袋)(2),食用菌,708.0,51,1,0.001503,90,76086.725,0.009305,23
1085,0.651613,0.0,1.821942,2.79605,0.0,0.0,0.0,0.0,4.0,15.0,3.692746,15.718543,893,192,0.823041,102900011032213,红杭椒(份),辣椒类,707.0,192,1,0.001501,91,91588.629,0.007719,17
1085,0.628571,0.0,2.381377,3.788554,0.0,0.0,0.0,0.0,6.0,21.0,4.509313,22.190489,985,100,0.907834,102900011031995,姬菇(份),食用菌,682.0,100,1,0.001448,92,76086.725,0.008963,24
1085,0.622324,0.0,2.229124,3.581937,0.0,0.0,0.0,0.0,4.5418,28.465,5.996049,52.667545,943,142,0.869124,102900011000571,随州泡泡青,花叶类,675.221,142,0,0.001434,93,198520.978,0.003401,38
1085,0.606968,0.207,1.091126,1.797667,0.0,0.0,0.945,0.945,2.177,18.426,7.607373,103.278126,497,588,0.458065,102900005116943,红杭椒,辣椒类,658.56,588,1,0.001398,94,91588.629,0.00719,18
1085,0.590783,0.0,1.90656,3.227172,0.0,0.0,0.0,0.0,4.0,31.0,6.406498,70.409442,909,176,0.837788,102900011022030,组合椒系列,辣椒类,641.0,176,2,0.001361,95,91588.629,0.006999,19
1085,0.578542,0.0,1.288565,2.227264,-0.325,0.0,0.0,0.0,3.4038,7.346,2.332251,5.185036,861,223,0.793548,102900005119098,双孢菇,食用菌,627.718,223,1,0.001333,96,76086.725,0.00825,25
1085,0.549951,0.0,2.618455,4.761251,0.0,0.0,0.0,0.0,3.0656,27.89,5.734562,37.503744,1024,61,0.943779,102900005118572,本地上海青,花叶类,596.697,61,0,0.001267,97,198520.978,0.003006,39
1085,0.541014,0.0,2.016405,3.727086,0.0,0.0,0.0,0.0,6.0,14.0,3.854653,14.238039,1002,83,0.923502,102900011030103,茼蒿(份),花叶类,587.0,83,0,0.001246,98,198520.978,0.002957,40
1085,0.462825,0.0,0.835844,1.805961,0.0,0.0,0.8,0.8,2.108,4.779,1.947707,3.832416,759,326,0.699539,102900005119944,海鲜菇(1),食用菌,502.165,326,1,0.001066,99,76086.725,0.0066,26
1085,0.436235,0.0,1.692966,3.880857,0.0,0.0,0.0,0.0,4.0218,14.415,4.517055,22.148068,996,89,0.917972,102900011033937,金针菇(2),食用菌,473.315,89,0,0.001005,100,76086.725,0.006221,27
1085,0.43318,0.0,1.615882,3.730281,0.0,0.0,0.0,0.0,3.0,22.0,6.02816,50.849982,955,130,0.880184,102900011030905,鱼腥草(份),花叶类,470.0,130,0,0.000998,101,198520.978,0.002368,41
1085,0.421198,0.0,1.601577,3.802431,0.0,0.0,0.0,0.0,3.0,13.0,4.775817,24.962872,975,110,0.898618,102900011032206,青杭椒(份),辣椒类,457.0,110,0,0.00097,102,91588.629,0.00499,20
1085,0.414455,0.0,1.356468,3.272893,0.0,0.0,0.0,0.0,3.6378,11.046,4.061308,17.539496,926,159,0.853456,102900011032732,高瓜(2),水生根茎类,449.684,159,1,0.000955,103,40581.353,0.011081,7
1085,0.413696,0.0,1.239862,2.997038,0.0,0.0,0.0,0.0,3.173,10.203,3.672915,14.723965,921,164,0.848848,102900011010891,野藕(1),水生根茎类,448.86,164,2,0.000953,104,40581.353,0.011061,8
1085,0.404233,0.0,0.885535,2.190654,0.0,0.0,0.378,0.378,2.2136,7.756,3.211999,13.62884,771,314,0.710599,102900005116219,红尖椒,辣椒类,438.593,314,1,0.000931,105,91588.629,0.004789,21
1085,0.392627,0.0,2.164103,5.511858,0.0,0.0,0.0,0.0,1.0,25.0,6.831683,52.546504,1029,56,0.948387,102900011034200,苋菜(份),花叶类,426.0,56,0,0.000905,106,198520.978,0.002146,42
1085,0.382788,0.0,1.196655,3.126155,0.0,0.0,0.0,0.0,2.818,11.585,4.257236,21.780011,921,164,0.848848,102900005115854,萝卜叶,花叶类,415.325,164,0,0.000882,107,198520.978,0.002092,43
1085,0.38142,0.0,2.065312,5.414793,0.0,0.0,0.0,0.0,1.8306,35.755,8.691545,104.56483,1016,69,0.936406,102900011032619,西峡香菇(2),食用菌,413.841,69,2,0.000879,108,76086.725,0.005439,28
1085,0.367742,0.0,1.886608,5.13025,-1.0,0.0,0.0,0.0,2.0,30.0,10.110413,131.601045,985,99,0.907834,106930274220092,蟹味菇(袋),食用菌,399.0,99,1,0.000847,109,76086.725,0.005244,29
1085,0.349309,0.0,1.964776,5.624753,0.0,0.0,0.0,0.0,2.0,34.0,9.411321,118.769,1020,65,0.940092,102900011035788,西峡香菇(份),食用菌,379.0,65,0,0.000805,110,76086.725,0.004981,30
1085,0.345827,0.0,0.634537,1.83484,0.0,0.0,0.508,0.508,1.6668,4.185,1.883468,3.51751,777,308,0.716129,102900005116912,姬菇(1),食用菌,375.222,308,0,0.000797,111,76086.725,0.004932,31
1085,0.341935,0.0,1.140556,3.33559,0.0,0.0,0.0,0.0,3.0,10.0,4.344817,21.529961,948,137,0.873733,102900011035740,蟹味菇与白玉菇双拼(盒),食用菌,371.0,137,0,0.000788,112,76086.725,0.004876,32
1085,0.341044,0.0,0.798223,2.340526,0.0,0.0,0.0,0.0,2.1488,5.841,2.960932,9.939242,827,258,0.762212,102900011032343,七彩椒(2),辣椒类,370.033,258,1,0.000786,113,91588.629,0.00404,22
1085,0.321475,0.0,1.450003,4.510474,0.0,0.0,0.0,0.0,2.3728,13.852,5.429878,33.119454,1015,70,0.935484,102900011035511,净藕(3),水生根茎类,348.8,70,0,0.000741,114,40581.353,0.008595,9
1085,0.314286,0.0,1.669078,5.310701,0.0,0.0,0.0,0.0,0.0,15.0,6.006724,38.043202,1038,47,0.956682,102900011034217,小白菜(份),花叶类,341.0,47,1,0.000724,115,198520.978,0.001718,44
1085,0.307118,0.0,1.119434,3.644965,0.0,0.0,0.0,0.0,2.0222,12.849,6.188385,50.296346,934,151,0.860829,102900005115199,四川红香椿,花叶类,333.223,151,1,0.000708,116,198520.978,0.001679,45
1085,0.288479,0.0,1.472599,5.104696,0.0,0.0,0.0,0.0,0.0,20.0,6.662456,56.049383,1033,52,0.952074,102900011030042,枝江红菜苔(份),花叶类,313.0,52,0,0.000665,117,198520.978,0.001577,46
1085,0.273878,0.0,2.098942,7.663775,0.0,0.0,0.0,0.0,0.0,51.508,15.630031,338.599179,1041,44,0.959447,102900011033982,紫茄子(1),茄类,297.158,44,0,0.000631,118,22431.782,0.013247,6
1085,0.272811,0.0,1.403491,5.144552,0.0,0.0,0.0,0.0,0.0,15.0,5.787634,36.638278,1039,46,0.957604,102900011030158,小青菜(2),花叶类,296.0,46,0,0.000628,119,198520.978,0.001491,47
1085,0.264516,0.0,0.841215,3.180201,0.0,0.0,0.0,0.0,2.0,7.0,4.173624,20.309197,944,141,0.870046,102900011007044,银耳(朵),食用菌,287.0,141,1,0.000609,120,76086.725,0.003772,33
1085,0.260829,0.0,1.084606,4.158295,0.0,0.0,0.0,0.0,2.0,9.0,4.918371,25.839462,1000,85,0.921659,102900011032220,水果辣椒(份),辣椒类,283.0,85,0,0.000601,121,91588.629,0.00309,23
