销售日期,分类,实际日销量,主模型拟合日销量,主模型销量尺度残差,主模型残差
2020-10-15,花叶类,190.238,139.8844389663261,50.35356103367391,0.3682143591378617
2020-10-16,花叶类,170.77,152.61747777419487,18.152522225805143,0.17313806143708366
2020-10-17,花叶类,249.493,215.4740432649497,34.018956735050295,0.2073454903645251
2020-10-18,花叶类,226.735,203.63574059483156,23.099259405168453,0.1682042072715344
2020-10-19,花叶类,152.709,159.89130574469905,-7.18230574469905,0.014794989382644452
2020-10-20,花叶类,186.078,150.4711529908223,35.6068470091777,0.2731496343912667
2020-10-21,花叶类,168.765,157.7972536351442,10.967746364855799,0.12795129559882756
2020-10-22,花叶类,117.235,145.60660032378706,-28.371600323787064,-0.15597291417510384
2020-10-23,花叶类,190.254,185.24801089600888,5.005989103991112,0.08741957985429849
2020-10-24,花叶类,282.107,249.16440628325412,32.942593716745904,0.1849285718946474
2020-10-25,花叶类,223.397,224.2815941683277,-0.884594168327709,0.05680316363100246
2020-10-26,花叶类,157.832,169.72890385641043,-11.896903856410432,-0.011916219717906351
2020-10-27,花叶类,154.566,175.64840040462946,-21.082400404629453,-0.0671079972823776
2020-10-28,花叶类,167.542,172.86520436713812,-5.323204367138118,0.0294770259009578
2020-10-29,花叶类,120.551,164.23426225600429,-43.683262256004284,-0.24846585199373372
2020-10-30,花叶类,148.243,186.83353398086817,-38.59053398086817,-0.1706101234755879
2020-10-31,花叶类,248.102,258.064234176308,-9.962234176307987,0.0213865134029243
2020-11-01,花叶类,206.956,149.78686334949467,57.16913665050532,0.3840479227246405
2020-11-02,花叶类,143.656,116.9070660322221,26.7489339677779,0.26679732606949624
2020-11-03,花叶类,131.679,110.32915843065213,21.349841569347873,0.23765398081777978
2020-11-04,花叶类,122.114,114.54050924263287,7.573490757367139,0.12478156680325725
2020-11-05,花叶类,146.327,109.12036692734978,37.20663307265022,0.35414737167617005
2020-11-06,花叶类,142.586,118.290612365088,24.295387634912018,0.24755599816770246
2020-11-07,花叶类,224.3,168.6453190694453,55.65468093055472,0.34594172078046803
2020-11-08,花叶类,209.808,158.9084339507552,50.89956604924478,0.33861976263913895
2020-11-09,花叶类,144.911,114.79287342788139,30.118126572118612,0.29374544214629417
2020-11-10,花叶类,157.962,123.54463634558071,34.417363654419276,0.30650706418489193
2020-11-11,花叶类,149.866,133.50170812384783,16.36429187615218,0.17638237389072664
2020-11-12,花叶类,151.144,129.19298682043447,21.951013179565535,0.21768080155286285
2020-11-13,花叶类,141.0,146.8693176293297,-5.869317629329686,0.019971779790788347
2020-11-14,花叶类,207.145,174.26394244568098,32.88105755431903,0.23360305573969775
2020-11-15,花叶类,227.231,166.82254367379863,60.40845632620136,0.3697915715710094
2020-11-16,花叶类,140.087,117.91647429601865,22.17052570398134,0.2330422143792683
2020-11-17,花叶类,222.517,131.93091984047905,90.58608015952095,0.583480137206239
2020-11-18,花叶类,203.322,128.0784250920182,75.24357490798181,0.522903241992962
2020-11-19,花叶类,206.35,147.27779739827986,59.072202601720136,0.39800825966614095
2020-11-20,花叶类,244.555,168.7320508514234,75.82294914857661,0.43188335880389417
2020-11-21,花叶类,460.646,230.1287710884923,230.51722891150771,0.7547459106666796
2020-11-22,花叶类,371.968,225.56450009849266,146.40349990150736,0.5609567646267415
2020-11-23,花叶类,294.311,148.41621026955488,145.8947897304451,0.7453715580587037
2020-11-24,花叶类,220.189,128.36218248303402,91.82681751696597,0.600385534610175
2020-11-25,花叶类,237.713,145.65138710159698,92.06161289840301,0.5506031418524966
2020-11-26,花叶类,268.633,187.48586314167935,81.14713685832064,0.4203977749040204
2020-11-27,花叶类,225.596,174.21033358120948,51.38566641879052,0.3192374911790976
2020-11-28,花叶类,400.295,269.41948012250435,130.87551987749566,0.4566872897187082
2020-11-29,花叶类,287.707,240.50181537787287,47.20518462212712,0.23997004837714808
2020-11-30,花叶类,207.353,164.46477653962222,42.88822346037779,0.2924813170611884
2020-12-01,花叶类,287.797,202.56485645317238,85.23214354682764,0.4119503415255217
2020-12-02,花叶类,213.665,187.86882054242375,25.796179457576244,0.189420496783808
2020-12-03,花叶类,273.297,203.27513172316225,70.02186827683778,0.3567538109084074
2020-12-04,花叶类,241.79,195.9637033483184,45.82629665168159,0.27089521083107204
2020-12-05,花叶类,306.959,289.21175695041023,17.74724304958977,0.12031013044761885
2020-12-06,花叶类,367.129,290.89928606155877,76.22971393844125,0.29349125875440585
2020-12-07,花叶类,197.718,189.94715561435413,7.770844385645859,0.10085095302435665
2020-12-08,花叶类,183.98,186.54879536098156,-2.568795360981568,0.046889298943384006
2020-12-09,花叶类,179.506,182.83507663375042,-3.329076633750418,0.04237919271760049
2020-12-10,花叶类,188.539,182.97619834525503,5.562801654744959,0.09070388642583982
2020-12-11,花叶类,212.51,215.65826999250362,-3.1482699925036286,0.04604905966154593
2020-12-12,花叶类,269.619,282.6285648825826,-13.009564882582595,0.013631392423042676
2020-12-13,花叶类,375.781,279.09962234783137,96.68137765216863,0.3581928245404704
2020-12-14,花叶类,196.775,179.73663371918218,17.038366280817826,0.1513233956676734
2020-12-15,花叶类,203.808,175.09274916061278,28.71525083938721,0.21261763054125815
2020-12-16,花叶类,143.474,170.65471167298762,-27.180711672987627,-0.11273336593055205
2020-12-17,花叶类,167.799,178.00587364585087,-10.206873645850862,0.0017053718631858672
2020-12-18,花叶类,145.775,159.95660413211849,-14.18160413211848,-0.032083132081954346
2020-12-19,花叶类,264.54,244.1989426704324,20.341057329567633,0.14076432178104437
2020-12-20,花叶类,276.911,238.40535862022358,38.50564137977642,0.2104788276296219
2020-12-21,花叶类,135.374,159.4228575741088,-24.04885757410881,-0.10276375016770345
2020-12-22,花叶类,142.433,167.53279958392284,-25.099799583922845,-0.10155235172223431
2020-12-23,花叶类,143.036,144.6432996670099,-1.6072996670098973,0.049580722562905244
2020-12-24,花叶类,218.21,182.15040446877643,36.05959553122358,0.2413802429665841
2020-12-25,花叶类,159.654,157.47504068017486,2.1789593198251396,0.07449708489999285
2020-12-26,花叶类,285.224,265.36473543398586,19.859264566014133,0.1329246817546359
2020-12-27,花叶类,288.755,260.68614808911207,28.06885191088793,0.1630164767855744
2020-12-28,花叶类,251.455,191.64240808154787,59.81259191845214,0.33238795458269443
2020-12-29,花叶类,223.512,183.84931424001763,39.66268575998237,0.25610371122579156
2020-12-30,花叶类,146.39,151.5405527254821,-5.1505527254821,0.026176114378199777
2020-12-31,花叶类,178.876,124.76308232817973,54.11291767182027,0.4210313159431216
2021-01-01,花叶类,224.797,192.0735437665938,32.72345623340621,0.21807451867869876
2021-01-02,花叶类,212.911,263.6706083185352,-50.759608318535186,-0.15307130526708956
2021-01-03,花叶类,211.636,270.3945682777484,-58.758568277748424,-0.1842593533169392
2021-01-04,花叶类,177.80100000000002,197.71333184232583,-19.912331842325813,-0.04539813017134087
2021-01-05,花叶类,154.654,170.27425245042295,-15.620252450422953,-0.03546493813498408
2021-01-06,花叶类,176.824,190.4372770092502,-13.613277009250197,-0.013412913127353043
2021-01-07,花叶类,161.628,165.2129489987104,-3.5849489987104164,0.038817241701678995
2021-01-08,花叶类,234.462,191.0391008287211,43.422899171278885,0.2655704894526352
2021-01-09,花叶类,233.427,233.24464329672955,0.18235670327044318,0.061536605515248866
2021-01-10,花叶类,250.645,254.27494967913583,-3.6299496791358195,0.04637651984489821
2021-01-11,花叶类,182.204,186.86536625435264,-4.661366254352629,0.03549363256321936
2021-01-12,花叶类,172.596,180.24739398609898,-7.651393986098981,0.017378370205436866
2021-01-13,花叶类,172.101,169.06592188298285,3.03507811701715,0.07854788967838999
2021-01-14,花叶类,148.947,153.9350617147317,-4.9880617147316855,0.027814786745275377
2021-01-15,花叶类,171.213,165.13968647849427,6.073313521505725,0.09687178001765417
2021-01-16,花叶类,252.825,222.1452784158772,30.679721584122802,0.19012105974976645
2021-01-17,花叶类,228.991,220.38262619175617,8.60837380824384,0.0990725409127684
2021-01-18,花叶类,167.119,131.8319988310921,35.28700116890789,0.2979328427458219
2021-01-19,花叶类,216.055,163.8064051638748,52.24859483612519,0.33760281576363393
2021-01-20,花叶类,197.353,144.12457343673066,53.22842656326935,0.3750710695845001
2021-01-21,花叶类,219.93,153.6269557439304,66.3030442560696,0.41953710054406823
2021-01-22,花叶类,218.136,149.75203048629595,68.38396951370405,0.4368930104884807
2021-01-23,花叶类,214.815,230.4466115940065,-15.6316115940065,-0.009486937945793805
2021-01-24,花叶类,350.342,209.91240056815732,140.42959943184266,0.5729746017900714
2021-01-25,花叶类,224.149,159.56704472188676,64.58195527811324,0.40060191738530104
2021-01-26,花叶类,215.643,151.33765268106578,64.30534731893422,0.41486589673254937
2021-01-27,花叶类,208.029,142.69609603426625,65.33290396573375,0.4377154118864297
2021-01-28,花叶类,160.384,132.6418194019392,27.7421805980608,0.2506736167799808
2021-01-29,花叶类,151.962,158.8205724536515,-6.8585724536515045,0.016610484794059133
2021-01-30,花叶类,195.893,217.97402681760747,-22.081026817607466,-0.04605223577554707
2021-01-31,花叶类,249.269,207.343341370127,41.925658629873,0.24491164652419073
2021-02-01,花叶类,181.621,164.74071026527668,16.880289734723334,0.15830439839391097
2021-02-02,花叶类,193.791,165.96652547829706,27.82447452170294,0.2157492295548007
2021-02-03,花叶类,220.536,179.97547074956356,40.560529250436446,0.2639954639575768
2021-02-04,花叶类,197.832,154.31488798369878,43.51711201630121,0.3091780287893471
2021-02-05,花叶类,194.292,161.671350987957,32.620649012043,0.24455169014124056
2021-02-06,花叶类,212.817,244.45006868356242,-31.633068683562414,-0.07782334342025354
2021-02-07,花叶类,193.778,244.71675083554155,-50.938750835541555,-0.17263316368246073
2021-02-08,花叶类,234.405,159.19505597756037,75.20994402243963,0.4476752561041204
2021-02-09,花叶类,282.558,131.32187617488813,151.23612382511186,0.8269875447519253
2021-02-10,花叶类,503.976,121.61246671682021,382.3635332831798,1.4824442463521104
2021-02-13,花叶类,243.485,175.1547909346673,68.33020906533272,0.3901403214707182
2021-02-14,花叶类,120.018,174.59664339947508,-54.578643399475084,-0.31408160208989333
2021-02-15,花叶类,291.13,153.47678820557334,137.65321179442665,0.7009756492005774
2021-02-16,花叶类,253.696,138.49968842400503,115.19631157599497,0.6660237089301893
2021-02-17,花叶类,180.052,156.9525438415095,23.099456158490483,0.1980572920096515
2021-02-18,花叶类,227.336,141.70668800163634,85.62931199836368,0.53342484049264
2021-02-19,花叶类,184.169,162.46323004672786,21.705769953272153,0.1861571998784104
2021-02-20,花叶类,175.262,204.39095105727054,-29.12895105727054,-0.09299750433149345
2021-02-21,花叶类,144.855,193.56035823996012,-48.705358239960134,-0.22910106555036247
2021-02-22,花叶类,139.491,155.87064101947246,-16.379641019472444,-0.05027127088619299
2021-02-23,花叶类,136.05,138.3820886894971,-2.332088689497084,0.043758932485654434
2021-02-24,花叶类,190.158,161.76748138277912,28.390518617220863,0.2224503865229046
2021-02-25,花叶类,156.613,145.20435759911763,11.408642400882371,0.13639076628764268
2021-02-26,花叶类,276.322,160.61871474086166,115.70328525913834,0.6032886125726815
2021-02-27,花叶类,218.04,224.96526022890788,-6.925260228907888,0.02948762597650667
2021-02-28,花叶类,309.688,241.10906781521996,68.57893218478003,0.31107102947195653
2021-03-01,花叶类,241.709,132.1805858816911,109.52841411830892,0.6643205458550385
2021-03-02,花叶类,182.984,114.31980059604574,68.66419940395427,0.5311540130477539
2021-03-03,花叶类,186.008,114.68626955868899,71.32173044131102,0.5443444590746651
2021-03-04,花叶类,145.281,122.75099029589683,22.53000970410318,0.22926704894490246
2021-03-05,花叶类,211.185,151.79269972549187,59.39230027450813,0.3909738392588862
2021-03-06,花叶类,288.817,205.59488649630183,83.22211350369818,0.4006406924888495
2021-03-07,花叶类,262.314,213.9637633352843,48.35023666471571,0.26449067405426785
2021-03-08,花叶类,211.746,135.89479877105498,75.85120122894503,0.5042614802818122
2021-03-09,花叶类,170.907,130.69233093216968,40.21466906783033,0.3290286919581282
2021-03-10,花叶类,119.599,127.78011544129431,-8.18111544129431,-0.005411373252656837
2021-03-11,花叶类,158.357,116.43065048078347,41.92634951921653,0.36831124204584675
2021-03-12,花叶类,152.44,122.50610277415103,29.933897225848966,0.2793653137787482
2021-03-13,花叶类,169.055,163.89127073789317,5.163729262106841,0.091775966198127
2021-03-14,花叶类,176.032,155.65539772371227,20.37660227628774,0.18377630689061153
2021-03-15,花叶类,90.812,110.47197619040271,-19.659976190402716,-0.1352153591101013
2021-03-16,花叶类,100.121,114.95399171311557,-14.832991713115575,-0.0773974366436665
2021-03-17,花叶类,107.653,114.26632882028883,-6.613328820288828,0.0011362351920016778
2021-03-18,花叶类,128.058,108.39622534708677,19.661774652913223,0.2274451044930279
2021-03-19,花叶类,140.893,132.89859958471763,7.994400415282371,0.1191693938247802
2021-03-20,花叶类,267.979,163.37820318199988,104.6007968180001,0.555595926244262
2021-03-21,花叶类,199.712,164.3799224041578,35.33207759584218,0.2554510651644559
2021-03-22,花叶类,115.022,111.21872071855167,3.80327928144834,0.09437978006375136
2021-03-23,花叶类,134.706,120.13246007381265,14.573539926187337,0.1752547429818554
2021-03-24,花叶类,103.505,110.13271397166064,-6.62771397166064,-0.0013111234201161892
2021-03-25,花叶类,86.632,98.50263888083475,-11.870638880834747,-0.06765899108000895
2021-03-26,花叶类,164.599,103.97055417482903,60.62844582517096,0.5201595718544967
2021-03-27,花叶类,199.238,152.588433446942,46.64956655305801,0.327510855660468
2021-03-28,花叶类,161.164,140.72859953423264,20.435400465767344,0.19634435562951502
2021-03-29,花叶类,111.308,101.78095033852428,9.52704966147573,0.15023326028713146
2021-03-30,花叶类,130.803,104.61920858021362,26.183791419786374,0.2841202864158445
2021-03-31,花叶类,143.294,105.88698744174413,37.407012558255886,0.36328117968334883
2021-04-01,花叶类,159.915,98.47515918290223,61.43984081709776,0.5455931838160026
2021-04-02,花叶类,175.184,109.89820290911817,65.28579709088183,0.5270374259919945
2021-04-03,花叶类,212.267,143.1214073324334,69.1455926675666,0.4549067289080533
2021-04-04,花叶类,192.021,150.05069738624994,41.97030261375005,0.3073866065602262
2021-04-05,花叶类,178.469,107.20331148223318,71.26568851776682,0.5704428628990161
2021-04-06,花叶类,51.363,115.66910975967488,-64.30610975967488,-0.7510604589250005
2021-04-07,花叶类,198.107,104.58317577533995,93.52382422466005,0.6995796786045902
2021-04-08,花叶类,136.146,109.02352271543187,27.12247728456812,0.28291926073326756
2021-04-09,花叶类,140.613,108.8314210221598,31.781578977840198,0.3169664321779049
2021-04-10,花叶类,204.156,161.49422685204829,42.66177314795172,0.29517009759183654
2021-04-11,花叶类,211.619,147.94710126398476,63.67189873601524,0.41868778711405863
2021-04-12,花叶类,148.371,111.76470577317318,36.60629422682683,0.3440751588069997
2021-04-13,花叶类,127.207,111.19549061220374,16.011509387796252,0.1952809369741555
2021-04-14,花叶类,151.83,123.2100710854603,28.619928914539713,0.2696257653936085
2021-04-15,花叶类,130.081,115.9032095631718,14.17779043682819,0.17615697594512092
2021-04-16,花叶类,130.808,133.34974183439337,-2.5417418343933775,0.04151036968765087
2021-04-17,花叶类,194.951,173.66863897398585,21.282361026014144,0.17635422014057234
2021-04-18,花叶类,194.451,167.01506426484534,27.435935735154658,0.21285127485297917
2021-04-19,花叶类,134.781,122.68832733362083,12.092672666379173,0.1547591086342317
2021-04-20,花叶类,146.004,119.51871267348935,26.485287326510644,0.26091615315241423
2021-04-21,花叶类,182.939,141.23061701716617,41.708382982833825,0.31951371306849374
2021-04-22,花叶类,150.806,124.51814725543198,26.287852744568028,0.2522978612917619
2021-04-23,花叶类,156.392,136.76170590773043,19.630294092269565,0.19488072256294053
2021-04-24,花叶类,264.803,193.81028925291253,70.99271074708747,0.3728614482176571
2021-04-25,花叶类,221.785,185.92147106999207,35.86352893000793,0.23713914320281226
2021-04-26,花叶类,151.258,137.0242864516139,14.233713548386106,0.1595838896691344
2021-04-27,花叶类,135.216,136.2702599044355,-1.0542599044354972,0.052988465848158306
2021-04-28,花叶类,125.785,136.48237065102424,-10.697370651024244,-0.020866268189752013
2021-04-29,花叶类,128.457,136.5309889619551,-8.07398896195511,-0.00020231115564950386
2021-04-30,花叶类,136.111,141.72812081703927,-5.617120817039279,0.02031523419968906
2021-05-01,花叶类,171.826,200.7886026453386,-28.96260264533862,-0.0950152045252386
2021-05-02,花叶类,198.544,186.19304523906737,12.350954760932638,0.12498180999374586
2021-05-03,花叶类,226.265,145.47468676584674,80.79031323415325,0.5024598664480004
2021-05-04,花叶类,200.985,130.91022645878746,70.07477354121255,0.48947356941813247
2021-05-05,花叶类,200.391,141.18004186405628,59.21095813594371,0.4109895746071075
2021-05-06,花叶类,148.875,126.66415574585669,22.21084425414331,0.2223229719601134
2021-05-07,花叶类,147.508,153.4313384749925,-5.923338474992477,0.021384336074603993
2021-05-08,花叶类,160.786,203.8111178083755,-43.02511780837551,-0.17636429848487367
2021-05-09,花叶类,216.668,190.6405518222637,26.027448177736318,0.18873158576641202
2021-05-10,花叶类,157.721,166.6468342949288,-8.92583429492879,0.005705925977498971
2021-05-11,花叶类,189.86,168.98434557936216,20.875654420637858,0.17723596261035723
2021-05-12,花叶类,182.519,160.87131386148417,21.647686138515837,0.1870046096801703
2021-05-13,花叶类,126.864,138.53362214823656,-11.669622148236556,-0.027242323747683983
2021-05-14,花叶类,191.116,157.72863736749616,33.38736263250385,0.2527595871780628
2021-05-15,花叶类,258.278,223.56356605063567,34.71443394936435,0.20509582379969604
2021-05-16,花叶类,212.588,202.10248928018757,10.485510719812424,0.11133616396454205
2021-05-17,花叶类,176.658,161.80798885433754,14.85001114566245,0.14856036687464602
2021-05-18,花叶类,171.667,151.90686791640684,19.760132083593163,0.18304401683691385
2021-05-19,花叶类,140.823,160.68856664028263,-19.865566640282623,-0.07120925524567223
2021-05-20,花叶类,144.001,150.05515410427222,-6.0541541042722145,0.019572408535943886
2021-05-21,花叶类,105.372,161.37307258215776,-56.00107258215776,-0.3654668741279874
2021-05-22,花叶类,190.363,200.2599607610154,-9.896960761015407,0.010071534484120903
2021-05-23,花叶类,217.259,194.2901938050563,22.96880619494368,0.17249238953785273
2021-05-24,花叶类,148.831,136.25570336425463,12.57529663574536,0.14903322689398557
2021-05-25,花叶类,130.325,135.15342922159002,-4.828429221590028,0.024375769886392007
2021-05-26,花叶类,164.467,138.000995751922,26.466004248078008,0.2362041265348891
2021-05-27,花叶类,145.237,142.9279324863712,2.309067513628804,0.07678144134919851
2021-05-28,花叶类,123.824,154.7476439233017,-30.923643923301697,-0.16217939878787213
2021-05-29,花叶类,180.875,197.9281873745504,-17.05318737455039,-0.029343004845963527
2021-05-30,花叶类,196.236,195.93276232781625,0.30323767218374087,0.062301550591965515
2021-05-31,花叶类,191.98,136.2243234623718,55.755676537628176,0.4038433208850636
2021-06-01,花叶类,151.091,128.6686109253407,22.42238907465932,0.22139719788176038
2021-06-02,花叶类,178.517,133.26352293887138,45.25347706112862,0.35311037649493127
