边界情景,日期,品类,下界加成率,上界加成率,搜索最高售价,搜索最高加成率,搜索最高补货量,搜索最高预计利润,是否触及上限
正常销售百分之五至百分之九十五,2023-07-05,水生根茎类,0.2843828304359789,0.7131641703515007,21.61,0.7201095947507596,9.2,36.807254750826615,是
正常销售百分之五至百分之九十五,2023-07-06,水生根茎类,0.2843828304359789,0.7131641703515007,21.61,0.7201095947507596,9.3,37.16490425890341,是
正常销售百分之五至百分之九十五,2023-07-07,水生根茎类,0.2843828304359789,0.7131641703515007,21.61,0.7201095947507596,11.5,45.82585745816416,是
正常销售百分之五至百分之九十五,2023-07-01,茄类,0.345496443928043,0.9285948730744005,8.86,0.9302307208853358,21.3,57.73036246427521,是
正常销售百分之五至百分之九十五,2023-07-02,茄类,0.345496443928043,0.9285948730744005,8.86,0.9302307208853358,20.6,56.19528238852264,是
正常销售百分之五至百分之九十五,2023-07-03,茄类,0.345496443928043,0.9285948730744005,8.86,0.9302307208853358,15.6,42.666447220045114,是
正常销售百分之五至百分之九十五,2023-07-04,茄类,0.345496443928043,0.9285948730744005,8.86,0.9302307208853358,14.6,39.63897534407749,是
正常销售百分之五至百分之九十五,2023-07-05,茄类,0.345496443928043,0.9285948730744005,8.86,0.9302307208853358,14.7,39.82233766215427,是
正常销售百分之五至百分之九十五,2023-07-06,茄类,0.345496443928043,0.9285948730744005,8.86,0.9302307208853358,14.5,39.677669507071585,是
正常销售百分之五至百分之九十五,2023-07-07,茄类,0.345496443928043,0.9285948730744005,8.86,0.9302307208853358,16.6,45.17053100416776,是
正常销售百分之五至百分之九十五,2023-07-01,辣椒类,0.34737602315577015,1.179194800568881,7.73,1.1792560223780852,93.9,244.73508674164637,是
正常销售百分之五至百分之九十五,2023-07-02,辣椒类,0.34737602315577015,1.179194800568881,7.73,1.1792560223780852,90.5,234.7737522543099,是
正常销售百分之五至百分之九十五,2023-07-03,辣椒类,0.34737602315577015,1.179194800568881,7.73,1.1792560223780852,64.5,166.3104183108719,是
正常销售百分之五至百分之九十五,2023-07-04,辣椒类,0.34737602315577015,1.179194800568881,7.73,1.1792560223780852,63.5,163.50040406922892,是
正常销售百分之五至百分之九十五,2023-07-05,辣椒类,0.34737602315577015,1.179194800568881,7.73,1.1792560223780852,63.4,164.6057842637141,是
正常销售百分之五至百分之九十五,2023-07-06,辣椒类,0.34737602315577015,1.179194800568881,7.73,1.1792560223780852,62.6,160.96115813910836,是
正常销售百分之五至百分之九十五,2023-07-07,辣椒类,0.34737602315577015,1.179194800568881,7.73,1.1792560223780852,69.9,181.58793819681975,是
正常销售百分之五至百分之九十五,2023-07-01,食用菌,0.4358641000281308,0.8026413769603681,6.71,0.808997542092148,60.3,102.71269901690407,是
正常销售百分之五至百分之九十五,2023-07-02,食用菌,0.4358641000281308,0.8026413769603681,6.71,0.808997542092148,57.3,97.38050261646903,是
正常销售百分之五至百分之九十五,2023-07-03,食用菌,0.4358641000281308,0.8026413769603681,6.71,0.808997542092148,37.4,63.81919606321825,是
正常销售百分之五至百分之九十五,2023-07-04,食用菌,0.4358641000281308,0.8026413769603681,6.71,0.808997542092148,35.7,61.36512155214834,是
正常销售百分之五至百分之九十五,2023-07-05,食用菌,0.4358641000281308,0.8026413769603681,6.71,0.808997542092148,39.4,67.23547920681926,是
正常销售百分之五至百分之九十五,2023-07-06,食用菌,0.4358641000281308,0.8026413769603681,6.71,0.808997542092148,38.1,65.28215540695217,是
正常销售百分之五至百分之九十五,2023-07-07,食用菌,0.4358641000281308,0.8026413769603681,6.71,0.808997542092148,44.6,77.02430457457346,是
正常销售百分之十至百分之九十,2023-07-01,花叶类,0.5210285052271199,0.8831722276404839,6.22,0.8893473633575018,245.6,421.7335653948073,是
正常销售百分之十至百分之九十,2023-07-02,花叶类,0.5210285052271199,0.8831722276404839,6.22,0.8893473633575018,234.9,400.9366282899913,是
正常销售百分之十至百分之九十,2023-07-03,花叶类,0.5210285052271199,0.8831722276404839,6.22,0.8893473633575018,168.7,289.15772152541206,是
正常销售百分之十至百分之九十,2023-07-04,花叶类,0.5210285052271199,0.8831722276404839,6.22,0.8893473633575018,163.6,279.68519750749823,是
正常销售百分之十至百分之九十,2023-07-05,花叶类,0.5210285052271199,0.8831722276404839,6.22,0.8893473633575018,166.3,282.542617012475,是
正常销售百分之十至百分之九十,2023-07-06,花叶类,0.5210285052271199,0.8831722276404839,6.22,0.8893473633575018,160.9,275.45986954476524,是
正常销售百分之十至百分之九十,2023-07-07,花叶类,0.5210285052271199,0.8831722276404839,6.22,0.8893473633575018,177.1,301.8283265314529,是
正常销售百分之十至百分之九十,2023-07-01,花菜类,0.3658921142488916,0.7515827216974417,14.08,0.7599210981319056,38.5,100.90831027193154,是
正常销售百分之十至百分之九十,2023-07-02,花菜类,0.3658921142488916,0.7515827216974417,14.08,0.7599210981319056,35.8,93.33838490102949,是
正常销售百分之十至百分之九十,2023-07-03,花菜类,0.3658921142488916,0.7515827216974417,14.08,0.7599210981319056,24.4,63.504681646145606,是
正常销售百分之十至百分之九十,2023-07-04,花菜类,0.3658921142488916,0.7515827216974417,14.08,0.7599210981319056,25.1,64.51754972393094,是
正常销售百分之十至百分之九十,2023-07-05,花菜类,0.3658921142488916,0.7515827216974417,14.08,0.7599210981319056,24.3,63.290960248675965,是
正常销售百分之十至百分之九十,2023-07-06,花菜类,0.3658921142488916,0.7515827216974417,14.08,0.7599210981319056,24.8,65.50780852903806,是
正常销售百分之十至百分之九十,2023-07-07,花菜类,0.3658921142488916,0.7515827216974417,14.08,0.7599210981319056,28.2,73.95351684487413,是
正常销售百分之十至百分之九十,2023-07-01,水生根茎类,0.3358863592633281,0.6596976685708817,20.85,0.6596152267724822,15.4,55.95585407529257,是
正常销售百分之十至百分之九十,2023-07-02,水生根茎类,0.3358863592633281,0.6596976685708817,20.85,0.6596152267724822,14.2,51.40268167765357,是
正常销售百分之十至百分之九十,2023-07-03,水生根茎类,0.3358863592633281,0.6596976685708817,20.85,0.6596152267724822,9.2,33.785285256173886,是
正常销售百分之十至百分之九十,2023-07-04,水生根茎类,0.3358863592633281,0.6596976685708817,20.85,0.6596152267724822,9.0,32.85465231345375,是
正常销售百分之十至百分之九十,2023-07-05,水生根茎类,0.3358863592633281,0.6596976685708817,20.85,0.6596152267724822,8.8,31.856839355973662,是
正常销售百分之十至百分之九十,2023-07-06,水生根茎类,0.3358863592633281,0.6596976685708817,20.85,0.6596152267724822,9.1,33.063420266978454,是
正常销售百分之十至百分之九十,2023-07-07,水生根茎类,0.3358863592633281,0.6596976685708817,20.85,0.6596152267724822,11.0,40.38870887351371,是
正常销售百分之十至百分之九十,2023-07-01,茄类,0.3847932952325667,0.8212984383595213,8.4,0.830015581877745,21.0,50.847325627372,是
正常销售百分之十至百分之九十,2023-07-02,茄类,0.3847932952325667,0.8212984383595213,8.4,0.830015581877745,20.5,49.96748498805737,是
正常销售百分之十至百分之九十,2023-07-03,茄类,0.3847932952325667,0.8212984383595213,8.4,0.830015581877745,15.2,36.99713756776926,是
正常销售百分之十至百分之九十,2023-07-04,茄类,0.3847932952325667,0.8212984383595213,8.4,0.830015581877745,14.1,34.286274061940595,是
正常销售百分之十至百分之九十,2023-07-05,茄类,0.3847932952325667,0.8212984383595213,8.4,0.830015581877745,14.3,34.781922922138435,是
正常销售百分之十至百分之九十,2023-07-06,茄类,0.3847932952325667,0.8212984383595213,8.4,0.830015581877745,14.3,34.95600282126238,是
正常销售百分之十至百分之九十,2023-07-07,茄类,0.3847932952325667,0.8212984383595213,8.4,0.830015581877745,16.1,39.517509639703114,是
正常销售百分之十至百分之九十,2023-07-01,辣椒类,0.3991046280021258,0.9558708575539641,6.95,0.9593569670799085,97.1,201.3273039063858,是
正常销售百分之十至百分之九十,2023-07-02,辣椒类,0.3991046280021258,0.9558708575539641,6.95,0.9593569670799085,92.8,191.91579704785067,是
正常销售百分之十至百分之九十,2023-07-03,辣椒类,0.3991046280021258,0.9558708575539641,6.95,0.9593569670799085,66.1,137.0127087953077,是
正常销售百分之十至百分之九十,2023-07-04,辣椒类,0.3991046280021258,0.9558708575539641,6.95,0.9593569670799085,63.2,131.82592818105223,是
正常销售百分之十至百分之九十,2023-07-05,辣椒类,0.3991046280021258,0.9558708575539641,6.95,0.9593569670799085,64.3,134.8676585578158,是
正常销售百分之十至百分之九十,2023-07-06,辣椒类,0.3991046280021258,0.9558708575539641,6.95,0.9593569670799085,64.9,134.90787482682586,是
正常销售百分之十至百分之九十,2023-07-07,辣椒类,0.3991046280021258,0.9558708575539641,6.95,0.9593569670799085,72.2,149.68505824677308,是
正常销售百分之十至百分之九十,2023-07-01,食用菌,0.477026191087191,0.7606968677584253,6.57,0.7712539272049794,59.4,96.23614506831474,是
正常销售百分之十至百分之九十,2023-07-02,食用菌,0.477026191087191,0.7606968677584253,6.57,0.7712539272049794,56.5,90.17389222042465,是
正常销售百分之十至百分之九十,2023-07-03,食用菌,0.477026191087191,0.7606968677584253,6.57,0.7712539272049794,37.5,60.654266936530696,是
正常销售百分之十至百分之九十,2023-07-04,食用菌,0.477026191087191,0.7606968677584253,6.57,0.7712539272049794,35.5,56.59107846799194,是
正常销售百分之十至百分之九十,2023-07-05,食用菌,0.477026191087191,0.7606968677584253,6.57,0.7712539272049794,39.4,63.71723965769228,是
正常销售百分之十至百分之九十,2023-07-06,食用菌,0.477026191087191,0.7606968677584253,6.57,0.7712539272049794,37.9,61.56887559141646,是
正常销售百分之十至百分之九十,2023-07-07,食用菌,0.477026191087191,0.7606968677584253,6.57,0.7712539272049794,44.3,70.75429278018919,是
正常销售百分之二十五至百分之七十五,2023-07-01,花叶类,0.6024466027289364,0.7641439347217414,5.83,0.7708834611534141,253.2,364.89478460409237,是
正常销售百分之二十五至百分之七十五,2023-07-02,花叶类,0.6024466027289364,0.7641439347217414,5.83,0.7708834611534141,240.5,345.7170482683131,是
正常销售百分之二十五至百分之七十五,2023-07-03,花叶类,0.6024466027289364,0.7641439347217414,5.83,0.7708834611534141,174.4,251.70950768533544,是
正常销售百分之二十五至百分之七十五,2023-07-04,花叶类,0.6024466027289364,0.7641439347217414,5.83,0.7708834611534141,168.3,241.85924674536213,是
正常销售百分之二十五至百分之七十五,2023-07-05,花叶类,0.6024466027289364,0.7641439347217414,5.83,0.7708834611534141,169.2,243.3547242404089,是
正常销售百分之二十五至百分之七十五,2023-07-06,花叶类,0.6024466027289364,0.7641439347217414,5.83,0.7708834611534141,165.1,237.21640958704086,是
正常销售百分之二十五至百分之七十五,2023-07-07,花叶类,0.6024466027289364,0.7641439347217414,5.83,0.7708834611534141,180.5,259.97450472411407,是
正常销售百分之二十五至百分之七十五,2023-07-01,花菜类,0.4460616854556605,0.6426595539514782,13.2,0.6499260294986613,39.0,80.60589777607933,是
正常销售百分之二十五至百分之七十五,2023-07-02,花菜类,0.4460616854556605,0.6426595539514782,13.2,0.6499260294986613,36.9,77.25314462160308,是
正常销售百分之二十五至百分之七十五,2023-07-03,花菜类,0.4460616854556605,0.6426595539514782,13.2,0.6499260294986613,24.8,51.421499377444825,是
正常销售百分之二十五至百分之七十五,2023-07-04,花菜类,0.4460616854556605,0.6426595539514782,13.2,0.6499260294986613,25.6,53.03118497535939,是
正常销售百分之二十五至百分之七十五,2023-07-05,花菜类,0.4460616854556605,0.6426595539514782,13.2,0.6499260294986613,25.0,51.34210535274888,是
正常销售百分之二十五至百分之七十五,2023-07-06,花菜类,0.4460616854556605,0.6426595539514782,13.2,0.6499260294986613,24.8,51.58054078357204,是
正常销售百分之二十五至百分之七十五,2023-07-07,花菜类,0.4460616854556605,0.6426595539514782,13.2,0.6499260294986613,28.1,57.997816100328336,是
正常销售百分之二十五至百分之七十五,2023-07-01,水生根茎类,0.41465179285209164,0.5691364174237581,19.72,0.5696696533310956,14.8,43.98765500934362,是
正常销售百分之二十五至百分之七十五,2023-07-02,水生根茎类,0.41465179285209164,0.5691364174237581,19.72,0.5696696533310956,13.8,40.8666140842606,是
正常销售百分之二十五至百分之七十五,2023-07-03,水生根茎类,0.41465179285209164,0.5691364174237581,19.72,0.5696696533310956,8.6,25.879793881040456,是
正常销售百分之二十五至百分之七十五,2023-07-04,水生根茎类,0.41465179285209164,0.5691364174237581,19.72,0.5696696533310956,8.6,25.933072958042636,是
正常销售百分之二十五至百分之七十五,2023-07-05,水生根茎类,0.41465179285209164,0.5691364174237581,19.72,0.5696696533310956,8.3,24.630720237669177,是
正常销售百分之二十五至百分之七十五,2023-07-06,水生根茎类,0.41465179285209164,0.5691364174237581,19.72,0.5696696533310956,8.7,26.147643293933275,是
正常销售百分之二十五至百分之七十五,2023-07-07,水生根茎类,0.41465179285209164,0.5691364174237581,19.72,0.5696696533310956,10.6,32.00301269373903,是
正常销售百分之二十五至百分之七十五,2023-07-01,茄类,0.47491919408481953,0.6964819581794872,7.8,0.6993001831721919,20.4,41.229844112818036,是
正常销售百分之二十五至百分之七十五,2023-07-02,茄类,0.47491919408481953,0.6964819581794872,7.8,0.6993001831721919,19.7,39.763246592631894,是
正常销售百分之二十五至百分之七十五,2023-07-03,茄类,0.47491919408481953,0.6964819581794872,7.8,0.6993001831721919,14.8,29.84626401100034,是
正常销售百分之二十五至百分之七十五,2023-07-04,茄类,0.47491919408481953,0.6964819581794872,7.8,0.6993001831721919,13.6,27.669478716360754,是
正常销售百分之二十五至百分之七十五,2023-07-05,茄类,0.47491919408481953,0.6964819581794872,7.8,0.6993001831721919,13.6,27.80185166224947,是
正常销售百分之二十五至百分之七十五,2023-07-06,茄类,0.47491919408481953,0.6964819581794872,7.8,0.6993001831721919,13.8,28.27870142087405,是
正常销售百分之二十五至百分之七十五,2023-07-07,茄类,0.47491919408481953,0.6964819581794872,7.8,0.6993001831721919,15.7,31.77755377354033,是
正常销售百分之二十五至百分之七十五,2023-07-01,辣椒类,0.48830485102881105,0.7555559390164048,6.24,0.7591924423854142,96.0,157.0938128230279,是
正常销售百分之二十五至百分之七十五,2023-07-02,辣椒类,0.48830485102881105,0.7555559390164048,6.24,0.7591924423854142,92.6,151.28898684375406,是
正常销售百分之二十五至百分之七十五,2023-07-03,辣椒类,0.48830485102881105,0.7555559390164048,6.24,0.7591924423854142,65.7,107.17811369409397,是
正常销售百分之二十五至百分之七十五,2023-07-04,辣椒类,0.48830485102881105,0.7555559390164048,6.24,0.7591924423854142,63.9,104.12926515724692,是
正常销售百分之二十五至百分之七十五,2023-07-05,辣椒类,0.48830485102881105,0.7555559390164048,6.24,0.7591924423854142,64.1,105.41475476272218,是
正常销售百分之二十五至百分之七十五,2023-07-06,辣椒类,0.48830485102881105,0.7555559390164048,6.24,0.7591924423854142,63.6,103.9936178104197,是
正常销售百分之二十五至百分之七十五,2023-07-07,辣椒类,0.48830485102881105,0.7555559390164048,6.24,0.7591924423854142,69.6,115.82158415545845,是
正常销售百分之二十五至百分之七十五,2023-07-01,食用菌,0.539237033892358,0.6989706437125829,6.31,0.7011586424145235,59.2,85.5921365388425,是
正常销售百分之二十五至百分之七十五,2023-07-02,食用菌,0.539237033892358,0.6989706437125829,6.31,0.7011586424145235,55.3,79.40026260911229,是
正常销售百分之二十五至百分之七十五,2023-07-03,食用菌,0.539237033892358,0.6989706437125829,6.31,0.7011586424145235,36.6,52.848878902905525,是
正常销售百分之二十五至百分之七十五,2023-07-04,食用菌,0.539237033892358,0.6989706437125829,6.31,0.7011586424145235,34.6,49.59934786800212,是
正常销售百分之二十五至百分之七十五,2023-07-05,食用菌,0.539237033892358,0.6989706437125829,6.31,0.7011586424145235,37.9,54.76297239144086,是
正常销售百分之二十五至百分之七十五,2023-07-06,食用菌,0.539237033892358,0.6989706437125829,6.31,0.7011586424145235,36.9,53.442377886921335,是
正常销售百分之二十五至百分之七十五,2023-07-07,食用菌,0.539237033892358,0.6989706437125829,6.31,0.7011586424145235,43.1,62.52146850125971,是
正常销售百分之一至百分之九十九,2023-07-01,花叶类,0.4095253568677608,1.3247509207892403,7.67,1.3297900766803923,232.7,615.055074885531,是
正常销售百分之一至百分之九十九,2023-07-02,花叶类,0.4095253568677608,1.3247509207892403,7.67,1.3297900766803923,220.4,580.8851782276596,是
正常销售百分之一至百分之九十九,2023-07-03,花叶类,0.4095253568677608,1.3247509207892403,7.67,1.3297900766803923,159.1,420.4550029811297,是
正常销售百分之一至百分之九十九,2023-07-04,花叶类,0.4095253568677608,1.3247509207892403,7.67,1.3297900766803923,154.6,405.0287206049338,是
正常销售百分之一至百分之九十九,2023-07-05,花叶类,0.4095253568677608,1.3247509207892403,7.67,1.3297900766803923,156.6,408.7392943275318,是
正常销售百分之一至百分之九十九,2023-07-06,花叶类,0.4095253568677608,1.3247509207892403,7.67,1.3297900766803923,151.6,399.1942152628829,是
正常销售百分之一至百分之九十九,2023-07-07,花叶类,0.4095253568677608,1.3247509207892403,7.67,1.3297900766803923,165.1,433.6719757927577,是
正常销售百分之一至百分之九十九,2023-07-01,花菜类,0.17240314863404832,1.0592119898929913,16.48,1.059907648949844,37.0,146.73145237969777,是
正常销售百分之一至百分之九十九,2023-07-02,花菜类,0.17240314863404832,1.0592119898929913,16.48,1.059907648949844,34.5,139.35429696721673,是
正常销售百分之一至百分之九十九,2023-07-03,花菜类,0.17240314863404832,1.0592119898929913,16.48,1.059907648949844,23.5,93.87860733733868,是
正常销售百分之一至百分之九十九,2023-07-04,花菜类,0.17240314863404832,1.0592119898929913,16.48,1.059907648949844,24.0,96.16188417608004,是
正常销售百分之一至百分之九十九,2023-07-05,花菜类,0.17240314863404832,1.0592119898929913,16.48,1.059907648949844,23.5,94.7009384731873,是
正常销售百分之一至百分之九十九,2023-07-06,花菜类,0.17240314863404832,1.0592119898929913,16.48,1.059907648949844,23.3,92.8151036281182,是
正常销售百分之一至百分之九十九,2023-07-07,花菜类,0.17240314863404832,1.0592119898929913,16.48,1.059907648949844,26.8,107.07081743790144,是
正常销售百分之一至百分之九十九,2023-07-01,水生根茎类,0.2226015894918119,0.9166953396658954,24.12,0.9199002047842815,16.5,90.46454278876553,是
正常销售百分之一至百分之九十九,2023-07-02,水生根茎类,0.2226015894918119,0.9166953396658954,24.12,0.9199002047842815,15.3,82.50680125061247,是
正常销售百分之一至百分之九十九,2023-07-03,水生根茎类,0.2226015894918119,0.9166953396658954,24.12,0.9199002047842815,9.6,51.278363387206106,是
正常销售百分之一至百分之九十九,2023-07-04,水生根茎类,0.2226015894918119,0.9166953396658954,24.12,0.9199002047842815,9.8,52.82774432625563,是
正常销售百分之一至百分之九十九,2023-07-05,水生根茎类,0.2226015894918119,0.9166953396658954,24.12,0.9199002047842815,9.3,50.67401152580553,是
正常销售百分之一至百分之九十九,2023-07-06,水生根茎类,0.2226015894918119,0.9166953396658954,24.12,0.9199002047842815,9.5,51.99979318778145,是
正常销售百分之一至百分之九十九,2023-07-07,水生根茎类,0.2226015894918119,0.9166953396658954,24.12,0.9199002047842815,11.9,64.60897588061833,是
正常销售百分之一至百分之九十九,2023-07-01,茄类,0.24791378275465276,1.3163791139428922,10.65,1.3201983270235695,22.9,88.66736440085694,是
正常销售百分之一至百分之九十九,2023-07-02,茄类,0.24791378275465276,1.3163791139428922,10.65,1.3201983270235695,22.3,85.70823575805223,是
正常销售百分之一至百分之九十九,2023-07-03,茄类,0.24791378275465276,1.3163791139428922,10.65,1.3201983270235695,16.5,63.97208768961379,是
正常销售百分之一至百分之九十九,2023-07-04,茄类,0.24791378275465276,1.3163791139428922,10.65,1.3201983270235695,15.2,58.83592846640686,是
正常销售百分之一至百分之九十九,2023-07-05,茄类,0.24791378275465276,1.3163791139428922,10.65,1.3201983270235695,15.5,59.920058997225155,是
正常销售百分之一至百分之九十九,2023-07-06,茄类,0.24791378275465276,1.3163791139428922,10.65,1.3201983270235695,15.5,60.20992507274962,是
正常销售百分之一至百分之九十九,2023-07-07,茄类,0.24791378275465276,1.3163791139428922,10.65,1.3201983270235695,17.5,68.20358677725407,是
正常销售百分之一至百分之九十九,2023-07-01,辣椒类,0.27102841935842226,1.8373508961370015,10.07,1.8389531882726158,87.2,355.97141281151187,是
正常销售百分之一至百分之九十九,2023-07-02,辣椒类,0.27102841935842226,1.8373508961370015,10.07,1.8389531882726158,83.5,343.1861483698316,是
正常销售百分之一至百分之九十九,2023-07-03,辣椒类,0.27102841935842226,1.8373508961370015,10.07,1.8389531882726158,59.3,242.94439207716593,是
正常销售百分之一至百分之九十九,2023-07-04,辣椒类,0.27102841935842226,1.8373508961370015,10.07,1.8389531882726158,58.4,241.34572497614423,是
正常销售百分之一至百分之九十九,2023-07-05,辣椒类,0.27102841935842226,1.8373508961370015,10.07,1.8389531882726158,59.6,243.29116555660175,是
正常销售百分之一至百分之九十九,2023-07-06,辣椒类,0.27102841935842226,1.8373508961370015,10.07,1.8389531882726158,57.9,239.84713404614791,是
正常销售百分之一至百分之九十九,2023-07-07,辣椒类,0.27102841935842226,1.8373508961370015,10.07,1.8389531882726158,64.6,266.2503528333267,是
正常销售百分之一至百分之九十九,2023-07-01,食用菌,0.2825201917834492,0.9228882966604157,7.16,0.9303163042294753,63.2,124.97226339399718,是
正常销售百分之一至百分之九十九,2023-07-02,食用菌,0.2825201917834492,0.9228882966604157,7.16,0.9303163042294753,59.2,117.12691052332622,是
正常销售百分之一至百分之九十九,2023-07-03,食用菌,0.2825201917834492,0.9228882966604157,7.16,0.9303163042294753,38.7,76.97961038489707,是
正常销售百分之一至百分之九十九,2023-07-04,食用菌,0.2825201917834492,0.9228882966604157,7.16,0.9303163042294753,37.0,73.50758286247472,是
正常销售百分之一至百分之九十九,2023-07-05,食用菌,0.2825201917834492,0.9228882966604157,7.16,0.9303163042294753,40.8,81.11629366929934,是
正常销售百分之一至百分之九十九,2023-07-06,食用菌,0.2825201917834492,0.9228882966604157,7.16,0.9303163042294753,39.4,79.6890045965513,是
正常销售百分之一至百分之九十九,2023-07-07,食用菌,0.2825201917834492,0.9228882966604157,7.16,0.9303163042294753,46.2,90.83033914681563,是
