日期,品类,候选售价,预测需求量,预期利润,候选加成率
2023-07-01,辣椒类,5.83,132.79,157.98,0.6436
2023-07-01,辣椒类,5.87,132.31,161.29,0.6549
2023-07-01,辣椒类,5.9,131.96,163.77,0.6633
2023-07-01,辣椒类,5.94,131.49,167.07,0.6746
2023-07-01,辣椒类,5.98,131.03,170.36,0.6859
2023-07-01,辣椒类,6.01,130.68,172.82,0.6944
2023-07-01,辣椒类,6.05,130.23,176.1,0.7056
2023-07-01,辣椒类,6.08,129.89,178.56,0.7141
2023-07-01,辣椒类,6.12,129.45,181.84,0.7254
2023-07-01,辣椒类,6.15,129.11,184.29,0.7338
2023-07-01,辣椒类,6.19,128.68,187.54,0.7451
2023-07-01,辣椒类,6.22,128.35,189.98,0.7536
2023-07-01,辣椒类,6.26,127.92,193.22,0.7648
2023-07-01,辣椒类,6.29,127.6,195.65,0.7733
2023-07-01,辣椒类,6.33,127.17,198.88,0.7846
2023-07-01,辣椒类,6.37,126.75,202.09,0.7958
2023-07-01,辣椒类,6.4,126.44,204.5,0.8043
2023-07-01,辣椒类,6.44,126.03,207.71,0.8156
2023-07-01,辣椒类,6.47,125.72,210.1,0.824
2023-07-01,辣椒类,6.51,125.32,213.29,0.8353
2023-07-01,辣椒类,6.54,125.01,215.67,0.8438
2023-07-01,辣椒类,6.58,124.61,218.84,0.855
2023-07-01,辣椒类,6.61,124.32,221.21,0.8635
2023-07-01,辣椒类,6.65,123.92,224.36,0.8748
2023-07-01,辣椒类,6.68,123.63,226.72,0.8832
2023-07-01,辣椒类,6.72,123.24,229.86,0.8945
2023-07-01,辣椒类,6.76,122.86,232.98,0.9058
2023-07-01,辣椒类,6.79,122.58,235.32,0.9142
2023-07-01,辣椒类,6.83,122.2,238.43,0.9255
2023-07-01,辣椒类,6.86,121.92,240.75,0.934
2023-07-01,辣椒类,6.9,121.55,243.85,0.9453
2023-07-01,辣椒类,6.93,121.27,246.17,0.9537
2023-07-01,辣椒类,6.97,120.9,249.25,0.965
2023-07-01,辣椒类,7.0,120.63,251.57,0.9735
2023-07-01,辣椒类,7.04,120.27,254.65,0.9847
2023-07-01,辣椒类,7.08,119.91,257.72,0.996
2023-07-01,辣椒类,7.11,119.65,260.02,1.0045
2023-07-01,辣椒类,7.15,119.3,263.07,1.0157
2023-07-01,辣椒类,7.18,119.03,265.36,1.0242
2023-07-01,辣椒类,7.22,118.69,268.4,1.0355
2023-07-01,辣椒类,7.25,118.43,270.67,1.0439
2023-07-01,辣椒类,7.29,118.09,273.7,1.0552
2023-07-01,辣椒类,7.32,117.83,275.96,1.0637
2023-07-01,辣椒类,7.36,117.5,278.97,1.0749
2023-07-01,辣椒类,7.39,117.25,281.23,1.0834
2023-07-01,辣椒类,7.43,116.92,284.22,1.0947
2023-07-01,辣椒类,7.47,116.59,287.2,1.106
2023-07-01,辣椒类,7.5,116.34,289.43,1.1144
2023-07-01,辣椒类,7.54,116.02,292.39,1.1257
2023-07-01,食用菌,5.0,104.67,48.87,0.3723
2023-07-01,食用菌,5.03,104.25,50.66,0.3805
2023-07-01,食用菌,5.07,103.71,53.04,0.3915
2023-07-01,食用菌,5.11,103.17,55.43,0.4025
2023-07-01,食用菌,5.14,102.77,57.21,0.4107
2023-07-01,食用菌,5.18,102.24,59.58,0.4217
2023-07-01,食用菌,5.21,101.85,61.36,0.4299
2023-07-01,食用菌,5.25,101.33,63.72,0.4409
2023-07-01,食用菌,5.29,100.82,66.08,0.4519
2023-07-01,食用菌,5.32,100.45,67.85,0.4601
2023-07-01,食用菌,5.36,99.95,70.2,0.4711
2023-07-01,食用菌,5.4,99.46,72.54,0.4821
2023-07-01,食用菌,5.43,99.09,74.29,0.4903
2023-07-01,食用菌,5.47,98.61,76.61,0.5013
2023-07-01,食用菌,5.51,98.13,78.92,0.5123
2023-07-01,食用菌,5.54,97.78,80.65,0.5205
2023-07-01,食用菌,5.58,97.32,82.94,0.5315
2023-07-01,食用菌,5.62,96.86,85.23,0.5425
2023-07-01,食用菌,5.65,96.51,86.95,0.5507
2023-07-01,食用菌,5.69,96.06,89.22,0.5617
2023-07-01,食用菌,5.72,95.73,90.91,0.5699
2023-07-01,食用菌,5.76,95.29,93.16,0.5809
2023-07-01,食用菌,5.8,94.85,95.4,0.5919
2023-07-01,食用菌,5.83,94.53,97.07,0.6001
2023-07-01,食用菌,5.87,94.1,99.29,0.6111
2023-07-01,食用菌,5.91,93.68,101.51,0.622
2023-07-01,食用菌,5.94,93.36,103.17,0.6303
2023-07-01,食用菌,5.98,92.95,105.38,0.6413
2023-07-01,食用菌,6.02,92.54,107.58,0.6522
2023-07-01,食用菌,6.05,92.23,109.23,0.6605
2023-07-01,食用菌,6.09,91.83,111.41,0.6714
2023-07-01,食用菌,6.13,91.43,113.58,0.6824
2023-07-01,食用菌,6.16,91.13,115.21,0.6907
2023-07-01,食用菌,6.2,90.74,117.36,0.7016
2023-07-01,食用菌,6.23,90.45,118.96,0.7099
2023-07-01,食用菌,6.27,90.07,121.11,0.7208
2023-07-01,食用菌,6.31,89.69,123.25,0.7318
2023-07-01,食用菌,6.34,89.41,124.84,0.7401
2023-07-01,食用菌,6.38,89.04,126.96,0.751
2023-07-01,食用菌,6.42,88.67,129.08,0.762
