日期,品类,候选价格,点值成本,加成率,加成分位位置,绝对售价分位位置,最近历史距离,是否在历史外圈,支持等级,说明
2023-07-01,水生根茎类,16.89,10.677336146601515,0.581855227567778,0.5175866199427134,0.6810021270317366,0.2386585843961183,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-02,水生根茎类,16.46,10.677336146601515,0.5415830104064905,0.4595653264918115,0.654848464273125,0.12513784088005836,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-03,水生根茎类,16.94,10.677336146601515,0.5865380435167649,0.524333281971888,0.6840432506083194,0.2518586708514743,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-04,水生根茎类,17.61,10.677336146601515,0.6492877772331893,0.6147385531628278,0.724794306534528,0.42873982935324173,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-05,水生根茎类,17.61,10.677336146601515,0.6492877772331893,0.6147385531628278,0.724794306534528,0.42873982935324173,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-06,水生根茎类,16.69,10.677336146601515,0.5631239637718304,0.49059997182601495,0.6688376327254056,0.18585823857469522,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-07,水生根茎类,17.02,10.677336146601515,0.5940305490351439,0.5351279412185673,0.6889090483308516,0.27297880918004314,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-01,茄类,6.27,3.8893762602491475,0.6120836814071449,0.3408345484148737,0.1680608692325681,0.5312307363346732,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-02,茄类,6.39,3.8765560043813756,0.6483703557430538,0.3747960381110855,0.1795075769284787,0.49648896070043236,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-03,茄类,6.38,3.866940812480547,0.6498830236575015,0.37621177699403596,0.17855368462048618,0.49938410866995236,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-04,茄类,6.36,3.859729418554925,0.6477839014894395,0.37424716278823156,0.17664590000450112,0.5051744046089924,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-05,茄类,6.35,3.854320873110709,0.6475016504983151,0.37398299793151074,0.1756920076965085,0.5080695525785127,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-06,茄类,6.35,3.8502644640275467,0.6492373600117898,0.37560748631013174,0.1756920076965085,0.5080695525785127,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-07,茄类,6.2,3.8472221572151755,0.6115523738010209,0.3403372860418091,0.1613836230766203,0.5514967721213135,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-01,辣椒类,5.8,3.5187556507590867,0.6483099639921828,0.24087092551318492,0.13180148291044613,0.09238832561389403,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-02,辣椒类,5.8,3.5187556507590867,0.6483099639921828,0.24087092551318492,0.13180148291044613,0.09238832561389403,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-03,辣椒类,5.63,3.5187556507590867,0.5999974305648257,0.21002636180193665,0.12229892407930638,0.13185562981359286,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-04,辣椒类,5.64,3.5187556507590867,0.6028393442958466,0.2118407479025983,0.12285789812819695,0.12953402368419886,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-05,辣椒类,5.8,3.5187556507590867,0.6483099639921828,0.24087092551318492,0.13180148291044613,0.09238832561389403,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-06,辣椒类,5.8,3.5187556507590867,0.6483099639921828,0.24087092551318492,0.13180148291044613,0.09238832561389403,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-07,辣椒类,5.76,3.5187556507590867,0.6369423090680988,0.2336133811105383,0.12956558671488383,0.10167475013147023,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-01,食用菌,5.28,3.2366437431494415,0.6313194837014269,0.5446856101382379,0.1269740002258849,0.7858022190528845,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-02,食用菌,5.27,3.2366437431494415,0.6282298634671435,0.5398608535478437,0.12599134638620615,0.7889880344058885,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-03,食用菌,5.25,3.2366437431494415,0.6220506229985776,0.5302113403670567,0.12402603870684889,0.7953596651118958,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-04,食用菌,5.34,3.2366437431494415,0.6498572051071247,0.5736341496805993,0.1328699232639568,0.7666873269348623,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-05,食用菌,5.24,3.2366437431494415,0.6189610027642947,0.5253865837766633,0.12304338486717024,0.7985454804648994,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-06,食用菌,5.26,3.2366437431494415,0.6251402432328605,0.5350360969574502,0.12500869254652752,0.7921738497588922,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-07,食用菌,5.34,3.2366437431494415,0.6498572051071247,0.5736341496805993,0.1328699232639568,0.7666873269348623,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
