销售日期,单品编码,品类,正常销售量,正常售价中位数,正常销售额,正常销售成本额,最后销售时间,正常销量加权售价,当日批发价,单品加成率,折扣销售量,是否有折扣,折扣占比
2020-07-01,102900005123880,辣椒类,0.927,12.0,11.124,6.9525,2026-08-27 18:59:21.042,12.0,7.499999999999999,0.6000000000000001,0.0,否,0.0
2020-07-01,102900005125808,辣椒类,4.383,25.8,113.0814,53.0343,2026-08-27 21:08:26.256,25.8,12.1,1.1322314049586777,0.0,否,0.0
2020-07-01,102900011001219,辣椒类,1.953,14.0,27.342,16.09272,2026-08-27 17:27:20.811,13.999999999999998,8.24,0.6990291262135919,0.0,否,0.0
2020-07-01,102900051004294,辣椒类,5.51,14.0,77.14,37.5231,2026-08-27 20:48:34.764,14.0,6.8100000000000005,1.0558002936857562,0.0,否,0.0
2020-07-01,102900005116530,食用菌,7.498,18.0,134.964,80.97840000000001,2026-08-27 21:00:16.030,18.0,10.8,0.6666666666666665,0.195,是,0.025347718705316522
2020-07-01,102900005116547,食用菌,13.863,6.0,83.178,56.28377999999999,2026-08-27 20:33:56.113,6.0,4.06,0.47783251231527113,0.0,否,0.0
2020-07-01,102900005116912,食用菌,1.138,14.0,15.932000000000002,9.28608,2026-08-27 20:31:09.230,14.000000000000004,8.16,0.7156862745098043,0.0,否,0.0
2020-07-01,102900005119944,食用菌,0.783,16.0,12.528,8.05707,2026-08-27 18:07:06.850,16.0,10.29,0.554907677356657,0.0,否,0.0
2020-07-01,102900005125815,食用菌,11.888,10.0,118.88,73.23008,2026-08-27 20:54:35.127,10.0,6.16,0.6233766233766234,0.0,否,0.0
2020-07-02,102900005118824,水生根茎类,4.342,10.0,43.42,25.00992,2026-08-27 20:13:51.983,10.000000000000002,5.760000000000001,0.7361111111111112,0.0,否,0.0
2020-07-02,102900051000944,水生根茎类,0.258,37.6,9.700800000000001,7.62132,2026-08-27 19:52:24.788,37.6,29.54,0.27285037237643883,0.0,否,0.0
2020-07-02,102900005115762,花叶类,8.112,6.0,48.672,31.880160000000004,2026-08-27 20:04:13.997,6.0,3.9300000000000006,0.526717557251908,0.0,否,0.0
2020-07-02,102900005115779,花叶类,44.409,8.0,355.272,187.85007000000002,2026-08-27 21:14:03.092,8.0,4.23,0.8912529550827422,0.464,是,0.010340293717825865
2020-07-02,102900005115786,花叶类,11.556000000000001,6.0,69.336,36.74808,2026-08-27 20:01:05.586,5.999999999999999,3.1799999999999997,0.8867924528301885,0.0,否,0.0
2020-07-02,102900005115793,花叶类,4.55,16.0,72.8,41.814499999999995,2026-08-27 20:11:26.920,16.0,9.19,0.7410228509249184,0.0,否,0.0
2020-07-02,102900005115823,花叶类,6.806,10.0,68.06,47.84618,2026-08-27 20:05:07.492,10.0,7.029999999999999,0.42247510668563315,0.0,否,0.0
2020-07-02,102900005115908,花叶类,14.275,8.0,114.2,64.523,2026-08-27 20:24:11.003,8.0,4.52,0.7699115044247788,0.0,否,0.0
2020-07-02,102900005115946,花叶类,3.124,7.0,21.868000000000002,13.21452,2026-08-27 17:24:15.567,7.0,4.2299999999999995,0.6548463356973997,0.0,否,0.0
2020-07-02,102900005115960,花叶类,10.693,3.2,34.217600000000004,22.4553,2026-08-27 14:29:28.733,3.2000000000000006,2.1,0.523809523809524,0.535,是,0.04764873530459566
2020-07-02,102900005115984,花叶类,27.056,6.0,162.336,96.86048,2026-08-27 20:31:41.065,6.0,3.5799999999999996,0.6759776536312851,0.0,否,0.0
2020-07-02,102900005116790,花叶类,10.625,8.0,85.0,42.18125,2026-08-27 21:30:52.733,8.0,3.9699999999999998,1.0151133501259446,0.0,否,0.0
2020-07-02,102900005118831,花叶类,6.0,6.9,41.400000000000006,24.660000000000004,2026-08-27 19:13:17.233,6.900000000000001,4.11,0.6788321167883213,7.0,是,0.5384615384615384
2020-07-02,102900005119975,花叶类,11.821,6.0,70.926,42.5556,2026-08-27 18:39:31.481,6.0,3.6,0.6666666666666665,10.728,是,0.4757638919686017
2020-07-02,102900011006689,花叶类,1.392,10.0,13.919999999999998,9.50736,2026-08-27 17:01:41.342,10.0,6.830000000000001,0.4641288433382136,0.0,否,0.0
2020-07-02,102900011006948,花叶类,0.857,16.0,13.712,10.069749999999999,2026-08-27 19:52:24.948,16.0,11.75,0.36170212765957444,0.0,否,0.0
2020-07-02,102900011008522,花叶类,13.548,8.0,108.384,60.15312000000001,2026-08-27 19:45:40.839,8.0,4.44,0.8018018018018016,0.0,否,0.0
2020-07-02,102900051010455,花叶类,4.176,9.0,37.584,19.87776,2026-08-27 20:11:53.487,9.0,4.76,0.8907563025210086,0.635,是,0.13198919143629184
2020-07-02,102900005116714,花菜类,30.109,14.0,421.526,267.9701,2026-08-27 20:59:05.148,14.0,8.9,0.5730337078651684,0.0,否,0.0
2020-07-02,102900011009970,花菜类,13.834,9.0,124.506,76.36367999999999,2026-08-27 21:05:58.873,9.0,5.52,0.6304347826086958,0.0,否,0.0
2020-07-02,102900005116257,茄类,14.432,7.0,101.024,53.68704,2026-08-27 20:17:39.467,7.0,3.72,0.8817204301075268,0.0,否,0.0
2020-07-02,102900005116509,茄类,17.767,4.0,71.068,25.93982,2026-08-27 21:48:30.405,4.0,1.4600000000000002,1.7397260273972601,0.0,否,0.0
2020-07-02,102900005116226,辣椒类,1.6669999999999998,8.0,13.335999999999999,7.61819,2026-08-27 19:17:31.951,8.0,4.57,0.75054704595186,0.0,否,0.0
2020-07-02,102900005116233,辣椒类,3.2969999999999997,10.0,32.97,18.82587,2026-08-27 21:33:40.212,10.0,5.71,0.7513134851138354,0.0,否,0.0
2020-07-02,102900005116943,辣椒类,1.679,16.0,26.864,12.20633,2026-08-27 20:52:35.001,16.0,7.27,1.2008253094910595,0.0,否,0.0
2020-07-02,102900005117056,辣椒类,39.81,7.6,302.556,178.3488,2026-08-27 21:33:39.572,7.599999999999999,4.48,0.696428571428571,0.0,否,0.0
2020-07-02,102900005117209,辣椒类,1.825,14.0,25.55,13.37725,2026-08-27 21:08:40.725,14.0,7.33,0.9099590723055935,0.0,否,0.0
2020-07-02,102900005123880,辣椒类,1.679,12.0,20.148,10.84634,2026-08-27 21:28:10.833,12.0,6.46,0.8575851393188854,0.0,否,0.0
2020-07-02,102900005125808,辣椒类,4.148,25.8,107.0184,50.31524,2026-08-27 20:56:17.686,25.8,12.13,1.126957955482275,0.0,否,0.0
2020-07-02,102900011000328,辣椒类,5.844,10.0,58.44,41.492399999999996,2026-08-27 19:22:01.693,9.999999999999998,7.099999999999999,0.408450704225352,0.0,否,0.0
2020-07-02,102900011001219,辣椒类,1.3940000000000001,12.0,16.728,11.48656,2026-08-27 21:08:40.646,12.0,8.24,0.4563106796116505,0.0,否,0.0
2020-07-02,102900051004294,辣椒类,4.721,14.0,66.094,32.33885,2026-08-27 20:52:34.928,13.999999999999998,6.85,1.043795620437956,0.0,否,0.0
2020-07-02,102900005116530,食用菌,17.345,19.8,343.431,187.32600000000002,2026-08-27 21:10:11.106,19.8,10.800000000000002,0.833333333333333,0.0,否,0.0
2020-07-02,102900005116547,食用菌,17.208000000000002,6.0,103.248,69.69239999999999,2026-08-27 21:01:45.264,6.0,4.049999999999999,0.48148148148148184,0.0,否,0.0
2020-07-02,102900005116912,食用菌,1.539,14.0,21.546,12.388950000000001,2026-08-27 19:28:47.717,14.0,8.05,0.7391304347826086,0.0,否,0.0
2020-07-02,102900005119944,食用菌,2.254,16.0,36.064,22.83302,2026-08-27 16:18:58.310,16.0,10.13,0.5794669299111548,0.0,否,0.0
2020-07-02,102900005125815,食用菌,10.164,10.0,101.64,62.50860000000001,2026-08-27 20:56:17.475,10.0,6.150000000000001,0.6260162601626014,0.0,否,0.0
2020-07-03,102900005118824,水生根茎类,4.41,10.0,44.1,24.7401,2026-08-27 19:08:46.633,10.0,5.61,0.7825311942959001,5.162,是,0.5392812369410782
2020-07-03,102900005115762,花叶类,7.694,6.0,46.164,27.467579999999998,2026-08-27 19:29:18.764,6.0,3.57,0.680672268907563,0.0,否,0.0
2020-07-03,102900005115779,花叶类,36.309,8.0,290.472,167.38449,2026-08-27 20:03:35.982,8.0,4.61,0.7353579175704987,0.0,否,0.0
2020-07-03,102900005115786,花叶类,9.064,6.0,54.384,34.35256,2026-08-27 18:52:44.464,6.0,3.7899999999999996,0.5831134564643801,2.061,是,0.18525842696629213
2020-07-03,102900005115793,花叶类,3.099,16.0,49.584,28.510799999999996,2026-08-27 19:42:56.473,16.0,9.199999999999998,0.7391304347826091,0.0,否,0.0
2020-07-03,102900005115823,花叶类,12.659,10.0,126.59,85.57484,2026-08-27 20:08:25.500,10.0,6.759999999999999,0.4792899408284026,0.461,是,0.035137195121951216
2020-07-03,102900005115908,花叶类,8.173,8.0,65.384,31.79297,2026-08-27 19:49:49.339,8.0,3.89,1.056555269922879,0.0,否,0.0
2020-07-03,102900005115946,花叶类,2.306,7.0,16.142000000000003,9.915799999999999,2026-08-27 19:01:34.388,7.000000000000001,4.3,0.6279069767441863,0.0,否,0.0
2020-07-03,102900005115960,花叶类,10.446,3.6,37.6056,22.041059999999998,2026-08-27 21:09:17.183,3.6000000000000005,2.11,0.7061611374407586,0.0,否,0.0
2020-07-03,102900005115984,花叶类,36.709,6.0,220.254,137.65875,2026-08-27 20:43:15.874,5.999999999999999,3.7499999999999996,0.5999999999999999,0.0,否,0.0
2020-07-03,102900005116790,花叶类,6.943,8.0,55.544,27.633139999999997,2026-08-27 20:50:41.437,8.0,3.98,1.0100502512562812,0.0,否,0.0
2020-07-03,102900005118831,花叶类,11.0,6.9,75.9,44.55,2026-08-27 21:34:36.675,6.9,4.05,0.7037037037037039,2.0,是,0.15384615384615385
2020-07-03,102900005119975,花叶类,11.424,6.0,68.544,41.126400000000004,2026-08-27 19:09:13.928,6.0,3.6000000000000005,0.6666666666666665,2.31,是,0.16819571865443425
2020-07-03,102900011006689,花叶类,3.4779999999999998,10.0,34.78,23.92864,2026-08-27 10:00:02.592,10.000000000000002,6.880000000000001,0.4534883720930234,0.0,否,0.0
2020-07-03,102900011006948,花叶类,2.09,16.0,33.44,24.5575,2026-08-27 18:18:40.545,16.0,11.750000000000002,0.3617021276595742,0.0,否,0.0
2020-07-03,102900011008522,花叶类,13.562,8.0,108.496,60.622139999999995,2026-08-27 20:02:31.373,8.0,4.47,0.789709172259508,0.0,否,0.0
2020-07-03,102900051010455,花叶类,9.991,9.0,89.919,47.35734,2026-08-27 19:38:21.601,9.0,4.74,0.8987341772151898,0.0,否,0.0
2020-07-03,102900005116714,花菜类,26.46,14.0,370.44,237.3462,2026-08-27 20:45:54.561,14.0,8.97,0.5607580824972129,0.0,否,0.0
2020-07-03,102900011009970,花菜类,15.616,8.0,124.928,75.11295999999999,2026-08-27 20:14:19.655,8.0,4.81,0.6632016632016633,0.0,否,0.0
2020-07-03,102900005116257,茄类,17.553,7.0,122.871,115.14768,2026-08-27 21:33:59.436,6.999999999999999,6.56,0.06707317073170715,0.0,否,0.0
2020-07-03,102900005116509,茄类,18.343,4.0,73.372,27.14764,2026-08-27 20:55:41.846,4.0,1.48,1.7027027027027026,0.0,否,0.0
2020-07-03,102900005116226,辣椒类,2.331,8.0,18.648,10.30302,2026-08-27 12:04:48.642,8.0,4.42,0.8099547511312217,0.0,否,0.0
2020-07-03,102900005116233,辣椒类,4.738,10.0,47.38,27.006600000000002,2026-08-27 20:54:20.726,10.0,5.7,0.7543859649122806,0.0,否,0.0
2020-07-03,102900005116943,辣椒类,1.904,16.0,30.464,12.852,2026-08-27 18:35:59.936,16.0,6.750000000000001,1.3703703703703702,0.0,否,0.0
2020-07-03,102900005117056,辣椒类,32.351,7.6,245.86759999999998,171.78381,2026-08-27 21:01:15.467,7.6,5.31,0.43126177024482115,0.0,否,0.0
2020-07-03,102900005117209,辣椒类,1.581,14.0,22.134,9.818010000000001,2026-08-27 21:12:09.076,14.0,6.210000000000001,1.254428341384863,0.0,否,0.0
2020-07-03,102900005123880,辣椒类,1.369,12.0,16.428,8.528870000000001,2026-08-27 20:46:24.530,12.0,6.230000000000001,0.9261637239165326,0.0,否,0.0
2020-07-03,102900005125808,辣椒类,3.935,25.8,101.52300000000001,48.007,2026-08-27 21:34:36.829,25.8,12.2,1.114754098360656,0.0,否,0.0
2020-07-03,102900011000328,辣椒类,9.099,10.0,90.99,59.87142,2026-08-27 20:26:42.405,10.0,6.58,0.519756838905775,0.0,否,0.0
2020-07-03,102900011001219,辣椒类,2.239,14.0,31.346,15.673,2026-08-27 20:46:59.889,14.0,7.0,1.0,0.0,否,0.0
2020-07-03,102900051004294,辣椒类,4.7059999999999995,14.0,65.884,37.97742,2026-08-27 20:55:42.095,14.000000000000002,8.070000000000002,0.7348203221809169,0.0,否,0.0
2020-07-03,102900005116530,食用菌,15.29,19.8,302.742,165.132,2026-08-27 21:42:53.648,19.8,10.8,0.8333333333333333,0.0,否,0.0
2020-07-03,102900005116547,食用菌,14.633,7.0,102.431,59.26365,2026-08-27 19:14:02.987,7.0,4.05,0.7283950617283952,0.0,否,0.0
2020-07-03,102900005116912,食用菌,1.259,14.0,17.625999999999998,9.9461,2026-08-27 16:59:47.728,14.0,7.9,0.7721518987341771,0.0,否,0.0
2020-07-03,102900005119944,食用菌,1.816,16.0,29.056,18.2508,2026-08-27 19:54:07.014,16.0,10.05,0.5920398009950247,0.0,否,0.0
2020-07-03,102900005125815,食用菌,9.443999999999999,10.0,94.44,59.686080000000004,2026-08-27 20:38:32.186,10.0,6.320000000000001,0.582278481012658,0.0,否,0.0
2020-07-04,102900005118824,水生根茎类,3.107,10.0,31.07,16.80887,2026-08-27 14:51:12.234,10.0,5.409999999999999,0.8484288354898339,0.0,否,0.0
2020-07-04,102900051000944,水生根茎类,2.332,37.6,87.6832,59.41936,2026-08-27 12:10:10.889,37.6,25.48,0.47566718995290436,0.0,否,0.0
2020-07-04,102900005115779,花叶类,51.205,8.0,409.64,295.45284999999996,2026-08-27 21:10:42.889,8.0,5.77,0.3864818024263432,0.0,否,0.0
2020-07-04,102900005115786,花叶类,20.571,6.0,123.426,71.17566,2026-08-27 20:43:33.048,6.0,3.4599999999999995,0.7341040462427748,0.0,否,0.0
2020-07-04,102900005115793,花叶类,7.091,16.0,113.456,64.95356,2026-08-27 18:08:51.326,16.0,9.159999999999998,0.7467248908296946,0.0,否,0.0
2020-07-04,102900005115823,花叶类,28.186,10.0,281.86,184.90016,2026-08-27 20:45:56.533,10.0,6.56,0.524390243902439,0.0,否,0.0
2020-07-04,102900005115908,花叶类,13.034,8.0,104.272,46.01002,2026-08-27 20:25:38.567,8.0,3.53,1.2662889518413598,0.0,否,0.0
2020-07-04,102900005115946,花叶类,4.099,7.0,28.692999999999998,17.54372,2026-08-27 20:13:50.842,6.999999999999999,4.28,0.6355140186915884,0.0,否,0.0
2020-07-04,102900005115960,花叶类,9.638,3.6,34.6968,21.299979999999998,2026-08-27 19:18:04.617,3.6000000000000005,2.21,0.6289592760180998,0.0,否,0.0
2020-07-04,102900005115984,花叶类,42.962,6.0,257.772,161.1075,2026-08-27 21:13:28.010,5.999999999999999,3.7499999999999996,0.5999999999999999,0.368,是,0.008492960996999768
2020-07-04,102900005116790,花叶类,5.2509999999999994,8.0,42.007999999999996,21.05651,2026-08-27 17:40:18.826,8.0,4.010000000000001,0.9950124688279298,0.0,否,0.0
2020-07-04,102900005118831,花叶类,14.0,6.9,96.60000000000001,57.26,2026-08-27 20:37:43.790,6.9,4.09,0.6870415647921762,1.0,是,0.06666666666666667
2020-07-04,102900011006689,花叶类,4.908,10.0,49.08,35.38668,2026-08-27 19:26:33.858,9.999999999999998,7.209999999999999,0.38696255201109553,0.0,否,0.0
2020-07-04,102900011008522,花叶类,15.843,8.0,126.744,70.34292,2026-08-27 20:21:25.811,8.0,4.44,0.8018018018018016,0.0,否,0.0
2020-07-04,102900051010455,花叶类,17.785,9.0,160.065,82.34455,2026-08-27 20:49:38.358,9.0,4.63,0.9438444924406049,0.646,是,0.03504964462047637
2020-07-04,102900005116714,花菜类,42.815,14.0,599.41,396.89504999999997,2026-08-27 20:37:43.866,14.0,9.27,0.5102481121898599,0.0,否,0.0
2020-07-04,102900011009970,花菜类,12.847,8.0,102.776,60.50937,2026-08-27 20:38:39.412,8.0,4.71,0.6985138004246285,0.0,否,0.0
2020-07-04,102900005116257,茄类,33.045,7.0,231.315,130.19729999999998,2026-08-27 21:42:35.280,7.0,3.9399999999999995,0.7766497461928936,0.0,否,0.0
2020-07-04,102900005116509,茄类,24.022,4.0,96.088,47.563559999999995,2026-08-27 19:43:24.811,4.0,1.98,1.0202020202020203,0.0,否,0.0
2020-07-04,102900005116226,辣椒类,3.948,8.0,31.584,17.41068,2026-08-27 17:24:36.471,8.0,4.41,0.8140589569160996,0.0,否,0.0
2020-07-04,102900005116233,辣椒类,4.948,10.0,49.480000000000004,26.81816,2026-08-27 21:25:13.889,10.0,5.419999999999999,0.8450184501845022,0.0,否,0.0
2020-07-04,102900005116943,辣椒类,1.703,16.0,27.248,10.0477,2026-08-27 20:48:24.843,16.0,5.9,1.711864406779661,0.0,否,0.0
2020-07-04,102900005117056,辣椒类,45.815,7.6,348.19399999999996,236.40540000000001,2026-08-27 21:37:33.139,7.6,5.16,0.4728682170542635,0.0,否,0.0
2020-07-04,102900005117209,辣椒类,0.6930000000000001,14.0,9.702000000000002,5.1489899999999995,2026-08-27 19:45:41.654,14.000000000000002,7.429999999999999,0.8842530282637959,0.0,否,0.0
2020-07-04,102900005123880,辣椒类,0.618,12.0,7.4159999999999995,4.46814,2026-08-27 19:41:50.436,12.0,7.23,0.6597510373443982,0.0,否,0.0
2020-07-04,102900005125808,辣椒类,3.4210000000000003,25.8,88.26180000000001,41.32568,2026-08-27 21:19:26.367,25.8,12.079999999999998,1.135761589403974,0.0,否,0.0
2020-07-04,102900011000328,辣椒类,10.238,14.0,143.332,61.428000000000004,2026-08-27 21:22:44.377,14.0,6.000000000000001,1.333333333333333,0.444,是,0.04156524995319229
2020-07-04,102900011001219,辣椒类,0.9450000000000001,14.0,13.23,6.964650000000001,2026-08-27 19:41:41.998,14.0,7.37,0.8995929443690638,0.0,否,0.0
2020-07-04,102900051004294,辣椒类,8.509,12.0,102.108,51.81981,2026-08-27 21:38:27.249,12.0,6.089999999999999,0.9704433497536948,0.0,否,0.0
2020-07-04,102900005116530,食用菌,14.094,19.8,279.0612,169.12800000000001,2026-08-27 19:22:51.890,19.8,12.000000000000002,0.6499999999999999,0.438,是,0.03014037985136251
2020-07-04,102900005116547,食用菌,16.702,7.0,116.914,67.6431,2026-08-27 20:09:08.467,6.999999999999999,4.05,0.728395061728395,0.0,否,0.0
2020-07-04,102900005116912,食用菌,1.596,14.0,22.344,12.432839999999999,2026-08-27 18:12:30.434,14.0,7.789999999999999,0.7971758664955073,0.0,否,0.0
2020-07-04,102900005119944,食用菌,1.3780000000000001,16.0,22.048000000000002,13.89024,2026-08-27 20:07:24.577,16.0,10.08,0.5873015873015872,0.0,否,0.0
2020-07-04,102900005125815,食用菌,13.054,10.0,130.54,78.324,2026-08-27 21:10:50.311,10.0,6.0,0.6666666666666667,0.0,否,0.0
2020-07-05,102900005118824,水生根茎类,4.019,10.0,40.19,21.782980000000002,2026-08-27 18:43:38.155,10.0,5.42,0.845018450184502,0.0,否,0.0
2020-07-05,102900005115762,花叶类,6.021,6.0,36.126,20.95308,2026-08-27 18:20:43.652,6.0,3.48,0.7241379310344829,0.0,否,0.0
2020-07-05,102900005115779,花叶类,33.835,8.0,270.68,195.22795,2026-08-27 19:10:10.503,8.0,5.77,0.3864818024263432,0.414,是,0.01208794417355251
2020-07-05,102900005115786,花叶类,30.519,6.0,183.114,105.29055000000001,2026-08-27 20:04:43.717,6.000000000000001,3.4500000000000006,0.7391304347826086,0.418,是,0.013511329476031937
2020-07-05,102900005115823,花叶类,11.617,10.0,116.17,76.20752,2026-08-27 19:11:34.858,10.0,6.56,0.524390243902439,0.421,是,0.03497258680843994
2020-07-05,102900005115908,花叶类,10.791,8.0,86.328,43.59564,2026-08-27 19:25:09.712,8.0,4.04,0.9801980198019802,0.0,否,0.0
2020-07-05,102900005115946,花叶类,3.568,7.0,24.976,15.378079999999999,2026-08-27 16:41:57.358,7.0,4.31,0.6241299303944317,0.0,否,0.0
2020-07-05,102900005115960,花叶类,9.698,4.0,38.792,21.335600000000003,2026-08-27 17:51:38.615,4.0,2.2,0.8181818181818181,0.0,否,0.0
2020-07-05,102900005115984,花叶类,12.594,6.0,75.56400000000001,47.2275,2026-08-27 18:49:27.936,6.000000000000001,3.75,0.6000000000000003,0.0,否,0.0
2020-07-05,102900005118831,花叶类,10.0,6.9,69.0,41.0,2026-08-27 17:50:32.205,6.9,4.1,0.6829268292682928,3.0,是,0.23076923076923078
2020-07-05,102900005119975,花叶类,55.159,6.0,330.954,198.57240000000002,2026-08-27 20:22:51.852,6.0,3.6000000000000005,0.6666666666666665,0.0,否,0.0
2020-07-05,102900011006689,花叶类,3.625,11.0,39.875,25.48375,2026-08-27 13:13:55.889,11.0,7.03,0.5647226173541962,0.0,否,0.0
2020-07-05,102900011008522,花叶类,17.408,8.0,139.264,77.29152,2026-08-27 18:13:48.733,8.0,4.44,0.8018018018018016,0.0,否,0.0
2020-07-05,102900051010455,花叶类,14.811,9.0,133.299,70.35225,2026-08-27 19:56:44.984,9.0,4.75,0.894736842105263,0.0,否,0.0
2020-07-05,102900005116714,花菜类,42.365,14.0,593.11,401.19655,2026-08-27 20:14:51.873,14.0,9.469999999999999,0.4783526927138333,0.0,否,0.0
2020-07-05,102900011009970,花菜类,13.109,8.0,104.872,64.62737,2026-08-27 16:42:17.795,8.0,4.93,0.6227180527383369,0.0,否,0.0
2020-07-05,102900005116257,茄类,26.493,7.0,185.451,112.33032,2026-08-27 21:20:22.889,7.0,4.24,0.6509433962264151,0.473,是,0.017540606689905806
2020-07-05,102900005116509,茄类,24.423000000000002,4.0,97.69200000000001,49.82292,2026-08-27 21:34:18.551,4.0,2.04,0.9607843137254901,0.0,否,0.0
2020-07-05,102900011009444,茄类,10.026,12.0,120.312,81.2106,2026-08-27 21:11:30.649,12.0,8.1,0.4814814814814816,0.401,是,0.03845784981298552
2020-07-05,102900005116226,辣椒类,3.535,8.0,28.28,15.37725,2026-08-27 19:41:39.826,8.0,4.35,0.8390804597701151,0.0,否,0.0
2020-07-05,102900005116233,辣椒类,7.412,10.0,74.12,40.32128,2026-08-27 20:13:59.920,10.0,5.44,0.838235294117647,0.0,否,0.0
2020-07-05,102900005116943,辣椒类,2.56,16.0,40.96,14.9248,2026-08-27 20:22:00.755,16.0,5.83,1.7444253859348198,0.0,否,0.0
2020-07-05,102900005117056,辣椒类,53.874,7.6,409.44239999999996,277.98984,2026-08-27 21:44:06.643,7.599999999999999,5.16,0.4728682170542633,0.0,否,0.0
2020-07-05,102900005117209,辣椒类,1.395,14.0,19.53,11.648249999999999,2026-08-27 18:48:40.219,14.0,8.35,0.6766467065868265,0.0,否,0.0
2020-07-05,102900005123880,辣椒类,0.626,12.0,7.5120000000000005,4.525980000000001,2026-08-27 17:33:42.243,12.0,7.230000000000001,0.659751037344398,0.0,否,0.0
