销售日期,品类,固定篮子覆盖率,权重收缩系数,权重历史样本数,权重窗口天数
2020-08-08,水生根茎类,0.9662522726985106,0.1111111111111111,5,180
2020-08-09,水生根茎类,0.9628663767751865,0.1111111111111111,5,180
2020-08-10,水生根茎类,0.9646897341445058,0.1111111111111111,5,180
2020-08-11,水生根茎类,0.9666308340051958,0.13043478260869565,6,180
2020-08-12,水生根茎类,0.9677673921959878,0.13043478260869565,6,180
2020-08-13,水生根茎类,0.9537282752740479,0.13043478260869565,6,180
2020-08-14,水生根茎类,0.9807801316231926,0.13043478260869565,6,180
2020-08-15,水生根茎类,0.94499168068498,0.13043478260869565,6,180
2020-08-16,水生根茎类,0.9470655435695141,0.13043478260869565,6,180
2020-08-17,水生根茎类,0.9489027060858903,0.13043478260869565,6,180
2020-08-18,水生根茎类,0.9500314359352295,0.13043478260869565,6,180
2020-08-19,水生根茎类,0.9514958249468519,0.13043478260869565,6,180
2020-08-20,水生根茎类,0.9526410914792639,0.13043478260869565,6,180
2020-08-21,水生根茎类,0.9846740604355055,0.13043478260869565,6,180
2020-08-22,水生根茎类,0.8613453496050283,0.13043478260869565,6,180
2020-08-23,水生根茎类,0.9860519759410238,0.13043478260869565,6,180
2020-08-24,水生根茎类,0.9084467504734677,0.13043478260869565,6,180
2020-08-25,水生根茎类,0.9104523181222853,0.13043478260869565,6,180
2020-08-26,水生根茎类,0.9123494154022912,0.13043478260869565,6,180
2020-08-27,水生根茎类,0.9140689866511513,0.13043478260869565,6,180
2020-08-28,水生根茎类,0.9157683123725788,0.14893617021276595,7,180
2020-08-29,水生根茎类,0.8028119752387197,0.14893617021276595,7,180
2020-08-30,水生根茎类,0.9201006506103201,0.14893617021276595,7,180
2020-08-31,水生根茎类,0.9222756795547931,0.14893617021276595,7,180
2020-09-01,水生根茎类,0.9258382690806093,0.14893617021276595,7,180
2020-09-02,水生根茎类,0.9287766578319903,0.14893617021276595,7,180
2020-09-03,水生根茎类,0.8895817991328474,0.14893617021276595,7,180
2020-09-04,水生根茎类,0.8910099104686147,0.14893617021276595,7,180
2020-09-05,水生根茎类,0.8924564068523575,0.14893617021276595,7,180
2020-09-06,水生根茎类,0.8959876909971124,0.14893617021276595,7,180
2020-09-07,水生根茎类,0.8992963233849394,0.14893617021276595,7,180
2020-09-08,水生根茎类,0.8099460119311453,0.14893617021276595,7,180
2020-09-09,水生根茎类,0.9033967651289239,0.14893617021276595,7,180
2020-09-10,水生根茎类,0.9042314201310392,0.14893617021276595,7,180
2020-09-11,水生根茎类,0.9052074176693552,0.14893617021276595,7,180
2020-09-12,水生根茎类,0.8161872794128915,0.14893617021276595,7,180
2020-09-13,水生根茎类,0.9089938863798955,0.14893617021276595,7,180
2020-09-14,水生根茎类,0.9073341173431584,0.14893617021276595,7,180
2020-09-15,水生根茎类,0.9084149685138243,0.14893617021276595,7,180
2020-09-16,水生根茎类,0.9095824627731901,0.14893617021276595,7,180
2020-09-17,水生根茎类,0.8201550601352063,0.14893617021276595,7,180
2020-09-18,水生根茎类,0.9115156031333491,0.14893617021276595,7,180
2020-09-19,水生根茎类,0.9121649354339658,0.14893617021276595,7,180
2020-09-20,水生根茎类,0.914341262580055,0.14893617021276595,7,180
2020-09-21,水生根茎类,0.8298632890219803,0.14893617021276595,7,180
2020-09-22,水生根茎类,0.9172450050022827,0.14893617021276595,7,180
2020-09-23,水生根茎类,0.9191017983972047,0.14893617021276595,7,180
2020-09-24,水生根茎类,0.9199863824591987,0.14893617021276595,7,180
2020-09-25,水生根茎类,0.9221189976558801,0.14893617021276595,7,180
2020-09-26,水生根茎类,0.9231174872495091,0.14893617021276595,7,180
2020-09-27,水生根茎类,0.9258663061442355,0.14893617021276595,7,180
2020-09-28,水生根茎类,0.9269895270852906,0.14893617021276595,7,180
2020-09-29,水生根茎类,0.9274504074854055,0.14893617021276595,7,180
2020-09-30,水生根茎类,0.9283704780310839,0.14893617021276595,7,180
2020-10-01,水生根茎类,0.9297307077497877,0.14893617021276595,7,180
2020-10-02,水生根茎类,0.9316802093727587,0.14893617021276595,7,180
2020-10-03,水生根茎类,0.9324229733534799,0.14893617021276595,7,180
2020-10-04,水生根茎类,0.9330369927902694,0.14893617021276595,7,180
2020-10-05,水生根茎类,0.9336643998102166,0.14893617021276595,7,180
2020-10-06,水生根茎类,0.9361426543066163,0.14893617021276595,7,180
2020-10-07,水生根茎类,0.936904741517169,0.14893617021276595,7,180
2020-10-08,水生根茎类,0.9383896280454238,0.14893617021276595,7,180
2020-10-09,水生根茎类,0.9392666807453128,0.14893617021276595,7,180
2020-10-10,水生根茎类,0.9404659897368708,0.14893617021276595,7,180
2020-10-11,水生根茎类,0.941034336583298,0.14893617021276595,7,180
2020-10-12,水生根茎类,0.9424586214771113,0.14893617021276595,7,180
2020-10-13,水生根茎类,0.9431774413800348,0.14893617021276595,7,180
2020-10-14,水生根茎类,0.8743279902364633,0.14893617021276595,7,180
2020-10-15,水生根茎类,0.8766581783132066,0.14893617021276595,7,180
2020-10-16,水生根茎类,0.8783835701316414,0.14893617021276595,7,180
2020-10-17,水生根茎类,0.8808715819271662,0.14893617021276595,7,180
2020-10-18,水生根茎类,0.8846591442112491,0.14893617021276595,7,180
2020-10-19,水生根茎类,0.8878166337946126,0.14893617021276595,7,180
2020-10-20,水生根茎类,0.8894061661658204,0.14893617021276595,7,180
2020-10-21,水生根茎类,0.8912230833993048,0.14893617021276595,7,180
2020-10-22,水生根茎类,0.8919029840773247,0.14893617021276595,7,180
2020-10-23,水生根茎类,0.9525388369407294,0.14893617021276595,7,180
2020-10-24,水生根茎类,0.8940071650352893,0.14893617021276595,7,180
2020-10-25,水生根茎类,0.8961806065331154,0.14893617021276595,7,180
2020-10-26,水生根茎类,0.898344903662838,0.14893617021276595,7,180
2020-10-27,水生根茎类,0.8990344486228001,0.14893617021276595,7,180
2020-10-28,水生根茎类,0.8997176117425526,0.14893617021276595,7,180
2020-10-29,水生根茎类,0.9001934761892556,0.14893617021276595,7,180
2020-10-30,水生根茎类,0.9007034208442535,0.14893617021276595,7,180
2020-10-31,水生根茎类,0.901246271938977,0.14893617021276595,7,180
2020-11-01,水生根茎类,0.9035246873640602,0.14893617021276595,7,180
2020-11-02,水生根茎类,0.9051569868974091,0.14893617021276595,7,180
2020-11-03,水生根茎类,0.9055951406542083,0.14893617021276595,7,180
2020-11-04,水生根茎类,0.9060058625828425,0.14893617021276595,7,180
2020-11-05,水生根茎类,0.9065252178648245,0.14893617021276595,7,180
2020-11-06,水生根茎类,0.906761713399425,0.14893617021276595,7,180
2020-11-07,水生根茎类,0.9070875540932348,0.14893617021276595,7,180
2020-11-08,水生根茎类,0.908755180235564,0.14893617021276595,7,180
2020-11-09,水生根茎类,0.910235148792944,0.14893617021276595,7,180
2020-11-10,水生根茎类,0.9105850008880253,0.14893617021276595,7,180
2020-11-11,水生根茎类,0.9108419103048291,0.14893617021276595,7,180
2020-11-12,水生根茎类,0.911241924021238,0.16666666666666666,8,180
2020-11-13,水生根茎类,0.9116103588233181,0.16666666666666666,8,180
2020-11-14,水生根茎类,0.9105431968422969,0.16666666666666666,8,180
2020-11-15,水生根茎类,0.9118479992394658,0.16666666666666666,8,180
2020-11-16,水生根茎类,0.9128128951471328,0.16666666666666666,8,180
2020-11-17,水生根茎类,0.9131520861253114,0.16666666666666666,8,180
2020-11-18,水生根茎类,0.9136468382060954,0.16666666666666666,8,180
2020-11-19,水生根茎类,0.915384884112113,0.16666666666666666,8,180
2020-11-20,水生根茎类,0.9158108359607637,0.16666666666666666,8,180
2020-11-21,水生根茎类,0.9162837697899602,0.16666666666666666,8,180
2020-11-22,水生根茎类,0.9138082659690736,0.16666666666666666,8,180
2020-11-23,水生根茎类,0.915326726888093,0.16666666666666666,8,180
2020-11-24,水生根茎类,0.9160924950699435,0.16666666666666666,8,180
2020-11-25,水生根茎类,0.916962404822538,0.16666666666666666,8,180
2020-11-26,水生根茎类,0.917632592327945,0.16666666666666666,8,180
2020-11-27,水生根茎类,0.9181332093836877,0.16666666666666666,8,180
2020-11-28,水生根茎类,0.9185461228445296,0.16666666666666666,8,180
2020-11-29,水生根茎类,0.9191605403143865,0.16666666666666666,8,180
2020-11-30,水生根茎类,0.919789648163276,0.16666666666666666,8,180
2020-12-01,水生根茎类,0.9201075844952509,0.16666666666666666,8,180
2020-12-02,水生根茎类,0.9205967219723351,0.16666666666666666,8,180
2020-12-03,水生根茎类,0.9210293149529177,0.1836734693877551,9,180
2020-12-04,水生根茎类,0.9216112336801758,0.1836734693877551,9,180
2020-12-05,水生根茎类,0.9228645935067731,0.1836734693877551,9,180
2020-12-06,水生根茎类,0.9235867697857408,0.1836734693877551,9,180
2020-12-07,水生根茎类,0.9251596380431013,0.1836734693877551,9,180
2020-12-08,水生根茎类,0.9299097277888845,0.1836734693877551,9,180
2020-12-09,水生根茎类,0.9310074986144621,0.1836734693877551,9,180
2020-12-10,水生根茎类,0.9313234513690234,0.1836734693877551,9,180
2020-12-11,水生根茎类,0.9318502156771954,0.1836734693877551,9,180
2020-12-12,水生根茎类,0.9326813317062836,0.1836734693877551,9,180
2020-12-13,水生根茎类,0.9336900823444376,0.1836734693877551,9,180
2020-12-14,水生根茎类,0.9272913546865817,0.1836734693877551,9,180
2020-12-15,水生根茎类,0.9712113986962999,0.1836734693877551,9,180
2020-12-16,水生根茎类,0.935060528557111,0.1836734693877551,9,180
2020-12-17,水生根茎类,0.9275979463440381,0.1836734693877551,9,180
2020-12-18,水生根茎类,0.9282205767118079,0.1836734693877551,9,180
2020-12-19,水生根茎类,0.9290280726778299,0.2,10,180
2020-12-20,水生根茎类,0.9302591142891333,0.2,10,180
2020-12-21,水生根茎类,0.9313036074082542,0.2,10,180
2020-12-22,水生根茎类,0.9196470058103767,0.2,10,180
2020-12-23,水生根茎类,0.9202353432585986,0.2,10,180
2020-12-24,水生根茎类,0.9207888876822075,0.2,10,180
2020-12-25,水生根茎类,0.9335695241531372,0.2,10,180
2020-12-26,水生根茎类,0.9671176004912437,0.2,10,180
2020-12-27,水生根茎类,0.935280205735218,0.2,10,180
2020-12-28,水生根茎类,0.936374776082175,0.2,10,180
2020-12-29,水生根茎类,0.9440820052104462,0.2,10,180
2020-12-30,水生根茎类,0.9447536148453547,0.2,10,180
2020-12-31,水生根茎类,0.9456262155056883,0.2,10,180
2021-01-01,水生根茎类,0.9389732038281621,0.2,10,180
2021-01-02,水生根茎类,0.9400573731691468,0.2,10,180
2021-01-03,水生根茎类,0.9411026223862299,0.2,10,180
2021-01-04,水生根茎类,0.9491015573805753,0.2,10,180
2021-01-05,水生根茎类,0.9497338549100109,0.2,10,180
2021-01-06,水生根茎类,0.950524822514079,0.2,10,180
2021-01-07,水生根茎类,0.9432179899337458,0.2,10,180
2021-01-08,水生根茎类,0.9437475151635181,0.2,10,180
2021-01-09,水生根茎类,0.9443449585296823,0.2,10,180
2021-01-10,水生根茎类,0.945188303490319,0.2,10,180
2021-01-11,水生根茎类,0.9458874192478333,0.2,10,180
2021-01-12,水生根茎类,0.9463178953437738,0.2,10,180
2021-01-13,水生根茎类,0.9468300957279643,0.2,10,180
2021-01-14,水生根茎类,0.9472292158105887,0.2,10,180
2021-01-15,水生根茎类,0.9475977855457788,0.2,10,180
2021-01-16,水生根茎类,0.9480432323614818,0.2,10,180
2021-01-17,水生根茎类,0.948733958519732,0.2,10,180
2021-01-18,水生根茎类,0.9493419774681726,0.2,10,180
2021-01-19,水生根茎类,0.9497887920923676,0.2,10,180
2021-01-20,水生根茎类,0.9505992891939451,0.2,10,180
2021-01-21,水生根茎类,0.9510016002989604,0.2,10,180
2021-01-22,水生根茎类,0.9513635622464686,0.2,10,180
2021-01-23,水生根茎类,0.9518323072377564,0.2,10,180
2021-01-24,水生根茎类,0.9523604411527734,0.2,10,180
2021-01-25,水生根茎类,0.9529864056337531,0.2,10,180
2021-01-26,水生根茎类,0.9535829146583032,0.2,10,180
2021-01-27,水生根茎类,0.9539642389594337,0.2,10,180
2021-01-28,水生根茎类,0.9542888977540703,0.2,10,180
2021-01-29,水生根茎类,0.9546719002287166,0.2,10,180
2021-01-30,水生根茎类,0.954973124123302,0.2,10,180
2021-01-31,水生根茎类,0.9552734197296988,0.2,10,180
2021-02-01,水生根茎类,0.9556052012149514,0.2,10,180
2021-02-02,水生根茎类,0.9559464272432717,0.2,10,180
2021-02-03,水生根茎类,0.9562242873982788,0.2,10,180
2021-02-04,水生根茎类,0.9565221772315196,0.2,10,180
2021-02-05,水生根茎类,0.9569812041408097,0.2,10,180
2021-02-06,水生根茎类,0.957362362718708,0.2,10,180
2021-02-07,水生根茎类,0.9578264141508958,0.2,10,180
2021-02-08,水生根茎类,0.9584434645153177,0.2,10,180
2021-02-09,水生根茎类,0.9589455226472094,0.1836734693877551,9,180
2021-02-10,水生根茎类,0.9790716939033172,0.1836734693877551,9,180
2021-02-13,水生根茎类,0.1333098401776205,0.1836734693877551,9,180
2021-02-14,水生根茎类,0.9618761726379252,0.1836734693877551,9,180
2021-02-15,水生根茎类,0.980239693262192,0.1836734693877551,9,180
2021-02-16,水生根茎类,0.7260208831486531,0.1836734693877551,9,180
2021-02-17,水生根茎类,0.7280392283686737,0.1836734693877551,9,180
2021-02-18,水生根茎类,0.7297417036519366,0.1836734693877551,9,180
2021-02-19,水生根茎类,0.8271438494508215,0.1836734693877551,9,180
2021-02-20,水生根茎类,0.9636918987054265,0.16666666666666666,8,180
2021-02-21,水生根茎类,0.963969178670274,0.16666666666666666,8,180
2021-02-22,水生根茎类,0.9641823701062907,0.16666666666666666,8,180
2021-02-23,水生根茎类,0.9643807448486247,0.16666666666666666,8,180
2021-02-24,水生根茎类,0.9646501381282685,0.16666666666666666,8,180
2021-02-25,水生根茎类,0.9822189415631896,0.14893617021276595,7,180
2021-02-26,水生根茎类,0.9646372999564528,0.14893617021276595,7,180
2021-02-27,水生根茎类,0.9649561765042923,0.14893617021276595,7,180
2021-02-28,水生根茎类,0.9651475988882952,0.14893617021276595,7,180
2021-03-01,水生根茎类,0.8711085305772484,0.14893617021276595,7,180
2021-03-02,水生根茎类,0.8712897611858684,0.13043478260869565,6,180
2021-03-03,水生根茎类,0.8719091845966171,0.13043478260869565,6,180
2021-03-04,水生根茎类,0.872211685109036,0.13043478260869565,6,180
2021-03-05,水生根茎类,0.8725384621119443,0.13043478260869565,6,180
2021-03-06,水生根茎类,0.8729416982762709,0.13043478260869565,6,180
2021-03-07,水生根茎类,0.8737101255886832,0.13043478260869565,6,180
2021-03-08,水生根茎类,0.874157957420797,0.13043478260869565,6,180
2021-03-09,水生根茎类,0.8744991879437003,0.13043478260869565,6,180
2021-03-10,水生根茎类,0.7202937476274937,0.13043478260869565,6,180
2021-03-11,水生根茎类,0.8921205187745286,0.13043478260869565,6,180
2021-03-12,水生根茎类,0.8756548372974848,0.13043478260869565,6,180
2021-03-13,水生根茎类,0.8757513520520496,0.1111111111111111,5,180
2021-03-14,水生根茎类,0.8763330855690439,0.1111111111111111,5,180
2021-03-15,水生根茎类,0.8767462174833471,0.1111111111111111,5,180
2021-03-16,水生根茎类,0.8770235942691678,0.1111111111111111,5,180
2021-03-17,水生根茎类,0.8939199818776582,0.1111111111111111,5,180
2021-03-18,水生根茎类,0.8773856437650688,0.1111111111111111,5,180
2021-03-19,水生根茎类,0.8775980951636582,0.1111111111111111,5,180
2021-03-20,水生根茎类,0.8946389074238923,0.1111111111111111,5,180
2021-03-21,水生根茎类,0.8950365688258599,0.1111111111111111,5,180
2021-03-22,水生根茎类,0.8954189620957522,0.1111111111111111,5,180
2021-03-23,水生根茎类,0.8954979271160702,0.1111111111111111,5,180
2021-03-24,水生根茎类,0.8955706396744161,0.1111111111111111,5,180
2021-03-25,水生根茎类,0.8956836477817651,0.1111111111111111,5,180
2021-03-26,水生根茎类,0.8957534979296163,0.1111111111111111,5,180
2021-03-27,水生根茎类,0.8961271046753967,0.1111111111111111,5,180
2021-03-28,水生根茎类,0.8965520688549184,0.1111111111111111,5,180
2021-03-29,水生根茎类,0.896829843449884,0.1111111111111111,5,180
2021-03-30,水生根茎类,0.8969343198039675,0.1111111111111111,5,180
2021-03-31,水生根茎类,0.8970055912347913,0.1111111111111111,5,180
2021-04-01,水生根茎类,0.8973966362303504,0.1111111111111111,5,180
2021-04-02,水生根茎类,0.8974120043804741,0.13043478260869565,6,180
2021-04-03,水生根茎类,0.896916531374963,0.13043478260869565,6,180
2021-04-04,水生根茎类,0.8971713179889245,0.13043478260869565,6,180
2021-04-05,水生根茎类,0.897467517957295,0.13043478260869565,6,180
2021-04-06,水生根茎类,0.7317705737712557,0.13043478260869565,6,180
2021-04-07,水生根茎类,0.7317099717472848,0.13043478260869565,6,180
2021-04-08,水生根茎类,0.7319529428729581,0.13043478260869565,6,180
2021-04-09,水生根茎类,0.8977561043124176,0.13043478260869565,6,180
2021-04-10,水生根茎类,0.8979003463539449,0.13043478260869565,6,180
2021-04-11,水生根茎类,0.8980729540103868,0.13043478260869565,6,180
2021-04-12,水生根茎类,0.7315995786667886,0.13043478260869565,6,180
2021-04-13,水生根茎类,0.7314747304964719,0.13043478260869565,6,180
2021-04-14,水生根茎类,0.8981593190217442,0.13043478260869565,6,180
2021-04-15,水生根茎类,0.8982531836553966,0.13043478260869565,6,180
2021-04-16,水生根茎类,0.8982663218797107,0.13043478260869565,6,180
2021-04-17,水生根茎类,0.8983142085639094,0.13043478260869565,6,180
2021-04-18,水生根茎类,0.898587969096589,0.13043478260869565,6,180
2021-04-19,水生根茎类,0.898718671825766,0.13043478260869565,6,180
2021-04-20,水生根茎类,0.8988090399286269,0.13043478260869565,6,180
2021-04-21,水生根茎类,0.7281193213346309,0.13043478260869565,6,180
2021-04-22,水生根茎类,0.7282992231979992,0.13043478260869565,6,180
2021-04-23,水生根茎类,0.7282685152340787,0.13043478260869565,6,180
2021-04-24,水生根茎类,0.7281882988507389,0.13043478260869565,6,180
2021-04-25,水生根茎类,0.7285245715861881,0.13043478260869565,6,180
2021-04-26,水生根茎类,0.7287085281251902,0.13043478260869565,6,180
2021-04-27,水生根茎类,0.7289377501465641,0.13043478260869565,6,180
2021-04-28,水生根茎类,0.7290875045969587,0.13043478260869565,6,180
2021-04-29,水生根茎类,0.7291836030329879,0.13043478260869565,6,180
2021-04-30,水生根茎类,0.7289915503111258,0.13043478260869565,6,180
2021-05-01,水生根茎类,0.729062162299264,0.13043478260869565,6,180
2021-05-02,水生根茎类,0.7294490481269049,0.13043478260869565,6,180
2021-05-03,水生根茎类,0.7298228352400178,0.13043478260869565,6,180
2021-05-04,水生根茎类,0.7302064358713549,0.13043478260869565,6,180
2021-05-05,水生根茎类,0.7303871831369132,0.13043478260869565,6,180
2021-05-06,水生根茎类,0.7307193915969169,0.13043478260869565,6,180
2021-05-07,水生根茎类,0.7305188244096313,0.13043478260869565,6,180
2021-05-08,水生根茎类,0.7303548054198308,0.13043478260869565,6,180
2021-05-09,水生根茎类,0.7305733913210349,0.13043478260869565,6,180
2021-05-10,水生根茎类,0.7292650965989068,0.14893617021276595,7,180
2021-05-11,水生根茎类,0.7294185440080552,0.14893617021276595,7,180
2021-05-12,水生根茎类,0.7295897965016281,0.14893617021276595,7,180
2021-05-13,水生根茎类,0.7296744461533456,0.14893617021276595,7,180
2021-05-14,水生根茎类,0.7297117470900603,0.14893617021276595,7,180
2021-05-15,水生根茎类,0.7280178031517999,0.14893617021276595,7,180
2021-05-16,水生根茎类,0.7282484352015347,0.14893617021276595,7,180
2021-05-17,水生根茎类,0.728272466757102,0.14893617021276595,7,180
2021-05-18,水生根茎类,0.7300079280064934,0.14893617021276595,7,180
2021-05-19,水生根茎类,0.7283192848584015,0.14893617021276595,7,180
2021-05-20,水生根茎类,0.72853012875231,0.14893617021276595,7,180
2021-05-21,水生根茎类,0.7282047449468534,0.14893617021276595,7,180
2021-05-22,水生根茎类,0.72782245917178,0.14893617021276595,7,180
2021-05-23,水生根茎类,0.7315225321655138,0.14893617021276595,7,180
2021-05-24,水生根茎类,0.7254547746517288,0.16666666666666666,8,180
2021-05-25,水生根茎类,0.7253041419947096,0.16666666666666666,8,180
2021-05-26,水生根茎类,0.725248101368679,0.16666666666666666,8,180
2021-05-27,水生根茎类,0.7251868304104989,0.16666666666666666,8,180
2021-05-28,水生根茎类,0.7251556635051014,0.16666666666666666,8,180
2021-05-29,水生根茎类,0.725054801776637,0.16666666666666666,8,180
2021-05-30,水生根茎类,0.7251779589410942,0.16666666666666666,8,180
2021-05-31,水生根茎类,0.7250903340933926,0.16666666666666666,8,180
2021-06-01,水生根茎类,0.7251077600529329,0.16666666666666666,8,180
2021-06-02,水生根茎类,0.7253292741239931,0.16666666666666666,8,180
2021-06-03,水生根茎类,0.7259883285911409,0.16666666666666666,8,180
2021-06-04,水生根茎类,0.7261459158105906,0.16666666666666666,8,180
2021-06-05,水生根茎类,0.7264156688517481,0.16666666666666666,8,180
2021-06-06,水生根茎类,0.726844350512988,0.16666666666666666,8,180
2021-06-07,水生根茎类,0.7273321822476103,0.16666666666666666,8,180
2021-06-08,水生根茎类,0.7274732542690241,0.16666666666666666,8,180
2021-06-09,水生根茎类,0.7315701842023697,0.16666666666666666,8,180
2021-06-10,水生根茎类,0.7315662007600956,0.16666666666666666,8,180
2021-06-11,水生根茎类,0.7315645650584992,0.16666666666666666,8,180
2021-06-12,水生根茎类,0.7316087190190403,0.16666666666666666,8,180
2021-06-13,水生根茎类,0.7323508464756777,0.16666666666666666,8,180
2021-06-14,水生根茎类,0.7325242898711173,0.16666666666666666,8,180
2021-06-15,水生根茎类,0.7329085002918265,0.16666666666666666,8,180
2021-06-16,水生根茎类,0.733115137678864,0.16666666666666666,8,180
2021-06-17,水生根茎类,0.73336444595293,0.16666666666666666,8,180
2021-06-18,水生根茎类,0.7337806326758033,0.16666666666666666,8,180
2021-06-19,水生根茎类,0.7340879358314569,0.16666666666666666,8,180
2021-06-20,水生根茎类,0.7342289103064165,0.16666666666666666,8,180
2021-06-21,水生根茎类,0.7343602261946228,0.16666666666666666,8,180
2021-06-22,水生根茎类,0.7345527637325981,0.16666666666666666,8,180
2021-06-23,水生根茎类,0.7347976160521434,0.16666666666666666,8,180
2021-06-24,水生根茎类,0.7353909057137561,0.16666666666666666,8,180
2021-06-25,水生根茎类,0.7360514335419738,0.16666666666666666,8,180
2021-06-26,水生根茎类,0.7366642489537526,0.16666666666666666,8,180
2021-06-27,水生根茎类,0.7373295982769462,0.16666666666666666,8,180
2021-06-28,水生根茎类,0.7378955179480773,0.16666666666666666,8,180
2021-06-29,水生根茎类,0.7384775147864945,0.16666666666666666,8,180
2021-06-30,水生根茎类,0.7386212637456608,0.16666666666666666,8,180
2021-07-01,水生根茎类,0.7386020196971822,0.16666666666666666,8,180
2021-07-02,水生根茎类,0.739074485511242,0.16666666666666666,8,180
2021-07-03,水生根茎类,0.7445327438005542,0.16666666666666666,8,180
2021-07-04,水生根茎类,0.7438887262233267,0.1836734693877551,9,180
2021-07-05,水生根茎类,0.7453700304079424,0.1836734693877551,9,180
2021-07-06,水生根茎类,0.7402189794678236,0.16666666666666666,8,180
2021-07-07,水生根茎类,0.7403769062425217,0.16666666666666666,8,180
2021-07-08,水生根茎类,0.7486406768367456,0.16666666666666666,8,180
2021-07-09,水生根茎类,0.7327691134843132,0.16666666666666666,8,180
2021-07-10,水生根茎类,0.7421493902830409,0.16666666666666666,8,180
2021-07-11,水生根茎类,0.7426639201542145,0.16666666666666666,8,180
2021-07-12,水生根茎类,0.7439382881694673,0.16666666666666666,8,180
2021-07-13,水生根茎类,0.7426455860740834,0.1836734693877551,9,180
2021-07-14,水生根茎类,0.750997142314497,0.1836734693877551,9,180
2021-07-15,水生根茎类,0.7419964935971691,0.1836734693877551,9,180
2021-07-16,水生根茎类,0.06976085243020393,0.1836734693877551,9,180
2021-07-17,水生根茎类,0.7531782116163653,0.1836734693877551,9,180
2021-07-18,水生根茎类,0.7539379041688795,0.1836734693877551,9,180
2021-07-19,水生根茎类,0.7528291733045508,0.1836734693877551,9,180
2021-07-20,水生根茎类,0.7422178307824236,0.1836734693877551,9,180
2021-07-21,水生根茎类,0.7535691651091372,0.1836734693877551,9,180
2021-07-22,水生根茎类,0.74297345537683,0.1836734693877551,9,180
2021-07-23,水生根茎类,0.7436083682098877,0.1836734693877551,9,180
2021-07-24,水生根茎类,0.744803101673427,0.1836734693877551,9,180
2021-07-25,水生根茎类,0.7346318320624916,0.1836734693877551,9,180
2021-07-26,水生根茎类,0.7474060696115795,0.1836734693877551,9,180
2021-07-27,水生根茎类,0.7479120747432294,0.1836734693877551,9,180
2021-07-28,水生根茎类,0.7488186158135081,0.1836734693877551,9,180
2021-07-29,水生根茎类,0.7370842707383736,0.1836734693877551,9,180
2021-07-30,水生根茎类,0.7503737999498169,0.1836734693877551,9,180
2021-07-31,水生根茎类,0.7511591552588535,0.1836734693877551,9,180
2021-08-01,水生根茎类,0.752187622537099,0.1836734693877551,9,180
