销售日期,品类,折扣销售量,折扣销售额,折扣交易条数,折扣单品数,折扣同日正常价匹配条数,折扣价比中位数,折扣价比加权,折扣晚于19点占比,折扣同日正常价匹配率
2020-07-13,花叶类,19.911,124.6534,39,10,39,0.9099999999999999,0.9099999999999999,0.1282051282051282,1.0
2020-07-13,花菜类,2.807,18.3782,7,2,7,0.9166666666666666,0.9166666666666666,0.14285714285714285,1.0
2020-07-13,茄类,1.117,5.8004,2,2,2,0.85,0.85,0.5,1.0
2020-07-13,辣椒类,3.297,31.64,15,6,15,0.9249999999999999,0.9249999999999999,0.13333333333333333,1.0
2020-07-13,食用菌,2.3129999999999997,32.5194,8,3,8,0.9271212121212121,0.9271212121212121,0.125,1.0
2020-07-14,水生根茎类,0.325,4.8425,1,1,1,0.93125,0.93125,0.0,1.0
2020-07-14,花叶类,7.468,47.2402,17,9,17,0.9166666666666666,0.9166666666666666,0.17647058823529413,1.0
2020-07-14,花菜类,4.54,38.3869,10,2,10,0.8964285714285715,0.8964285714285715,0.3,1.0
2020-07-14,茄类,2.987,15.8142,4,2,4,0.9,0.9,0.25,1.0
2020-07-14,辣椒类,3.4720000000000004,32.7111,11,6,11,0.8699999999999999,0.8699999999999999,0.09090909090909091,1.0
2020-07-14,食用菌,3.988,36.4854,10,3,8,0.8661616161616161,0.8661616161616161,0.1,0.8
2020-07-15,水生根茎类,0.623,7.0527,2,2,2,0.834375,0.834375,0.5,1.0
2020-07-15,花叶类,8.45,39.9417,19,7,19,0.9,0.9,0.05263157894736842,1.0
2020-07-15,花菜类,3.068,29.2119,7,2,7,0.9166666666666666,0.9166666666666666,0.0,1.0
2020-07-15,茄类,0.414,2.8566,1,1,1,0.8625,0.8625,0.0,1.0
2020-07-15,辣椒类,4.27,37.049800000000005,13,4,13,0.9222222222222223,0.9222222222222223,0.07692307692307693,1.0
2020-07-15,食用菌,4.417,42.4751,12,6,11,0.9055555555555556,0.9055555555555556,0.25,0.9166666666666666
2020-07-16,水生根茎类,1.171,14.4131,3,2,3,0.9125,0.9125,0.0,1.0
2020-07-16,花叶类,19.977,126.0732,41,11,41,0.9,0.9,0.24390243902439024,1.0
2020-07-16,花菜类,4.15,28.58,9,2,9,0.9142857142857144,0.9142857142857144,0.1111111111111111,1.0
2020-07-16,茄类,2.5549999999999997,14.056199999999999,5,2,5,0.875,0.875,0.0,1.0
2020-07-16,辣椒类,8.331,70.2642,27,7,25,0.8999999999999999,0.8999999999999999,0.14814814814814814,0.9259259259259259
2020-07-16,食用菌,3.595,58.5786,13,2,13,0.898989898989899,0.898989898989899,0.07692307692307693,1.0
2020-07-17,花叶类,28.238,175.4594,53,14,53,0.9,0.9,0.20754716981132076,1.0
2020-07-17,花菜类,4.343,42.255700000000004,10,2,10,0.8785714285714286,0.8785714285714286,0.1,1.0
2020-07-17,茄类,4.752,36.7732,8,3,8,0.91625,0.91625,0.375,1.0
2020-07-17,辣椒类,5.205,52.0772,20,7,20,0.8899224806201549,0.8899224806201549,0.3,1.0
2020-07-17,食用菌,5.922,62.729,17,6,17,0.898989898989899,0.898989898989899,0.23529411764705882,1.0
2020-07-18,水生根茎类,3.176,42.2999,8,2,8,0.90625,0.90625,0.0,1.0
2020-07-18,花叶类,43.975,266.8903,95,11,95,0.9,0.9,0.12631578947368421,1.0
2020-07-18,花菜类,9.717,96.6921,24,2,24,0.8714285714285713,0.8714285714285713,0.16666666666666666,1.0
2020-07-18,茄类,8.432,51.1453,14,3,14,0.9112499999999999,0.9112499999999999,0.07142857142857142,1.0
2020-07-18,辣椒类,13.839,138.8497,45,9,45,0.9,0.9,0.06666666666666667,1.0
2020-07-18,食用菌,15.003,144.5572,44,7,44,0.8999999999999999,0.8999999999999999,0.11363636363636363,1.0
2020-07-19,水生根茎类,2.92,39.3644,8,2,8,0.9281250000000001,0.9281250000000001,0.0,1.0
2020-07-19,花叶类,51.965,323.2153,109,11,109,0.9125,0.9125,0.03669724770642202,1.0
2020-07-19,花菜类,8.423,85.5819,18,2,18,0.9226190476190477,0.9226190476190477,0.0,1.0
2020-07-19,茄类,11.955,78.5248,20,3,20,0.905,0.905,0.2,1.0
2020-07-19,辣椒类,10.843,104.39540000000001,34,7,34,0.9224806201550387,0.9224806201550387,0.0,1.0
2020-07-19,食用菌,9.954,150.4149,43,4,43,0.9141414141414141,0.9141414141414141,0.023255813953488372,1.0
2020-07-20,水生根茎类,0.5449999999999999,4.7602,2,1,2,0.565625,0.565625,0.0,1.0
2020-07-20,花叶类,22.66,127.177,44,12,44,0.90625,0.90625,0.25,1.0
2020-07-20,花菜类,4.921,30.305200000000003,11,2,11,0.9166666666666666,0.9166666666666666,0.2727272727272727,1.0
2020-07-20,茄类,3.8689999999999998,29.1497,7,3,7,0.9125,0.9125,0.42857142857142855,1.0
2020-07-20,辣椒类,8.162,67.8331,29,6,29,0.911111111111111,0.911111111111111,0.41379310344827586,1.0
2020-07-20,食用菌,3.75,41.0812,14,4,14,0.9070707070707071,0.9070707070707071,0.35714285714285715,1.0
2020-07-21,水生根茎类,1.299,21.281399999999998,3,3,3,0.9,0.9,0.0,1.0
2020-07-21,花叶类,14.48,91.2063,29,10,29,0.9125,0.9125,0.1724137931034483,1.0
2020-07-21,花菜类,4.108,39.9818,10,2,10,0.9142857142857144,0.9142857142857144,0.3,1.0
2020-07-21,茄类,1.504,9.3144,2,2,2,0.9103571428571429,0.9103571428571429,0.0,1.0
2020-07-21,辣椒类,3.207,28.7213,11,5,11,0.9222222222222223,0.9222222222222223,0.09090909090909091,1.0
2020-07-21,食用菌,3.878,42.4962,15,6,15,0.911111111111111,0.911111111111111,0.2,1.0
2020-07-22,水生根茎类,1.051,15.3872,2,1,2,0.9125000000000001,0.9125000000000001,0.5,1.0
2020-07-22,花叶类,27.328,153.4187,58,12,58,0.86,0.86,0.5172413793103449,1.0
2020-07-22,花菜类,4.836,48.924400000000006,11,2,11,0.9142857142857144,0.9142857142857144,0.5454545454545454,1.0
2020-07-22,茄类,1.749,13.1471,6,2,6,0.88625,0.88625,0.16666666666666666,1.0
2020-07-22,辣椒类,7.174,64.4313,26,7,26,0.8999999999999999,0.8999999999999999,0.2692307692307692,1.0
2020-07-22,食用菌,3.964,38.0471,15,4,15,0.888888888888889,0.888888888888889,0.13333333333333333,1.0
2020-07-23,水生根茎类,4.444,10.7689,4,2,4,0.6380387931034484,0.6380387931034484,0.5,1.0
2020-07-23,花叶类,28.065,128.0618,66,10,66,0.6799999999999999,0.6799999999999999,0.5303030303030303,1.0
2020-07-23,花菜类,3.081,24.049300000000002,6,2,6,0.91875,0.91875,0.0,1.0
2020-07-23,茄类,3.428,19.0904,7,2,7,0.8035714285714286,0.8035714285714286,0.42857142857142855,1.0
2020-07-23,辣椒类,3.778,34.6805,15,5,15,0.9,0.9,0.2,1.0
2020-07-23,食用菌,4.032,49.3674,15,5,15,0.9090909090909091,0.9090909090909091,0.2,1.0
2020-07-24,水生根茎类,0.757,11.242899999999999,2,1,2,0.925,0.925,0.5,1.0
2020-07-24,花叶类,16.396,115.7719,35,10,35,0.8800000000000001,0.8800000000000001,0.2857142857142857,1.0
2020-07-24,花菜类,3.8600000000000003,32.9291,8,2,8,0.9125,0.9125,0.5,1.0
2020-07-24,茄类,2.554,19.0581,6,2,6,0.8875,0.8875,0.3333333333333333,1.0
2020-07-24,辣椒类,5.346,51.8993,18,6,16,0.8732323232323231,0.8732323232323231,0.2777777777777778,0.8888888888888888
2020-07-24,食用菌,4.937,50.3294,14,5,14,0.8939393939393938,0.8939393939393938,0.21428571428571427,1.0
2020-07-25,水生根茎类,2.908,35.468,6,2,6,0.896875,0.896875,0.0,1.0
2020-07-25,花叶类,22.624,148.5258,58,11,58,0.9,0.9,0.20689655172413793,1.0
2020-07-25,花菜类,7.785,69.7621,17,2,17,0.8785714285714287,0.8785714285714287,0.17647058823529413,1.0
2020-07-25,茄类,12.455,76.3773,19,3,19,0.8875,0.8875,0.3157894736842105,1.0
2020-07-25,辣椒类,12.509,112.7187,41,6,41,0.8999999999999999,0.8999999999999999,0.21951219512195122,1.0
2020-07-25,食用菌,8.316,98.0117,26,4,26,0.8819444444444445,0.8819444444444445,0.11538461538461539,1.0
2020-07-26,水生根茎类,1.957,31.878100000000003,4,2,4,0.9185534591194968,0.9185534591194968,0.0,1.0
2020-07-26,花叶类,35.095,235.0403,68,11,68,0.9,0.9,0.14705882352941177,1.0
2020-07-26,花菜类,9.189,89.06439999999999,20,2,20,0.9,0.9,0.05,1.0
2020-07-26,茄类,7.6370000000000005,44.1573,13,3,13,0.9166666666666666,0.9166666666666666,0.23076923076923078,1.0
2020-07-26,辣椒类,13.593,133.9347,43,9,43,0.908256880733945,0.908256880733945,0.23255813953488372,1.0
2020-07-26,食用菌,9.619,106.7783,33,5,33,0.90625,0.90625,0.12121212121212122,1.0
2020-07-27,水生根茎类,0.829,15.6845,3,2,3,0.8916666666666666,0.8916666666666666,0.3333333333333333,1.0
2020-07-27,花叶类,18.404,137.1871,44,11,44,0.9,0.9,0.2727272727272727,1.0
2020-07-27,花菜类,5.213,50.1393,10,2,10,0.89375,0.89375,0.1,1.0
2020-07-27,茄类,5.545,32.9295,10,2,10,0.9122807017543859,0.9122807017543859,0.2,1.0
2020-07-27,辣椒类,3.0989999999999998,33.6014,12,5,12,0.9072534403669725,0.9072534403669725,0.08333333333333333,1.0
2020-07-27,食用菌,11.798,105.9029,30,6,29,0.9090909090909091,0.9090909090909091,0.23333333333333334,0.9666666666666667
2020-07-28,水生根茎类,0.451,4.6904,1,1,1,0.8666666666666667,0.8666666666666667,0.0,1.0
2020-07-28,花叶类,22.838,139.5391,50,10,50,0.75,0.75,0.58,1.0
2020-07-28,花菜类,2.202,25.2419,6,2,6,0.8803571428571428,0.8803571428571428,0.16666666666666666,1.0
2020-07-28,茄类,6.663,45.4847,9,3,9,0.8888888888888888,0.8888888888888888,0.3333333333333333,1.0
2020-07-28,辣椒类,8.601,82.1546,24,8,24,0.8964646464646464,0.8964646464646464,0.20833333333333334,1.0
2020-07-28,食用菌,5.336,72.00569999999999,15,4,15,0.9099999999999999,0.9099999999999999,0.4,1.0
2020-07-29,水生根茎类,0.543,6.190200000000001,1,1,1,0.9500000000000001,0.9500000000000001,0.0,1.0
2020-07-29,花叶类,18.623,118.2306,43,9,43,0.888888888888889,0.888888888888889,0.23255813953488372,1.0
2020-07-29,花菜类,4.189,47.067499999999995,8,2,8,0.9035714285714286,0.9035714285714286,0.125,1.0
2020-07-29,茄类,5.242,39.778099999999995,10,3,10,0.9125,0.9125,0.3,1.0
2020-07-29,辣椒类,7.979,65.7154,28,6,27,0.8999999999999999,0.8999999999999999,0.10714285714285714,0.9642857142857143
2020-07-29,食用菌,4.373,59.4685,19,5,19,0.904040404040404,0.904040404040404,0.21052631578947367,1.0
2020-07-30,水生根茎类,2.3289999999999997,25.728900000000003,5,1,5,0.9166666666666666,0.9166666666666666,0.0,1.0
2020-07-30,花叶类,25.931,159.9462,52,11,52,0.9,0.9,0.3269230769230769,1.0
2020-07-30,花菜类,5.804,49.684799999999996,12,2,12,0.9035714285714286,0.9035714285714286,0.0,1.0
2020-07-30,茄类,5.802,37.360800000000005,10,3,10,0.9,0.9,0.3,1.0
2020-07-30,辣椒类,5.854,50.9017,22,5,22,0.8882428940568474,0.8882428940568474,0.22727272727272727,1.0
2020-07-30,食用菌,3.063,44.641600000000004,15,4,15,0.9090909090909091,0.9090909090909091,0.2,1.0
2020-07-31,花叶类,2.0,11.8,2,1,2,0.855072463768116,0.855072463768116,0.0,1.0
2020-07-31,花菜类,0.627,2.4453,1,1,1,0.4875,0.4875,0.0,1.0
2020-08-01,水生根茎类,2.332,22.620399999999997,5,1,5,0.8818181818181817,0.8818181818181817,0.2,1.0
2020-08-01,花叶类,27.403,174.2632,57,9,57,0.7777777777777778,0.7777777777777778,0.5964912280701754,1.0
2020-08-01,花菜类,3.759,40.2573,10,2,10,0.8785714285714287,0.8785714285714287,0.0,1.0
2020-08-01,茄类,3.151,18.4462,5,3,5,0.8833333333333333,0.8833333333333333,0.0,1.0
2020-08-01,辣椒类,3.624,34.2971,13,7,13,0.8777777777777778,0.8777777777777778,0.15384615384615385,1.0
2020-08-01,食用菌,1.582,18.6916,7,3,7,0.8787878787878787,0.8787878787878787,0.2857142857142857,1.0
2020-08-02,水生根茎类,5.88,52.92,11,1,11,0.8181818181818182,0.8181818181818182,1.0,1.0
2020-08-02,花叶类,9.036,59.152,16,3,16,0.75,0.75,0.6875,1.0
2020-08-03,花叶类,1.338,8.028,3,1,3,0.75,0.75,1.0,1.0
2020-08-03,食用菌,1.905,15.24,9,1,9,0.8,0.8,1.0,1.0
2020-08-04,花叶类,2.0,13.600000000000001,2,1,2,0.9855072463768115,0.9855072463768115,0.0,1.0
2020-08-05,花叶类,3.589,22.834,8,2,8,0.75,0.75,0.75,1.0
2020-08-06,花叶类,16.74,77.018,33,4,33,0.75,0.75,0.9696969696969697,1.0
2020-08-07,花叶类,6.229,50.7,11,4,11,0.7777777777777778,0.7777777777777778,0.9090909090909091,1.0
2020-08-08,花叶类,1.0,5.9,1,1,1,0.855072463768116,0.855072463768116,0.0,1.0
2020-08-09,花叶类,5.538,25.79,7,2,7,0.5714285714285714,0.5714285714285714,0.8571428571428571,1.0
2020-08-10,花叶类,5.341,26.705000000000002,11,1,11,0.7142857142857143,0.7142857142857143,1.0,1.0
2020-08-11,水生根茎类,0.777,9.324,2,1,2,0.8571428571428571,0.8571428571428571,1.0,1.0
2020-08-11,花叶类,16.645,100.328,31,3,31,0.75,0.75,1.0,1.0
2020-08-12,花叶类,12.354000000000001,74.97,30,2,30,0.8571428571428571,0.8571428571428571,0.9666666666666667,1.0
2020-08-13,花叶类,8.253,36.918,10,2,10,0.5,0.5,1.0,1.0
2020-08-13,食用菌,0.263,4.6551,1,1,1,0.8939393939393939,0.8939393939393939,1.0,1.0
2020-08-14,花叶类,6.702,40.512,16,2,16,0.75,0.75,0.9375,1.0
2020-08-17,花叶类,2.287,9.148,5,1,5,0.8695652173913044,0.8695652173913044,1.0,1.0
2020-08-21,花叶类,5.381,26.605999999999998,10,1,10,0.625,0.625,1.0,1.0
2020-08-22,花叶类,8.571,68.568,17,1,17,0.8,0.8,1.0,1.0
2020-08-23,花叶类,5.666,40.636199999999995,12,2,12,0.86,0.86,1.0,1.0
2020-08-25,花叶类,1.106,3.0968,1,1,1,0.7,0.7,0.0,1.0
2020-08-25,辣椒类,0.464,2.5984,1,1,1,0.7,0.7,0.0,1.0
2020-08-26,花叶类,4.7589999999999995,33.313,13,1,13,0.7777777777777778,0.7777777777777778,1.0,1.0
2020-08-26,花菜类,19.438,213.81799999999998,46,1,46,0.8461538461538461,0.8461538461538461,1.0,1.0
2020-08-27,花菜类,26.574,224.56,52,1,52,0.6666666666666666,0.6666666666666666,1.0,1.0
2020-08-27,食用菌,1.0,3.5,1,1,1,0.7142857142857142,0.7142857142857142,0.0,1.0
2020-08-30,花叶类,5.263,42.104,14,1,14,0.8,0.8,1.0,1.0
2020-09-01,花叶类,7.336,29.344,15,1,15,0.6666666666666666,0.6666666666666666,1.0,1.0
2020-09-03,花叶类,8.573,52.141400000000004,18,3,18,0.75,0.75,1.0,1.0
2020-09-05,花叶类,9.718,71.2864,21,2,21,0.7916666666666666,0.7916666666666666,1.0,1.0
2020-09-06,水生根茎类,4.384,30.688,6,1,6,0.9210526315789475,0.9210526315789475,1.0,1.0
2020-09-06,花叶类,3.9610000000000003,31.688000000000002,8,1,8,0.8888888888888888,0.8888888888888888,1.0,1.0
2020-09-07,水生根茎类,1.237,6.9272,3,1,3,0.7368421052631579,0.7368421052631579,1.0,1.0
2020-09-07,花叶类,5.68,37.0156,9,2,9,0.7916666666666666,0.7916666666666666,1.0,1.0
2020-09-08,花叶类,14.475999999999999,91.3952,16,2,16,0.7708333333333333,0.7708333333333333,1.0,1.0
2020-09-09,花叶类,0.869,5.214,2,1,2,0.75,0.75,1.0,1.0
2020-09-10,花菜类,5.252,52.519999999999996,11,1,11,0.8333333333333334,0.8333333333333334,1.0,1.0
2020-09-11,花菜类,1.132,7.9239999999999995,2,1,2,0.875,0.875,1.0,1.0
2020-09-11,茄类,1.603,16.03,2,1,2,0.8333333333333334,0.8333333333333334,1.0,1.0
2020-09-12,花叶类,1.04,8.32,3,1,3,0.8,0.8,1.0,1.0
2020-09-13,花叶类,0.868,10.416,2,1,2,0.75,0.75,1.0,1.0
2020-09-14,花叶类,0.72,3.5999999999999996,1,1,1,0.3125,0.3125,1.0,1.0
2020-09-15,花叶类,1.58,12.64,3,1,3,0.8,0.8,1.0,1.0
2020-09-16,水生根茎类,3.317,19.902,7,1,7,0.8571428571428571,0.8571428571428571,0.42857142857142855,1.0
2020-09-16,花菜类,6.281,56.529,14,1,14,0.8181818181818182,0.8181818181818182,1.0,1.0
2020-09-17,花叶类,0.738,2.214,1,1,1,0.6,0.6,1.0,1.0
2020-09-18,食用菌,0.575,6.8999999999999995,1,1,1,0.46511627906976744,0.46511627906976744,1.0,1.0
2020-09-19,花叶类,0.772,2.316,2,1,2,0.8333333333333333,0.8333333333333333,1.0,1.0
2020-09-19,花菜类,10.014,72.10079999999999,1,1,1,0.6545454545454545,0.6545454545454545,1.0,1.0
2020-09-19,辣椒类,10.014,70.098,1,1,1,0.7,0.7,1.0,1.0
2020-09-19,食用菌,2.107,29.498000000000005,1,1,1,0.7070707070707071,0.7070707070707071,1.0,1.0
2020-09-22,食用菌,1.4220000000000002,36.752,5,2,5,0.6201550387596899,0.6201550387596899,0.8,1.0
2020-09-23,食用菌,1.7750000000000001,28.400000000000002,7,1,7,0.6201550387596899,0.6201550387596899,1.0,1.0
2020-09-24,水生根茎类,5.234,31.404,9,1,9,0.75,0.75,1.0,1.0
2020-09-25,食用菌,1.071,14.994,4,1,4,0.5426356589147286,0.5426356589147286,1.0,1.0
2020-09-26,食用菌,0.519,8.304,2,1,2,0.6201550387596899,0.6201550387596899,1.0,1.0
2020-09-27,食用菌,0.319,5.104,1,1,1,0.6201550387596899,0.6201550387596899,1.0,1.0
2020-09-28,花叶类,0.508,7.112,1,1,1,0.875,0.875,1.0,1.0
2020-09-29,花叶类,1.22,11.422,3,2,3,0.8333333333333334,0.8333333333333334,1.0,1.0
2020-09-30,花叶类,7.1819999999999995,46.248,17,2,17,0.75,0.75,1.0,1.0
2020-09-30,花菜类,2.47,29.64,6,1,6,0.8571428571428571,0.8571428571428571,1.0,1.0
2020-10-01,花叶类,22.725,137.85399999999998,7,1,7,0.75,0.75,0.5714285714285714,1.0
2020-10-01,花菜类,5.1690000000000005,62.028,11,1,11,0.8571428571428571,0.8571428571428571,1.0,1.0
2020-10-02,花菜类,3.94,47.28,8,1,8,0.8571428571428571,0.8571428571428571,1.0,1.0
2020-10-05,花菜类,9.631,115.572,18,1,18,0.8571428571428571,0.8571428571428571,1.0,1.0
2020-10-07,水生根茎类,0.836,5.016,1,1,1,0.75,0.75,1.0,1.0
2020-10-07,花叶类,1.3820000000000001,5.5280000000000005,2,1,2,0.8,0.8,1.0,1.0
2020-10-07,花菜类,5.334,64.008,13,1,13,0.8571428571428571,0.8571428571428571,1.0,1.0
2020-10-09,水生根茎类,6.26,31.299999999999997,4,1,4,0.625,0.625,1.0,1.0
2020-10-11,花叶类,2.348,11.74,4,1,4,0.7142857142857143,0.7142857142857143,1.0,1.0
2020-10-12,水生根茎类,8.364,50.184,11,1,11,0.75,0.75,0.6363636363636364,1.0
2020-10-13,水生根茎类,3.6959999999999997,22.176000000000002,6,1,6,0.75,0.75,1.0,1.0
2020-10-13,花叶类,3.058,24.464,9,1,9,0.8,0.8,1.0,1.0
2020-10-14,食用菌,1.0,4.9,1,1,1,0.8305084745762712,0.8305084745762712,0.0,1.0
2020-10-15,水生根茎类,6.8069999999999995,40.842,7,1,7,0.75,0.75,1.0,1.0
2020-10-16,水生根茎类,6.188000000000001,37.128,8,1,8,0.75,0.75,1.0,1.0
2020-10-16,花菜类,8.332,74.988,17,1,17,0.9,0.9,1.0,1.0
2020-10-17,水生根茎类,2.3920000000000003,14.352000000000002,4,1,4,0.75,0.75,1.0,1.0
2020-10-18,水生根茎类,4.332,25.992,6,1,6,0.75,0.75,1.0,1.0
2020-10-19,水生根茎类,1.22,7.32,2,1,2,0.75,0.75,1.0,1.0
2020-10-20,水生根茎类,3.011,18.066,5,1,5,0.75,0.75,1.0,1.0
2020-10-20,食用菌,0.613,9.808,2,1,2,0.6201550387596899,0.6201550387596899,1.0,1.0
2020-10-21,水生根茎类,3.428,20.567999999999998,4,1,4,0.75,0.75,1.0,1.0
2020-10-22,水生根茎类,7.208,43.248,9,1,9,0.75,0.75,1.0,1.0
2020-10-23,水生根茎类,0.853,5.118,1,1,1,0.75,0.75,1.0,1.0
2020-10-23,花叶类,21.66,86.64,42,1,42,0.8,0.8,0.11904761904761904,1.0
2020-10-24,水生根茎类,7.176,43.056,11,1,11,0.75,0.75,1.0,1.0
2020-10-25,水生根茎类,8.078,48.468,15,1,15,0.75,0.75,0.6666666666666666,1.0
2020-10-27,水生根茎类,0.518,3.108,1,1,1,0.75,0.75,1.0,1.0
2020-10-28,水生根茎类,17.793,106.758,26,1,26,0.75,0.75,0.23076923076923078,1.0
2020-10-30,水生根茎类,1.7400000000000002,10.440000000000001,2,1,2,0.75,0.75,1.0,1.0
2020-10-31,水生根茎类,5.702,34.212,9,1,9,0.75,0.75,1.0,1.0
2020-11-01,水生根茎类,16.457,98.742,20,1,20,0.75,0.75,0.6,1.0
2020-11-02,花叶类,0.786,4.716,2,1,2,0.75,0.75,1.0,1.0
2020-11-03,水生根茎类,1.4889999999999999,8.934000000000001,4,1,4,0.75,0.75,1.0,1.0
2020-11-03,花叶类,3.388,11.752,6,3,6,0.7142857142857143,0.7142857142857143,0.8333333333333334,1.0
2020-11-06,水生根茎类,1.8730000000000002,11.238,3,1,3,0.75,0.75,1.0,1.0
2020-11-07,水生根茎类,10.905,65.42999999999999,13,1,13,0.75,0.75,1.0,1.0
2020-11-08,水生根茎类,2.625,15.75,5,1,5,0.75,0.75,1.0,1.0
2020-11-09,水生根茎类,1.171,7.026,2,1,2,0.75,0.75,0.5,1.0
2020-11-10,水生根茎类,2.19,13.139999999999999,4,1,4,0.75,0.75,1.0,1.0
2020-11-11,水生根茎类,1.606,9.636,2,1,2,0.75,0.75,0.5,1.0
2020-11-11,花叶类,1.001,8.8856,4,2,4,0.5427423981640849,0.5427423981640849,0.5,1.0
2020-11-11,食用菌,1.9100000000000001,7.640000000000001,5,1,5,0.6666666666666666,0.6666666666666666,0.4,1.0
2020-11-12,水生根茎类,1.505,9.03,1,1,1,0.75,0.75,1.0,1.0
2020-11-13,水生根茎类,0.7190000000000001,4.314,2,1,2,0.75,0.75,1.0,1.0
2020-11-13,花叶类,0.9770000000000001,3.9080000000000004,2,2,2,0.6428571428571428,0.6428571428571428,1.0,1.0
2020-11-14,水生根茎类,6.422,38.532000000000004,9,1,9,0.8571428571428571,0.8571428571428571,1.0,1.0
2020-11-15,水生根茎类,6.122,36.732,8,1,8,0.8571428571428571,0.8571428571428571,0.75,1.0
2020-11-16,水生根茎类,0.452,2.712,1,1,1,0.75,0.75,1.0,1.0
2020-11-17,水生根茎类,4.147,24.881999999999998,6,1,6,0.75,0.75,0.8333333333333334,1.0
2020-11-18,水生根茎类,2.525,15.15,5,1,5,0.75,0.75,1.0,1.0
