分类,分组类型,分组,样本天数,平均售价,平均日销量,销量中位数,销量标准差,线性相关,对数相关
水生根茎类,节假日,中秋,6,7.984129981056687,94.60283333333332,94.5185,38.45975073978857,-0.8393643743726362,-0.9048209392430415
水生根茎类,节假日,劳动节,15,10.293898797439187,13.979066666666666,15.352,6.115074365470799,0.04747075496169893,0.156313403338844
水生根茎类,节假日,国庆,14,7.555053784591123,72.8985,72.9495,22.659021024918363,0.6619478730783065,0.6540348415048215
水生根茎类,节假日,国庆及中秋,8,8.212261108230393,38.074625,28.868000000000002,22.097866658102667,-0.4054568479610377,-0.4552667002824979
水生根茎类,节假日,春节,17,10.81163183724395,52.36058823529412,53.632,25.06124507596047,-0.21309163327706845,-0.05194107747115772
水生根茎类,节假日,清明,7,8.670069607619768,30.993428571428577,31.759,7.916600045834972,0.6170001544439718,0.6391341879867896
水生根茎类,节假日,端午,9,18.81072790230884,14.58111111111111,12.69,7.045285381807547,-0.5362916164858443,-0.6595851275073566
水生根茎类,节假日,非节假日,1009,9.833233263913677,33.31725470763132,25.24,30.84319139698632,-0.33984886607578335,-0.4549005047232822
茄类,整体,全部日期,1050,8.878791096378016,20.802006666666667,18.2935,12.835952054774967,-0.1939899185788181,-0.22587935825057767
茄类,月份,1月,90,11.199631078279646,19.9783,15.5695,15.542642158543678,0.7079595879125617,0.650277736791467
茄类,月份,2月,82,11.676753400791515,22.56396341463415,17.697000000000003,16.979463053678632,0.1243498050863092,0.05539134965620661
茄类,月份,3月,93,11.145707225438317,16.789838709677415,16.139,5.90046241240671,-0.3109976046914413,-0.33166646495474056
茄类,月份,4月,90,9.217984197448134,20.235377777777774,19.928,7.47280256164602,-0.1802649108805892,-0.15280879572558645
茄类,月份,5月,93,7.728180462237183,24.584236559139782,22.682,9.917580807528934,-0.28292418417449117,-0.3553692436844327
茄类,月份,6月,90,6.410049121509901,28.511799999999997,27.045,10.775775688547329,-0.1652987985305517,-0.14708899047111934
茄类,月份,7月,93,6.720819330415766,30.000290322580646,28.125,14.037581476460783,-0.19322112714349995,-0.21341396763844966
茄类,月份,8月,93,8.093548278817213,28.482322580645164,26.979,13.340356253929922,-0.33794593475437545,-0.30461156668456923
茄类,月份,9月,71,8.469844533878263,19.237633802816898,18.9,7.921870115138645,-0.38050186329643465,-0.3681368061810625
茄类,月份,10月,79,8.823673318339852,17.748670886075946,13.777,11.794762761846636,-0.5419169416934888,-0.5343083856619226
茄类,月份,11月,87,8.01505954125706,10.762494252873564,9.694,7.733961748201304,-0.17762807907432857,0.029065991768294757
茄类,月份,12月,89,9.235955054208574,9.163404494382023,9.313,4.677509454630893,-0.43585667370995945,-0.4517293525891793
茄类,季度,第1季度,265,11.328344708965416,19.659422641509437,16.258,13.696148169901992,0.3004983100458507,0.21491339563021172
茄类,季度,第2季度,273,7.784775757121909,24.445347985347986,22.563,10.043765913626507,-0.34110791021702647,-0.3610443870611023
茄类,季度,第3季度,257,7.7007593368249925,26.477645914396888,24.511,13.131560014007375,-0.35304636215814683,-0.35421944606241684
茄类,季度,第4季度,255,8.691687733579512,12.368725490196079,10.572,9.16727159428599,-0.3415694526355108,-0.22396962689526295
茄类,季节,冬季,261,10.679925577527339,17.102816091954022,13.33,14.620544223951079,0.4718655061334091,0.38051617941846627
茄类,季节,夏季,276,7.0820311905599915,29.003423913043477,27.1455,12.788574055901645,-0.21535997988244635,-0.2145183841153658
茄类,季节,春季,276,9.365543959145484,20.539757246376812,19.441,8.540677725021276,-0.3985848198966332,-0.42381825468314643
茄类,季节,秋季,237,8.420841072335735,15.63018565400844,13.551,10.02707303935565,-0.29533261206669686,-0.13923584288120686
茄类,节假日,中秋,5,9.315138078855291,13.765800000000002,14.896,10.132428173937381,-0.5599885967329038,-0.3162322931362466
茄类,节假日,劳动节,15,8.698964880058794,25.514400000000002,22.784,10.595186729292289,-0.6221871845981272,-0.7130693032010592
茄类,节假日,国庆,7,8.378878992112737,28.14371428571428,27.065,6.921512689055905,-0.91116125662097,-0.9185394310332988
茄类,节假日,国庆及中秋,8,5.831650933664848,39.331125,36.126000000000005,11.140580113614241,-0.6001711669804117,-0.6430306309717427
茄类,节假日,春节,17,13.750878334055237,33.47517647058823,31.647,9.260666952461458,-0.20066241910745058,-0.2342871083416096
茄类,节假日,清明,7,11.39289098193828,22.433285714285713,22.976,5.691491946004016,-0.21350788385002864,-0.1982658210402859
茄类,节假日,端午,9,6.244710080726938,39.29144444444445,38.342,10.36242592387409,-0.562522223513189,-0.5911798235669644
茄类,节假日,非节假日,982,8.829580008053563,20.162090631364563,17.8535,12.664353201050256,-0.20934186217837528,-0.24093989761850865
辣椒类,整体,全部日期,1085,8.826796811616003,79.38874193548388,67.98,51.13648165095188,-0.149093121553621,-0.3141386265914848
辣椒类,月份,1月,91,12.66488235189416,108.59698901098898,81.754,88.59815933960786,-0.24473826719599368,-0.4108172836147227
辣椒类,月份,2月,82,11.402218045962442,112.70379268292685,94.7355,71.25014742852198,0.25474715555195115,0.08100629024569095
辣椒类,月份,3月,93,9.282635974225594,87.241,83.09,31.74120739840713,-0.4595598692565918,-0.504570705400655
辣椒类,月份,4月,90,8.643432848151388,73.33177777777776,66.22,30.018136334285817,-0.36678595501825095,-0.4040239920950315
辣椒类,月份,5月,93,7.107891678436926,68.75444086021506,64.672,26.563017878516728,-0.1804615666028558,-0.1370699777371369
辣椒类,月份,6月,90,5.838250763008793,64.02787777777777,61.1205,26.722962329830185,-0.18676681957452124,-0.22593424247106741
辣椒类,月份,7月,93,8.961374558994487,62.206548387096774,57.943,20.210130896633164,-0.2330772426031487,-0.21214397484433511
辣椒类,月份,8月,93,6.947425349259768,97.03759139784947,85.166,49.27251177143309,-0.5787522733426735,-0.590842671485954
辣椒类,月份,9月,90,8.554813339625415,69.49875555555556,56.516999999999996,34.467125252558134,-0.505474332883211,-0.5234858978361805
辣椒类,月份,10月,93,8.27470551905382,79.57488172043011,69.054,51.31999932771558,-0.4941233797672574,-0.5991546562096095
辣椒类,月份,11月,87,8.812163250786037,67.10368965517242,54.214,64.49411083918787,-0.609145103124236,-0.6349897754992173
辣椒类,月份,12月,90,9.736226244285774,64.88583333333334,48.7675,39.96583416522758,-0.6928177679169041,-0.7789610323979678
辣椒类,季度,第1季度,266,11.093125260880711,102.39642857142859,85.54050000000001,68.51338084780785,-0.047401275913259336,-0.24844250434621717
辣椒类,季度,第2季度,273,7.195551102926925,68.70524542124542,64.349,27.955029661530446,-0.14610464666733813,-0.13436072377430835
辣椒类,季度,第3季度,276,8.150186927659176,76.32098913043478,65.78800000000001,39.51033017394852,-0.5438738549604891,-0.5581081556739229
辣椒类,季度,第4季度,270,8.935059918800407,70.66003703703703,55.057500000000005,52.93151572272367,-0.5611864510405268,-0.6427408169867379
辣椒类,季节,冬季,263,11.26899823489357,94.91924714828899,79.348,72.67956991708066,-0.09813018581273605,-0.3028094777226981
辣椒类,季节,夏季,276,7.26435130484941,74.53700724637682,66.16300000000001,37.93068927360609,-0.3514703005675474,-0.34701463453062437
辣椒类,季节,春季,276,8.341405898663913,76.47621739130435,69.5685,30.451981676490224,-0.2511141386107687,-0.24668832251208722
辣椒类,季节,秋季,270,8.541255617246955,72.19767777777777,61.361000000000004,51.50974902458839,-0.5577903168636774,-0.58881306745258
辣椒类,节假日,中秋,6,8.558196270277962,98.06433333333332,86.0635,37.342568211983846,-0.9070711690288562,-0.9181205663724649
辣椒类,节假日,劳动节,15,8.355241964009368,79.85719999999999,77.396,24.054855055536233,-0.7113142150081168,-0.7314137050788815
辣椒类,节假日,国庆,14,6.607400413850461,110.82507142857143,94.8735,51.64016765518915,-0.3814883327478493,-0.3746220643582214
辣椒类,节假日,国庆及中秋,8,11.079379454825471,74.73975000000002,73.6165,9.336961661666422,-0.26384958407018055,-0.2570443308710183
辣椒类,节假日,春节,17,15.669901085887659,136.21141176470587,127.903,58.05220424654308,-0.5472727462153607,-0.5558469193243231
辣椒类,节假日,清明,7,10.18839232155546,90.99642857142855,96.732,30.759776228364334,-0.8165108673780276,-0.7479901070185663
辣椒类,节假日,端午,9,5.661691779974555,73.90100000000001,77.636,22.316465748410973,-6.396049452499286e-05,-0.008227443922631032
辣椒类,节假日,非节假日,1009,8.751829337322391,77.88245193260654,66.22,51.2363437982979,-0.16970346986581855,-0.34582444728745115
食用菌,整体,全部日期,1085,8.581306546056476,64.31529493087558,50.27,47.58976991439638,-0.1601914386635727,-0.13743022363885524
食用菌,月份,1月,91,8.763407452087556,103.27727472527475,90.131,62.437171545672115,0.03289507513527622,0.1597272100423375
食用菌,月份,2月,82,8.385820744172346,86.89968292682929,73.309,69.97793054548761,0.24339350171337854,0.0792296104029732
食用菌,月份,3月,93,8.196672861188022,56.53693548387097,50.663,32.54305188409002,-0.552626400359165,-0.6029021884269792
食用菌,月份,4月,90,8.465713694496749,44.990822222222214,39.6035,23.84285012494101,-0.6357213822934084,-0.7211732924153731
食用菌,月份,5月,93,8.408925871249984,39.458720430107526,35.067,19.371745842494644,-0.6192881323150337,-0.6814375540766276
食用菌,月份,6月,90,7.94653968310158,37.93692222222222,33.742999999999995,14.36851767684606,-0.14799526812244226,-0.1559232301423006
食用菌,月份,7月,93,9.780529406698514,42.82165591397849,41.97,13.566845414060468,0.005356546284013948,0.12417621712146149
食用菌,月份,8月,93,9.828217061903398,49.079720430107535,48.611,14.090596783089062,-0.1834966157053093,-0.15650855663429708
食用菌,月份,9月,90,10.516017193111967,48.84754444444445,42.4045,22.63123787007044,0.2779126256015991,0.4494063781227308
食用菌,月份,10月,93,8.161493903032765,84.77970967741935,73.198,54.59640710020901,-0.129541773303904,0.09622668870418269
食用菌,月份,11月,87,6.861643283845685,89.62093103448275,71.072,69.15869297304118,-0.1029911611304689,0.02734466070324991
食用菌,月份,12月,90,7.534998550799072,91.58172222222221,85.3775,41.50407063399487,0.11876770297859926,0.2865943923512076
食用菌,季度,第1季度,266,8.448864493430776,81.8869962406015,73.2145,59.82362530339912,0.010211778049622134,-0.09404761974042035
食用菌,季度,第2季度,273,8.275212124579113,40.780798534798535,35.69,19.739037491798957,-0.47092105989762595,-0.5235832403727367
食用菌,季度,第3季度,276,10.03643104695672,46.89531521739131,44.1245,17.384742978681686,0.06429238741903665,0.16420291874012716
食用菌,季度,第4季度,270,7.533821363883475,88.60699629629629,78.1755,55.91817598786995,-0.07477453622589454,0.11515205685408048
食用菌,季节,冬季,263,8.22531273282896,94.16867300380228,84.606,59.0413599760707,0.12898503563712443,0.1687676748782756
食用菌,季节,夏季,276,9.198557945866376,43.337503623188404,41.3715,14.683351933025296,-0.002952798297269021,0.0622070915277788
食用菌,季节,春季,276,8.355923603700877,47.01728260869565,41.087,26.742045638891746,-0.5649995606781284,-0.6484643083252067
食用菌,季节,秋季,270,8.52749424465444,74.36227037037038,60.846000000000004,55.214493191406525,-0.22534685138007807,-0.0466971872891752
食用菌,节假日,中秋,6,11.964999621930902,93.66833333333334,91.938,13.985439652247857,-0.5410547272141598,-0.5455357071192632
食用菌,节假日,劳动节,15,7.858620882909393,51.0412,48.197,21.40184164705725,-0.6110179951622571,-0.6148374836376859
食用菌,节假日,国庆,14,7.848428599343178,70.99707142857142,63.8645,51.77437735236682,0.39363849762041925,0.601133800117299
食用菌,节假日,国庆及中秋,8,10.212037054278381,129.4105,113.215,83.82298159983165,-0.906766985306391,-0.9414900867149132
食用菌,节假日,春节,17,9.631569680344397,120.23411764705881,94.217,60.345332644582335,-0.3351058508564178,-0.41354203962636776
食用菌,节假日,清明,7,8.59164851974598,60.53142857142858,61.539,23.869837179008595,-0.46259999683661923,-0.4206253740603784
食用菌,节假日,端午,9,8.59025097807683,51.19966666666667,56.049,15.441734649967277,0.7184103928042092,0.7213797466000614
食用菌,节假日,非节假日,1009,8.551321617110258,62.93035381565907,49.458,46.727605769046505,-0.18087951823784473,-0.16702671493788535
