销售日期,分类名称,日总销量,日销售额,条数,单品数,日批发成本,批发价覆盖销量,日平均售价,日加权批发价,月份,星期,月份_02,月份_03,月份_04,月份_05,月份_06,月份_07,月份_08,月份_09,月份_10,月份_11,月份_12,星期_2,星期_3,星期_4,星期_5,星期_6,星期_7
2020-07-29,水生根茎类,18.054000000000002,220.782,33,2,131.51193,33,12.228979727484214,3.9852100000000004,7,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2020-07-30,水生根茎类,8.316,101.066,21,2,61.35367,21,12.153198653198652,2.9216033333333336,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2020-07-31,水生根茎类,19.062,213.33,37,2,143.33836,37,11.191375511488825,3.8740097297297296,7,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2020-08-01,水生根茎类,19.1,215.188,39,2,144.53248,39,11.266387434554971,3.7059610256410256,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2020-08-02,水生根茎类,50.274,574.8252,96,3,389.7187,96,11.433846521064567,4.059569791666667,8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-08-03,水生根茎类,15.555,195.6176,41,3,126.80407,41,12.575866280938605,3.092782195121951,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-08-04,水生根茎类,26.208,319.5464,51,3,207.16784,51,12.192704517704518,4.062114509803922,8,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2020-08-05,水生根茎类,21.451999999999998,258.012,38,3,168.4892,38,12.027410031698677,4.433926315789474,8,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2020-08-06,水生根茎类,19.115000000000002,220.8958,36,3,144.58548000000002,36,11.556149620716713,4.016263333333334,8,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2020-08-07,水生根茎类,25.415,312.622,50,4,202.39659,50,12.30068856974228,4.0479318,8,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2020-08-08,水生根茎类,27.461,335.91,55,4,217.08256,55,12.232256654892394,3.9469556363636364,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2020-08-09,水生根茎类,25.9,289.348,57,3,200.7108,57,11.171737451737453,3.521242105263158,8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-08-10,水生根茎类,30.683,342.8468,64,4,219.50706,64,11.173835674477724,3.4297978125,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-08-11,水生根茎类,19.681,239.0032,45,4,156.12643,45,12.143854478939078,3.469476222222222,8,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2020-08-12,水生根茎类,27.355,311.9464,57,4,201.56467999999998,57,11.403633704989947,3.5362224561403504,8,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2020-08-13,水生根茎类,19.324,234.16140000000001,44,3,153.83245,44,12.11764645001035,3.496192045454545,8,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2020-08-14,水生根茎类,29.991,253.2994,50,4,148.35490000000001,50,8.44584708745957,2.9670980000000005,8,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2020-08-15,水生根茎类,25.642,272.6662,47,3,182.35569,47,10.633577724046486,3.8799082978723405,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2020-08-16,水生根茎类,24.454,244.59820000000002,52,3,157.90603,52,10.002379978735586,3.036654423076923,8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-08-17,水生根茎类,15.916,172.62300000000002,32,3,115.09236,32,10.845878361397338,3.59663625,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-08-18,水生根茎类,21.753,208.0406,38,3,140.05548,38,9.563765917344735,3.685670526315789,8,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2020-08-19,水生根茎类,17.95,188.24040000000002,35,3,124.85524,35,10.486930362116993,3.5672925714285713,8,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2020-08-20,水生根茎类,22.966,223.0876,48,3,146.86912,48,9.713820430201167,3.0597733333333337,8,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2020-08-21,水生根茎类,34.598,251.5688,54,4,158.7828,54,7.271194866755304,2.9404222222222223,8,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2020-08-22,水生根茎类,42.772,282.6736,54,3,182.91296,54,6.6088469091929305,3.387277037037037,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2020-08-23,水生根茎类,46.057,309.38300000000004,58,4,198.64558000000002,58,6.717393664372409,3.424923793103449,8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-08-24,水生根茎类,20.305,201.1994,37,3,131.25176,37,9.908859886727408,3.5473448648648644,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-08-25,水生根茎类,20.062,213.29840000000002,42,3,139.09178,42,10.631960921144453,3.311709047619048,8,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2020-08-26,水生根茎类,18.95,196.0036,39,3,128.76477,39,10.34319788918206,3.3016607692307693,8,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2020-08-27,水生根茎类,19.487000000000002,240.0828,42,4,141.73732,42,12.320151896135885,3.3746980952380956,8,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2020-08-28,水生根茎类,20.997,258.9204,47,4,148.95237,47,12.331304472067437,3.1691993617021277,8,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2020-08-29,水生根茎类,65.814,544.4688,110,2,367.60038000000003,110,8.27284164463488,3.341821636363637,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2020-08-30,水生根茎类,30.005,286.332,62,3,181.34323999999998,62,9.542809531744709,2.924890967741935,8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-08-31,水生根茎类,52.949,449.968,88,3,308.85649,88,8.498139719352585,3.509732840909091,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-01,水生根茎类,47.658,411.3492,77,3,292.36496,77,8.631272818834193,3.7969475324675326,9,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2020-09-02,水生根茎类,17.941,154.654,34,3,107.28855999999999,34,8.62014380469316,3.155545882352941,9,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-09-03,水生根茎类,15.996,133.144,31,2,90.97842,31,8.323580895223806,2.9347877419354838,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2020-09-04,水生根茎类,16.635,146.936,37,2,92.76204,37,8.832942590922753,2.507082162162162,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-09-05,水生根茎类,42.554,331.0884,79,2,222.22587000000001,79,7.780429571838134,2.812985696202532,9,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-09-06,水生根茎类,42.579,327.27,75,2,221.27736000000002,75,7.686183329810469,2.9503648,9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2020-09-07,水生根茎类,37.689,292.68,61,2,195.85509000000002,61,7.765661068216191,3.2107391803278693,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-08,水生根茎类,19.127,153.016,38,1,99.4604,38,8.0,2.617378947368421,9,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2020-09-09,水生根茎类,12.161,102.436,24,2,67.90426,24,8.423320450620839,2.8293441666666665,9,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-09-10,水生根茎类,14.492,120.616,28,2,80.97579999999999,28,8.32293679271322,2.891992857142857,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2020-09-11,水生根茎类,13.364,110.776,26,2,73.14296,26,8.289134989524094,2.8131907692307694,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-09-12,水生根茎类,16.957,135.656,29,1,94.9592,29,8.0,3.274455172413793,9,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-09-13,水生根茎类,18.739,159.268,42,3,103.81277999999999,42,8.499279577352047,2.471732857142857,9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2020-09-14,水生根茎类,17.361,145.752,26,2,96.95848,26,8.395368930361155,3.7291723076923073,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-15,水生根茎类,19.219,182.978,45,2,109.91577,45,9.520682657786566,2.4425726666666665,9,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2020-09-16,水生根茎类,15.501,119.021,29,2,88.7582,29,7.6782788207212445,3.0606275862068966,9,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-09-17,水生根茎类,17.437,122.059,31,1,95.9035,31,6.999999999999999,3.0936612903225806,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2020-09-18,水生根茎类,11.389,88.536,24,2,64.92003000000001,24,7.7738168408113095,2.7050012500000005,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-09-19,水生根茎类,39.431,322.018,68,2,221.36077,68,8.166620171945931,3.255305441176471,9,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-09-20,水生根茎类,39.551,323.614,64,2,228.17734,64,8.182195140451569,3.5652709375,9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2020-09-21,水生根茎类,16.289,130.312,34,1,93.98752999999999,34,8.0,2.7643391176470584,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-22,水生根茎类,37.808,310.666,66,2,222.65858,66,8.216938214134574,3.3736148484848485,9,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2020-09-23,水生根茎类,18.629,157.108,36,2,120.4314,36,8.433517633796768,3.3453166666666667,9,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-09-24,水生根茎类,46.652,377.896,86,2,263.1778,86,8.100317242561948,3.060206976744186,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2020-09-25,水生根茎类,22.732,196.19,42,2,135.64119,42,8.630564842512758,3.2295521428571425,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-09-26,水生根茎类,65.744,543.382,113,2,387.90954999999997,113,8.265119250425894,3.4328278761061943,9,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-09-27,水生根茎类,28.289,233.35,49,2,166.68026,49,8.248789282053094,3.4016379591836734,9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2020-09-28,水生根茎类,11.860999999999999,100.258,24,2,70.78965,24,8.452744288002698,2.9495687499999996,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-29,水生根茎类,24.135,197.886,36,2,141.65708999999998,36,8.199129894344313,3.934919166666666,9,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2020-09-30,水生根茎类,36.839,301.972,53,2,215.7595,53,8.197073753359211,4.070933962264151,9,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-10-01,水生根茎类,55.356,450.028,88,2,322.8957,88,8.129705903605752,3.669269318181818,10,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2020-10-02,水生根茎类,21.931,189.632,37,2,129.75292,37,8.646755733892663,3.5068356756756756,10,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2020-10-03,水生根茎类,18.497,153.088,27,2,107.89604,27,8.276369140941775,3.9961496296296297,10,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2020-10-04,水生根茎类,19.253999999999998,157.408,29,2,111.78291999999999,29,8.175340189051626,3.8545834482758616,10,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-10-05,水生根茎类,79.752,650.336,118,2,462.9312,118,8.154478884542081,3.923145762711864,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-10-06,水生根茎类,25.784,208.444,41,2,149.60693,41,8.08423828730996,3.648949512195122,10,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2020-10-07,水生根茎类,52.071,419.572,84,2,302.09441,84,8.057690461101188,3.5963620238095237,10,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020-10-08,水生根茎类,31.952,261.16,53,2,185.41862,53,8.173510265398097,3.498464528301887,10,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2020-10-09,水生根茎类,45.216,364.332,74,2,262.14864,74,8.057590233545648,3.5425491891891894,10,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2020-10-10,水生根茎类,22.07,177.628,37,2,127.91521999999999,37,8.048391481649297,3.457168108108108,10,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2020-10-11,水生根茎类,57.223,460.388,95,2,325.44263,95,8.045506177585935,3.425711894736842,10,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-10-12,水生根茎类,29.969,247.1,49,2,173.25073,49,8.245186692916013,3.5357291836734697,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-10-13,水生根茎类,46.823,377.856,82,2,270.82084,82,8.069880187087541,3.302693170731707,10,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2020-10-14,水生根茎类,46.207,369.656,65,1,261.53162000000003,65,8.0,4.023563384615385,10,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020-10-15,水生根茎类,35.355,282.84,58,1,205.059,58,8.0,3.5355,10,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2020-10-16,水生根茎类,52.785,422.28,73,1,306.15299999999996,73,8.0,4.193876712328767,10,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2020-10-17,水生根茎类,84.728,677.824,130,1,491.4224,130,8.0,3.7801723076923075,10,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2020-10-18,水生根茎类,75.006,600.048,116,1,435.03479999999996,116,8.0,3.7502999999999997,10,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-10-19,水生根茎类,39.38,315.04,60,1,224.0722,60,8.0,3.7345366666666666,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-10-20,水生根茎类,46.423,371.384,70,1,265.07533,70,8.0,3.786790428571429,10,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2020-10-21,水生根茎类,17.773,142.184,26,1,103.0834,26,8.0,3.964746153846154,10,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020-10-22,水生根茎类,28.709,229.672,45,1,166.5122,45,8.0,3.7002711111111113,10,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2020-10-23,水生根茎类,29.948,240.52,42,2,173.53225999999998,42,8.031254173901429,4.131720476190476,10,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2020-10-24,水生根茎类,60.756,486.048,87,1,340.23359999999997,87,8.0,3.910731034482758,10,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2020-10-25,水生根茎类,63.082,504.656,93,1,364.61396,93,8.0,3.920580215053764,10,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-10-26,水生根茎类,20.666,165.328,33,1,119.8628,33,8.0,3.63220606060606,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-10-27,水生根茎类,20.755,166.04,33,1,120.379,33,8.0,3.647848484848485,10,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2020-10-28,水生根茎类,14.625,117.0,27,1,84.82499999999999,27,8.0,3.141666666666666,10,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020-10-29,水生根茎类,15.828,126.624,25,1,91.80239999999999,25,8.0,3.672096,10,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2020-10-30,水生根茎类,17.029,136.232,32,1,98.7682,32,8.0,3.08650625,10,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2020-10-31,水生根茎类,73.563,588.504,102,1,426.6654,102,8.0,4.182994117647058,10,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2020-11-01,水生根茎类,54.875,439.0,85,1,318.275,85,8.0,3.744411764705882,11,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-11-02,水生根茎类,15.053,120.424,25,1,87.3074,25,8.0,3.492296,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-11-03,水生根茎类,14.238,113.904,25,1,80.44470000000001,25,8.0,3.2177880000000005,11,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2020-11-04,水生根茎类,18.183,145.464,32,1,105.4614,32,8.0,3.29566875,11,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2020-11-05,水生根茎类,8.347,66.776,14,1,48.4126,14,8.0,3.458042857142857,11,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2020-11-06,水生根茎类,11.57,92.56,23,1,64.9077,23,8.0,2.8220739130434787,11,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-11-07,水生根茎类,60.508,484.064,85,1,350.34132,85,8.0,4.121662588235294,11,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2020-11-08,水生根茎类,55.582,444.656,85,1,322.37559999999996,85,8.0,3.7926541176470585,11,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-11-09,水生根茎类,13.408,107.264,20,1,77.76639999999999,20,8.0,3.8883199999999993,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-11-10,水生根茎类,9.913,79.304,16,1,57.4954,16,8.0,3.5934625,11,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2020-11-11,水生根茎类,15.549,143.816,28,2,97.30609000000001,28,9.24921216798508,3.4752175000000003,11,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2020-11-12,水生根茎类,14.446,129.488,21,2,90.6772,21,8.963588536619133,4.317961904761905,11,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2020-11-13,水生根茎类,13.047,110.08,23,2,78.49608,23,8.437188625737717,3.4128730434782613,11,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-11-14,水生根茎类,51.705,361.935,81,1,268.866,81,7.0,3.3193333333333332,11,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2020-11-15,水生根茎类,39.231,274.617,56,1,204.0012,56,7.0,3.6428785714285716,11,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-11-16,水生根茎类,13.998000000000001,111.98400000000001,22,1,72.78960000000001,22,8.0,3.3086181818181823,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-11-17,水生根茎类,20.615,164.92,34,1,119.567,34,8.0,3.516676470588235,11,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2020-11-18,水生根茎类,16.646,133.168,31,1,96.5468,31,8.0,3.1144129032258068,11,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2020-11-19,水生根茎类,18.393,171.988,28,2,121.24674,28,9.35073125645626,4.330240714285714,11,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2020-11-20,水生根茎类,20.641,172.044,38,2,118.0102,38,8.335061285790418,3.1055315789473683,11,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-11-21,水生根茎类,91.691,758.596,141,2,522.81932,141,8.273396516561059,3.7079384397163118,11,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2020-11-22,水生根茎类,67.538,540.304,98,1,378.21279999999996,98,8.0,3.8593142857142855,11,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-11-23,水生根茎类,34.987,279.896,52,1,195.92719999999997,52,8.0,3.767830769230769,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-11-24,水生根茎类,40.528,324.224,72,1,243.168,72,8.0,3.3773333333333335,11,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2020-11-25,水生根茎类,31.807,254.456,48,1,190.84199999999998,48,8.0,3.975875,11,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2020-11-26,水生根茎类,24.099,192.792,35,1,146.28093,35,8.0,4.179455142857143,11,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2020-11-27,水生根茎类,20.1,160.8,31,1,124.62,31,8.0,4.0200000000000005,11,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-11-28,水生根茎类,30.289,242.312,45,1,187.18601999999998,45,8.0,4.159689333333333,11,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2020-11-29,水生根茎类,31.494,251.952,46,1,188.964,46,8.0,4.107913043478261,11,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-11-30,水生根茎类,16.105,128.84,28,1,96.63,28,8.0,3.4510714285714283,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-12-01,水生根茎类,25.029,200.232,45,1,150.174,45,8.0,3.3372,12,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2020-12-02,水生根茎类,22.394,179.152,39,2,133.07716000000002,39,8.0,3.4122348717948725,12,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2020-12-03,水生根茎类,30.514,244.112,49,2,167.5099,49,8.0,3.418569387755102,12,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2020-12-04,水生根茎类,67.286,451.564,102,2,334.7854,102,6.71111375323247,3.2822098039215684,12,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
