日期,品类,预测批发价,损耗率,正常销售价格弹性,价格关系可靠,搜索R,搜索总维度,建议加成率,建议售价,建议补货量,预测需求量,预计满足量,预计满足率,预计利润,当前方案售价,当前方案补货量
2023-07-04,辣椒类,3.547082087016438,0.0924,-0.6346499616294883,True,1,84,0.725136526172687,6.119200869644903,74.59016790212009,87.926514030497,62.39073989274577,0.70957822655298,117.20402137632031,6.24,79.9
2023-07-05,辣椒类,3.547082087016438,0.0924,-0.6346499616294883,True,1,84,0.727232567485864,6.126635700240519,78.9050337500222,90.01335304823374,65.81894602365797,0.7312131344378298,123.3660726706155,6.24,80.0
2023-07-06,辣椒类,3.547082087016438,0.0924,-0.6346499616294883,True,1,84,0.7275926957477354,6.127913104747232,78.97809717393338,90.79553293377182,65.98623284414536,0.7267563800994165,124.21610722623797,6.24,80.7
2023-07-07,辣椒类,3.547082087016438,0.0924,-0.6346499616294883,True,1,84,0.7306940141179679,6.138913735584418,85.27571960813303,98.94958165876544,71.59599699813276,0.7235603809325498,137.0416719052528,6.24,89.3
2023-07-01,食用菌,3.7092366594593202,0.09449999999999999,-0.16834598851778015,False,1,84,0.6143794133185154,5.988115302157468,53.01766186426152,68.09053636910421,44.47871242315557,0.6532289917947774,69.68860349562215,5.99,57.0
2023-07-02,食用菌,3.7092366594593202,0.09449999999999999,-0.16834598851778015,False,1,84,0.6143794133185154,5.988115302157468,52.00806928952405,65.34736351911309,43.48253851231771,0.6654061643910048,67.46821704585805,5.99,54.4
2023-07-03,食用菌,3.7092366594593202,0.09449999999999999,-0.16834598851778015,False,1,84,0.6143794133185154,5.988115302157468,34.31872733218009,44.855662054897245,28.906535140462925,0.6444344775267222,45.79938388044764,5.99,36.3
2023-07-04,食用菌,3.7092366594593202,0.09449999999999999,-0.16834598851778015,False,1,84,0.6143794133185154,5.988115302157468,32.70617246810634,42.070066560546714,27.425901270801795,0.6519100993417917,42.914525165849035,5.99,34.3
2023-07-05,食用菌,3.7092366594593202,0.09449999999999999,-0.16834598851778015,False,1,84,0.6143794133185154,5.988115302157468,36.52291659248585,46.33762229668661,30.655856643518387,0.6615759532769648,48.09866313257455,5.99,38.1
2023-07-06,食用菌,3.7092366594593202,0.09449999999999999,-0.16834598851778015,False,1,84,0.6143794133185154,5.988115302157468,35.214587020144606,44.1192874712984,29.557460501112946,0.6699441943694447,46.37424439678863,5.99,36.9
2023-07-07,食用菌,3.7092366594593202,0.09449999999999999,-0.16834598851778015,False,1,84,0.6143794133185154,5.988115302157468,42.763561630065816,54.002408990313725,35.86140272332835,0.6640704256315809,56.12204391710583,5.99,43.6
